#Position (bp)	Coverage
3519247.5	5.979442903552948
1.05577415E7	5.987330528377235
1.75962355E7	6.0392099503103935
2.46347295E7	6.125765256033464
3.16732235E7	6.140233407885266
3.87117175E7	6.105059548249952
4.57502115E7	6.07543147724499
5.27887055E7	6.146709225013192
5.98271995E7	6.20707938374317
6.68656935E7	6.139410362500842
7.39041875E7	6.314552516490033
8.09426815E7	6.171892311054041
8.79811755E7	6.2609095070621645
9.50196695E7	6.020388310340252
1.020581635E8	6.290212934755645
1.090966575E8	6.030622175709747
1.161351515E8	6.208789692795078
1.231736455E8	7.7575640470816625
1.302121395E8	6.229271773194664
1.372506335E8	6.100777240131198
1.442891275E8	6.1592276700100905
1.513276215E8	6.1045270479736145
1.583661155E8	6.156439715655082
1.654046095E8	6.004283728877229
1.724431035E8	6.3898112295044935
1.794815975E8	5.834135114699253
1.865200915E8	5.77507134338681
1.935585855E8	5.6735169483699215
2.005970795E8	5.772798698130594
2.06554927E8	5.730620083117345
2.10074174E8	5.637011270568127
2.146740675E8	5.980803990171761
2.217125615E8	5.730835459971977
2.287510555E8	5.8641500582368895
2.357895495E8	5.9076421745901895
2.428280435E8	6.199984684223642
2.498665375E8	6.275928486974628
2.569050315E8	6.120824142209967
2.639435255E8	6.0135786149707595
2.709820195E8	6.115239424797407
2.780205135E8	6.196192537778678
2.850590075E8	6.449992569433177
2.920975015E8	5.965252509982959
2.991359955E8	7.158362712250661
3.061744895E8	6.118132231127852
3.132129835E8	6.096839181790878
3.202514775E8	6.086851533865057
3.272899715E8	14.01819139151074
3.343284655E8	8.55484667600768
3.413669595E8	6.139106178111397
3.484054535E8	6.177450176131428
3.554439475E8	6.083139944425612
3.624824415E8	6.12329839309375
3.695209355E8	6.130693867182383
3.765594295E8	6.0577944656910985
3.835979235E8	5.922928967475144
3.906364175E8	6.085960292073844
3.976749115E8	5.860417157420323
4.047134055E8	5.784636315666391
4.08526901E8	6.984550473494342
4.12046148E8	5.796416184379621
4.187903935E8	5.842978909977049
4.258288875E8	5.865337954397631
4.328673815E8	5.852231315392185
4.399058755E8	5.972879283551283
4.469443695E8	6.159605591764374
4.539828635E8	6.187828816789501
4.610213575E8	7.709345777662096
4.680598515E8	6.276041863500914
4.750983455E8	5.966068735726705
4.821368395E8	6.070490789649035
4.891753335E8	6.0607628563724
4.962138275E8	6.176751873341087
5.032523215E8	6.07852432636868
5.102908155E8	6.2067732102918605
5.173293095E8	6.085833560417896
5.243678035E8	6.117558813007442
5.314062975E8	5.9722839857503605
5.384447915E8	6.175158492711651
5.454832855E8	6.208145947130167
5.525217795E8	6.12662026848357
5.595602735E8	6.107877196457083
5.665987675E8	6.124310683507011
5.736372615E8	5.969368589360167
5.806757555E8	6.003880801773788
5.877142495E8	5.87955420577186
5.918006215E8	5.746358386599074
5.953198685E8	5.975791650887057
6.017912375E8	10.28898980378473
6.088297315E8	5.96650007799964
6.158682255E8	6.035688884582412
6.229067195E8	5.973084014847494
6.299452135E8	6.059396086719688
6.369837075E8	6.149258491944441
6.440222015E8	6.065061929441156
6.510606955E8	6.134172026004427
6.580991895E8	6.246425868942987
6.651376835E8	6.273419143356519
6.721761775E8	6.349335951696485
6.792146715E8	6.087545858531668
6.862531655E8	6.252339349866605
6.932916595E8	6.135219409152015
7.003301535E8	6.069851732487091
7.073686475E8	6.041386552293715
7.144071415E8	6.109978214089548
7.214456355E8	6.139058014399103
7.284841295E8	6.310651682021751
7.355226235E8	6.102659460958551
7.425611175E8	5.969938455584391
7.495996115E8	5.995742128927012
7.566381055E8	5.78560711993219
7.636765995E8	5.725794466827705
7.683379745E8	5.6469012229802615
7.718572215E8	5.958603671082516
7.777535875E8	6.003418771117799
7.847920815E8	5.9488660500385455
7.918305755E8	6.11277156732676
7.988690695E8	5.980296069017037
8.059075635E8	6.14595693340081
