#Duplication rate	Coverage
1.0	1.57391636E8
2.0	2.1970082E7
3.0	4350389.0
4.0	1508727.0
5.0	639752.0
6.0	346799.0
7.0	203097.0
8.0	133842.0
9.0	91711.0
10.0	66797.0
11.0	49688.0
12.0	38540.0
13.0	30219.0
14.0	24271.0
15.0	19861.0
16.0	16740.0
17.0	14034.0
18.0	11919.0
19.0	10153.0
20.0	8928.0
21.0	7586.0
22.0	6799.0
23.0	5944.0
24.0	5155.0
25.0	4607.0
26.0	4296.0
27.0	3859.0
28.0	3477.0
29.0	3180.0
30.0	2918.0
31.0	2684.0
32.0	2424.0
33.0	2304.0
34.0	2034.0
35.0	1898.0
36.0	1719.0
37.0	1723.0
38.0	1610.0
39.0	1480.0
40.0	1320.0
41.0	1279.0
42.0	1180.0
43.0	1184.0
44.0	1102.0
45.0	1029.0
46.0	945.0
47.0	942.0
48.0	854.0
49.0	848.0
50.0	25336.0
