#Duplication rate	Coverage
1.0	5.4036745E7
2.0	1979466.0
3.0	206219.0
4.0	61439.0
5.0	30217.0
6.0	18660.0
7.0	13292.0
8.0	10054.0
9.0	8200.0
10.0	6478.0
11.0	5778.0
12.0	5083.0
13.0	4377.0
14.0	3950.0
15.0	3538.0
16.0	3152.0
17.0	2931.0
18.0	2590.0
19.0	2359.0
20.0	2162.0
21.0	1852.0
22.0	1615.0
23.0	1414.0
24.0	1316.0
25.0	1166.0
26.0	1032.0
27.0	864.0
28.0	831.0
29.0	699.0
30.0	629.0
31.0	539.0
32.0	509.0
33.0	383.0
34.0	384.0
35.0	330.0
36.0	272.0
37.0	259.0
38.0	233.0
39.0	202.0
40.0	161.0
41.0	162.0
42.0	145.0
43.0	128.0
44.0	110.0
45.0	106.0
46.0	108.0
47.0	98.0
48.0	101.0
49.0	68.0
50.0	1364.0
