#Position (bp)	insert size
3519247.5	24432.423943521924
1.05577415E7	27753.137595835113
1.75962355E7	8814.938087053839
2.46347295E7	7644.857341545798
3.16732235E7	8148.176656712876
3.87117175E7	11777.621797829444
4.57502115E7	11669.987452746722
5.27887055E7	9199.474078501693
5.98271995E7	9033.488215157
6.68656935E7	13434.63380084991
7.39041875E7	8114.557430455308
8.09426815E7	3090.64225760351
8.79811755E7	9942.35845000986
9.50196695E7	9795.432358281218
1.020581635E8	8269.537509727626
1.090966575E8	7076.131924051651
1.161351515E8	3386.283000893123
1.231736455E8	2369.756617544078
1.302121395E8	6934.5908929837
1.372506335E8	1192.8796469325275
1.442891275E8	1238.5348592527891
1.513276215E8	1565.222809727503
1.583661155E8	1778.204128440367
1.654046095E8	267.2930422255139
1.724431035E8	267.44582001356196
1.794815975E8	683.3697454605754
1.865200915E8	356.329295572532
1.935585855E8	264.12884834663623
2.005970795E8	264.32200089253115
2.06554927E8	263.1400141309468
2.10074174E8	26159.14905130946
2.146740675E8	29850.66914848783
2.217125615E8	15468.767813471502
2.287510555E8	13276.582079993388
2.357895495E8	29386.88216797683
2.428280435E8	13392.003467023875
2.498665375E8	9161.550816031095
2.569050315E8	24367.282675016057
2.639435255E8	8977.137086728339
2.709820195E8	6070.697467747734
2.780205135E8	18209.569329515158
2.850590075E8	12259.632737142188
2.920975015E8	10118.740272097826
2.991359955E8	7418.022887678968
3.061744895E8	8551.497502958342
3.132129835E8	3762.83532640266
3.202514775E8	5113.78844765343
3.272899715E8	1068.971638616947
3.343284655E8	6664.045203644553
3.413669595E8	974.8474711429197
3.484054535E8	1047.6013439193648
3.554439475E8	473.25579693945986
3.624824415E8	1646.7944072469477
3.695209355E8	2476.682239473997
3.765594295E8	801.1840665397334
3.835979235E8	338.82281108804494
3.906364175E8	388.55405916923996
3.976749115E8	266.5661990756764
4.047134055E8	265.09231970733913
4.08526901E8	289.9819870009285
4.12046148E8	5197.045419001694
4.187903935E8	9523.053908858974
