#Duplication rate	Coverage
1.0	1.23670262E8
2.0	1.2127677E7
3.0	1768041.0
4.0	466984.0
5.0	167342.0
6.0	81565.0
7.0	46157.0
8.0	30406.0
9.0	21749.0
10.0	16458.0
11.0	13076.0
12.0	10998.0
13.0	9254.0
14.0	7850.0
15.0	6810.0
16.0	5983.0
17.0	5339.0
18.0	4796.0
19.0	4408.0
20.0	3931.0
21.0	3583.0
22.0	3256.0
23.0	3054.0
24.0	2765.0
25.0	2649.0
26.0	2426.0
27.0	2316.0
28.0	2274.0
29.0	2102.0
30.0	1967.0
31.0	1988.0
32.0	1924.0
33.0	1828.0
34.0	1719.0
35.0	1733.0
36.0	1693.0
37.0	1535.0
38.0	1516.0
39.0	1458.0
40.0	1381.0
41.0	1369.0
42.0	1259.0
43.0	1262.0
44.0	1229.0
45.0	1136.0
46.0	1079.0
47.0	1123.0
48.0	1008.0
49.0	999.0
50.0	30148.0
