#Duplication rate	Coverage
1.0	8650789.0
2.0	654361.0
3.0	66343.0
4.0	14109.0
5.0	6624.0
6.0	4020.0
7.0	2478.0
8.0	1663.0
9.0	1057.0
10.0	800.0
11.0	487.0
12.0	365.0
13.0	271.0
14.0	212.0
15.0	138.0
16.0	96.0
17.0	97.0
18.0	72.0
19.0	49.0
20.0	42.0
21.0	38.0
22.0	35.0
23.0	22.0
24.0	32.0
25.0	23.0
26.0	20.0
27.0	23.0
28.0	18.0
29.0	14.0
30.0	15.0
31.0	19.0
32.0	10.0
33.0	13.0
34.0	16.0
35.0	16.0
36.0	9.0
37.0	6.0
38.0	3.0
39.0	8.0
40.0	7.0
41.0	8.0
42.0	2.0
43.0	2.0
44.0	3.0
45.0	1.0
46.0	6.0
47.0	6.0
48.0	2.0
49.0	2.0
50.0	50.0
