Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SQT096_153_040_S38_L001_R1_001_trimmed_1U	SQT096_153_040_S38_L001_R1_001_trimmed_1U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5528051.0	0.0	3-151	41.0	89.36968675348832	88.1357406073135	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
SQT096_153_040_S38_L001_R2_001_trimmed_2P	SQT096_153_040_S38_L001_R2_001_trimmed_2P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39410403.0	0.0	3-151	40.0	87.9512612687656	116.74810805664687	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
SQT096_153_040_S38_L001_R2_001_trimmed_2U	SQT096_153_040_S38_L001_R2_001_trimmed_2U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	640402.0	0.0	3-151	42.0	70.66160065954271	37.97720338162592	pass	pass	fail	pass	warn	pass	pass	warn	pass	warn	pass
SQT118_141_052_S39_L001_R1_001_trimmed_1P	SQT118_141_052_S39_L001_R1_001_trimmed_1P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41934172.0	0.0	3-151	40.0	89.85333416335453	132.04807477777314	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
SQT118_141_052_S39_L001_R1_001_trimmed_1U	SQT118_141_052_S39_L001_R1_001_trimmed_1U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8860836.0	0.0	3-151	41.0	90.11996843688897	91.32372577485917	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
SQT118_141_052_S39_L001_R2_001_trimmed_2P	SQT118_141_052_S39_L001_R2_001_trimmed_2P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41934172.0	0.0	3-151	40.0	88.33401949344835	119.20899840349774	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
SQT118_141_052_S39_L001_R2_001_trimmed_2U	SQT118_141_052_S39_L001_R2_001_trimmed_2U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	643726.0	0.0	3-151	41.0	73.9883244184531	40.61589868981523	pass	pass	fail	pass	warn	pass	pass	warn	pass	warn	pass
SQT121_129_064_S40_L001_R1_001_trimmed_1P	SQT121_129_064_S40_L001_R1_001_trimmed_1P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29755896.0	0.0	3-151	39.0	90.69344660320398	131.47730762333623	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
SQT121_129_064_S40_L001_R1_001_trimmed_1U	SQT121_129_064_S40_L001_R1_001_trimmed_1U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5419006.0	0.0	3-151	41.0	90.66442470088961	89.49876859335457	pass	pass	warn	pass	warn	warn	pass	warn	pass	pass	pass
SQT121_129_064_S40_L001_R2_001_trimmed_2P	SQT121_129_064_S40_L001_R2_001_trimmed_2P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29755896.0	0.0	3-151	40.0	88.84649908040511	117.53331806913158	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
SQT121_129_064_S40_L001_R2_001_trimmed_2U	SQT121_129_064_S40_L001_R2_001_trimmed_2U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	479153.0	0.0	3-151	41.0	72.39674290879114	38.44780894620299	pass	pass	fail	pass	warn	pass	pass	warn	pass	warn	pass
scaa0503_108_085_S18_L001_R1_001_trimmed_1P	scaa0503_108_085_S18_L001_R1_001_trimmed_1P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34736824.0	0.0	3-151	40.0	90.04959216889335	131.51610662506164	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
scaa0503_108_085_S18_L001_R1_001_trimmed_1U	scaa0503_108_085_S18_L001_R1_001_trimmed_1U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9495202.0	0.0	3-151	41.0	90.26238984881621	91.56802119638951	pass	pass	warn	pass	warn	warn	pass	warn	pass	pass	pass
scaa0503_108_085_S18_L001_R2_001_trimmed_2P	scaa0503_108_085_S18_L001_R2_001_trimmed_2P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34736824.0	0.0	3-151	40.0	88.54703564971503	118.16399990972117	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
scaa0503_108_085_S18_L001_R2_001_trimmed_2U	scaa0503_108_085_S18_L001_R2_001_trimmed_2U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	548120.0	0.0	3-151	41.0	74.96886675216498	40.80913486097935	pass	pass	fail	pass	warn	pass	pass	warn	pass	warn	pass
scca0200_116_077_S28_L001_R1_001_trimmed_1P	scca0200_116_077_S28_L001_R1_001_trimmed_1P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41710129.0	0.0	3-151	39.0	91.47992626522368	135.77560896539063	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
scca0200_116_077_S28_L001_R1_001_trimmed_1U	scca0200_116_077_S28_L001_R1_001_trimmed_1U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12941550.0	0.0	3-151	41.0	92.93520472593848	93.37800958926867	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
scca0200_116_077_S28_L001_R2_001_trimmed_2P	scca0200_116_077_S28_L001_R2_001_trimmed_2P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41710129.0	0.0	3-151	39.0	90.60466766860714	130.6065625929855	pass	pass	pass	pass	warn	warn	pass	warn	pass	warn	pass
scca0200_116_077_S28_L001_R2_001_trimmed_2U	scca0200_116_077_S28_L001_R2_001_trimmed_2U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	394043.0	0.0	3-151	41.0	86.35100196002435	61.993888991810536	pass	pass	fail	pass	warn	pass	pass	warn	pass	warn	pass
scca0201_104_089_S29_L001_R1_001_trimmed_1P	scca0201_104_089_S29_L001_R1_001_trimmed_1P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40806383.0	0.0	3-151	39.0	91.94577704457197	135.3538828226947	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
scca0201_104_089_S29_L001_R1_001_trimmed_1U	scca0201_104_089_S29_L001_R1_001_trimmed_1U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10832825.0	0.0	3-151	40.0	93.3405801070792	91.85066628511031	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
scca0201_104_089_S29_L001_R2_001_trimmed_2P	scca0201_104_089_S29_L001_R2_001_trimmed_2P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40806383.0	0.0	3-151	39.0	90.64249291558478	128.97389589760994	pass	pass	pass	pass	warn	warn	pass	warn	pass	warn	pass
scca0201_104_089_S29_L001_R2_001_trimmed_2U	scca0201_104_089_S29_L001_R2_001_trimmed_2U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	414029.0	0.0	3-151	41.0	84.92242524332617	59.294346531281626	pass	pass	warn	pass	warn	pass	pass	warn	pass	warn	pass
scca0207_187_006_S30_L001_R1_001_trimmed_1P	scca0207_187_006_S30_L001_R1_001_trimmed_1P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38761719.0	0.0	3-151	39.0	91.89712827628355	135.35137760531208	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
scca0207_187_006_S30_L001_R1_001_trimmed_1U	scca0207_187_006_S30_L001_R1_001_trimmed_1U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9916096.0	0.0	3-151	41.0	93.28167433388217	93.16366047686509	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
scca0207_187_006_S30_L001_R2_001_trimmed_2P	scca0207_187_006_S30_L001_R2_001_trimmed_2P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38761719.0	0.0	3-151	40.0	90.43148476991777	128.00454567043323	pass	pass	pass	pass	warn	warn	pass	warn	pass	warn	pass
scca0207_187_006_S30_L001_R2_001_trimmed_2U	scca0207_187_006_S30_L001_R2_001_trimmed_2U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	394451.0	0.0	3-151	41.0	83.56415408069277	56.83514555673582	pass	pass	fail	pass	warn	pass	pass	warn	pass	warn	pass
scca0506_191_002_S19_L001_R1_001_trimmed_1P	scca0506_191_002_S19_L001_R1_001_trimmed_1P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33030651.0	0.0	3-151	40.0	90.0054129095986	130.86267727511637	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
scca0506_191_002_S19_L001_R1_001_trimmed_1U	scca0506_191_002_S19_L001_R1_001_trimmed_1U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11774534.0	0.0	3-151	41.0	90.69678293864393	90.235885853317	pass	pass	warn	pass	warn	warn	pass	warn	pass	pass	pass
scca0506_191_002_S19_L001_R2_001_trimmed_2P	scca0506_191_002_S19_L001_R2_001_trimmed_2P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33030651.0	0.0	3-151	40.0	88.43877259704362	119.05050863211869	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
scca0506_191_002_S19_L001_R2_001_trimmed_2U	scca0506_191_002_S19_L001_R2_001_trimmed_2U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	531512.0	0.0	3-151	41.0	75.73775787669656	42.57095606496185	pass	pass	fail	pass	warn	pass	pass	warn	pass	warn	pass
scca0507_179_014_S20_L001_R1_001_trimmed_1P	scca0507_179_014_S20_L001_R1_001_trimmed_1P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34717433.0	0.0	3-151	39.0	90.0202536231333	131.4614092579944	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
scca0507_179_014_S20_L001_R1_001_trimmed_1U	scca0507_179_014_S20_L001_R1_001_trimmed_1U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11462411.0	0.0	3-151	40.0	90.75041633775601	94.00005539846721	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
scca0507_179_014_S20_L001_R2_001_trimmed_2P	scca0507_179_014_S20_L001_R2_001_trimmed_2P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34717433.0	0.0	3-151	39.0	88.62595676078497	120.9971588049151	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
scca0507_179_014_S20_L001_R2_001_trimmed_2U	scca0507_179_014_S20_L001_R2_001_trimmed_2U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	530324.0	0.0	3-151	40.0	76.94477047679082	43.479565322331254	pass	pass	fail	pass	warn	pass	pass	warn	pass	warn	pass
scca0509_167_026_S21_L001_R1_001_trimmed_1P	scca0509_167_026_S21_L001_R1_001_trimmed_1P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36611167.0	0.0	3-151	40.0	90.15133594890673	130.64026718951624	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
scca0509_167_026_S21_L001_R1_001_trimmed_1U	scca0509_167_026_S21_L001_R1_001_trimmed_1U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10511886.0	0.0	3-151	41.0	90.44967021607542	91.51691418647424	pass	pass	warn	pass	warn	warn	pass	warn	pass	pass	pass
scca0509_167_026_S21_L001_R2_001_trimmed_2P	scca0509_167_026_S21_L001_R2_001_trimmed_2P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36611167.0	0.0	3-151	40.0	88.23417555252138	119.30027321991675	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
scca0509_167_026_S21_L001_R2_001_trimmed_2U	scca0509_167_026_S21_L001_R2_001_trimmed_2U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	610396.0	0.0	3-151	41.0	72.08971645905633	39.93684755470219	pass	pass	fail	pass	warn	pass	pass	warn	pass	warn	pass
scca0539_131_062_S24_L001_R1_001_trimmed_1P	scca0539_131_062_S24_L001_R1_001_trimmed_1P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30296595.0	0.0	3-151	39.0	89.9986229125111	132.13144685071046	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
scca0539_131_062_S24_L001_R1_001_trimmed_1U	scca0539_131_062_S24_L001_R1_001_trimmed_1U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5572810.0	0.0	3-151	40.0	90.00825614936949	89.8377367970557	pass	pass	warn	pass	warn	warn	pass	warn	pass	pass	pass
scca0539_131_062_S24_L001_R2_001_trimmed_2P	scca0539_131_062_S24_L001_R2_001_trimmed_2P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30296595.0	0.0	3-151	40.0	88.3478795536365	117.07401577636034	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
scca0539_131_062_S24_L001_R2_001_trimmed_2U	scca0539_131_062_S24_L001_R2_001_trimmed_2U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	465384.0	0.0	3-151	40.0	74.08927431849696	38.565719921613116	pass	pass	fail	pass	warn	pass	pass	warn	pass	warn	pass
scca0540_119_074_S25_L001_R1_001_trimmed_1P	scca0540_119_074_S25_L001_R1_001_trimmed_1P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28752179.0	0.0	3-151	40.0	90.88400480980395	132.47078466644214	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
scca0540_119_074_S25_L001_R1_001_trimmed_1U	scca0540_119_074_S25_L001_R1_001_trimmed_1U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5912713.0	0.0	3-151	41.0	91.00033029278339	91.87099373840739	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
scca0540_119_074_S25_L001_R2_001_trimmed_2P	scca0540_119_074_S25_L001_R2_001_trimmed_2P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28752179.0	0.0	3-151	40.0	89.23674603750051	118.32317070647063	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
scca0540_119_074_S25_L001_R2_001_trimmed_2U	scca0540_119_074_S25_L001_R2_001_trimmed_2U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	415897.0	0.0	3-151	41.0	76.42671037024459	41.372092128579915	pass	pass	fail	pass	warn	pass	pass	warn	pass	warn	pass
scca0548_152_041_S96_L003_R1_001_trimmed_1P	scca0548_152_041_S96_L003_R1_001_trimmed_1P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37168159.0	0.0	3-151	40.0	88.12542428431914	136.78060492584527	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
scca0548_152_041_S96_L003_R1_001_trimmed_1U	scca0548_152_041_S96_L003_R1_001_trimmed_1U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9972637.0	0.0	3-151	41.0	89.51591988607393	97.32495407182674	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
scca0548_152_041_S96_L003_R2_001_trimmed_2P	scca0548_152_041_S96_L003_R2_001_trimmed_2P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37168159.0	0.0	3-151	40.0	87.39007666020126	124.86729393834115	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
scca0548_152_041_S96_L003_R2_001_trimmed_2U	scca0548_152_041_S96_L003_R2_001_trimmed_2U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	298434.0	0.0	3-151	40.0	80.2595191903627	50.543996327496195	pass	pass	fail	pass	warn	pass	pass	warn	pass	warn	pass
scca0549_140_053_S97_L003_R1_001_trimmed_1P	scca0549_140_053_S97_L003_R1_001_trimmed_1P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38383495.0	0.0	3-151	40.0	87.83222744262153	136.6681581497464	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
scca0549_140_053_S97_L003_R1_001_trimmed_1U	scca0549_140_053_S97_L003_R1_001_trimmed_1U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10714458.0	0.0	3-151	41.0	89.46516271268088	97.74822907514314	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
scca0549_140_053_S97_L003_R2_001_trimmed_2P	scca0549_140_053_S97_L003_R2_001_trimmed_2P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38383495.0	0.0	3-151	40.0	86.90005358980163	124.75977752937818	pass	pass	pass	pass	warn	warn	pass	warn	pass	warn	pass
scca0549_140_053_S97_L003_R2_001_trimmed_2U	scca0549_140_053_S97_L003_R2_001_trimmed_2U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	310787.0	0.0	3-151	41.0	81.70113252141847	51.6780463790313	pass	pass	fail	pass	warn	pass	pass	warn	pass	warn	pass
scca0550_128_065_S98_L003_R1_001_trimmed_1P	scca0550_128_065_S98_L003_R1_001_trimmed_1P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33898183.0	0.0	3-151	40.0	88.0926196976272	136.0575509607698	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
scca0550_128_065_S98_L003_R1_001_trimmed_1U	scca0550_128_065_S98_L003_R1_001_trimmed_1U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8788332.0	0.0	3-151	41.0	89.80615609288246	97.47808241654958	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
scca0550_128_065_S98_L003_R2_001_trimmed_2P	scca0550_128_065_S98_L003_R2_001_trimmed_2P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33898183.0	0.0	3-151	40.0	87.40985824156566	127.52826810805759	pass	pass	pass	pass	warn	warn	pass	warn	pass	warn	pass
scca0550_128_065_S98_L003_R2_001_trimmed_2U	scca0550_128_065_S98_L003_R2_001_trimmed_2U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	278354.0	0.0	3-151	40.0	84.29080063007608	56.70235024465249	pass	pass	fail	pass	warn	pass	pass	warn	pass	warn	pass
scca0551_116_077_S99_L003_R1_001_trimmed_1P	scca0551_116_077_S99_L003_R1_001_trimmed_1P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33339953.0	0.0	3-151	40.0	87.36422358918716	136.78169966226406	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
scca0551_116_077_S99_L003_R1_001_trimmed_1U	scca0551_116_077_S99_L003_R1_001_trimmed_1U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12945666.0	0.0	3-151	41.0	89.02208630176052	97.34320381817359	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
scca0551_116_077_S99_L003_R2_001_trimmed_2P	scca0551_116_077_S99_L003_R2_001_trimmed_2P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33339953.0	0.0	3-151	40.0	86.7504955547695	128.2740348794133	pass	pass	pass	pass	warn	warn	pass	warn	pass	warn	pass
scca0551_116_077_S99_L003_R2_001_trimmed_2U	scca0551_116_077_S99_L003_R2_001_trimmed_2U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	254498.0	0.0	3-151	40.0	83.56079616941243	55.40767314477913	pass	pass	fail	pass	warn	pass	pass	warn	pass	warn	pass
scca0554_097_096_S123_L003_R1_001_trimmed_1P	scca0554_097_096_S123_L003_R1_001_trimmed_1P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30921150.0	0.0	3-151	39.0	88.75398907349535	133.74353321270394	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
scca0554_097_096_S123_L003_R1_001_trimmed_1U	scca0554_097_096_S123_L003_R1_001_trimmed_1U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8908298.0	0.0	3-151	41.0	90.1115899478599	91.82873237963076	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
scca0554_097_096_S123_L003_R2_001_trimmed_2P	scca0554_097_096_S123_L003_R2_001_trimmed_2P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30921150.0	0.0	3-151	40.0	87.88153816529997	127.69004778282826	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
scca0554_097_096_S123_L003_R2_001_trimmed_2U	scca0554_097_096_S123_L003_R2_001_trimmed_2U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	376752.0	0.0	3-151	41.0	76.1341878181824	44.44526372786342	pass	pass	fail	pass	warn	pass	pass	warn	pass	warn	pass
scca0561_164_029_S24_L001_R1_001_trimmed_1P	scca0561_164_029_S24_L001_R1_001_trimmed_1P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33969331.0	0.0	3-151	41.0	93.70615062460136	134.5110745925494	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
scca0561_164_029_S24_L001_R1_001_trimmed_1U	scca0561_164_029_S24_L001_R1_001_trimmed_1U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13577901.0	0.0	3-151	42.0	94.57462840174496	92.34747727207615	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
scca0561_164_029_S24_L001_R2_001_trimmed_2P	scca0561_164_029_S24_L001_R2_001_trimmed_2P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33969331.0	0.0	3-151	41.0	92.78540196088288	131.44517093963375	pass	pass	pass	pass	warn	warn	pass	warn	pass	warn	pass
scca0561_164_029_S24_L001_R2_001_trimmed_2U	scca0561_164_029_S24_L001_R2_001_trimmed_2U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	362586.0	0.0	3-151	42.0	87.18925803667743	64.83902577595384	pass	pass	warn	pass	warn	pass	pass	warn	pass	warn	pass
scca0583_152_041_S25_L001_R1_001_trimmed_1P	scca0583_152_041_S25_L001_R1_001_trimmed_1P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42919173.0	0.0	3-151	39.0	91.38848860118435	135.18583769076818	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
scca0583_152_041_S25_L001_R1_001_trimmed_1U	scca0583_152_041_S25_L001_R1_001_trimmed_1U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13157974.0	0.0	3-151	40.0	92.8242970111875	94.08357981251521	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
scca0583_152_041_S25_L001_R2_001_trimmed_2P	scca0583_152_041_S25_L001_R2_001_trimmed_2P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42919173.0	0.0	3-151	39.0	90.5698511486425	129.7841035753415	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
scca0583_152_041_S25_L001_R2_001_trimmed_2U	scca0583_152_041_S25_L001_R2_001_trimmed_2U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	438236.0	0.0	3-151	40.0	84.58691267929781	57.8691960496171	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
scca0586_140_053_S26_L001_R1_001_trimmed_1P	scca0586_140_053_S26_L001_R1_001_trimmed_1P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38251187.0	0.0	3-151	40.0	92.78380708559231	135.19303071562197	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
scca0586_140_053_S26_L001_R1_001_trimmed_1U	scca0586_140_053_S26_L001_R1_001_trimmed_1U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12798383.0	0.0	3-151	41.0	93.8363727633666	92.16633374700538	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
scca0586_140_053_S26_L001_R2_001_trimmed_2P	scca0586_140_053_S26_L001_R2_001_trimmed_2P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38251187.0	0.0	3-151	40.0	91.55765170818778	129.27780042486	pass	pass	pass	pass	warn	warn	pass	warn	pass	warn	pass
scca0586_140_053_S26_L001_R2_001_trimmed_2U	scca0586_140_053_S26_L001_R2_001_trimmed_2U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	388876.0	0.0	3-151	42.0	85.75430410024404	60.124558985383516	pass	pass	warn	pass	warn	pass	pass	warn	pass	warn	pass
scca0587_128_065_S27_L001_R1_001_trimmed_1P	scca0587_128_065_S27_L001_R1_001_trimmed_1P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	43910696.0	0.0	3-151	40.0	92.14019225971121	134.66609335912142	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
scca0587_128_065_S27_L001_R1_001_trimmed_1U	scca0587_128_065_S27_L001_R1_001_trimmed_1U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10167127.0	0.0	3-151	41.0	93.5256101694312	92.15761581418232	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
scca0587_128_065_S27_L001_R2_001_trimmed_2P	scca0587_128_065_S27_L001_R2_001_trimmed_2P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	43910696.0	0.0	3-151	40.0	91.04835706431616	129.44160880528972	pass	pass	pass	pass	warn	warn	pass	warn	pass	warn	pass
scca0587_128_065_S27_L001_R2_001_trimmed_2U	scca0587_128_065_S27_L001_R2_001_trimmed_2U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	468622.0	0.0	3-151	41.0	85.11629836233703	59.880212623393696	pass	pass	warn	pass	warn	pass	pass	warn	pass	warn	pass
scca1001_166_027_S29_L001_R1_001_trimmed_1P	scca1001_166_027_S29_L001_R1_001_trimmed_1P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33586580.0	0.0	3-151	40.0	89.90629375708748	131.99334064379283	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
scca1001_166_027_S29_L001_R1_001_trimmed_1U	scca1001_166_027_S29_L001_R1_001_trimmed_1U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6501398.0	0.0	3-151	41.0	90.0023258299619	90.01751777079329	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
scca1001_166_027_S29_L001_R2_001_trimmed_2P	scca1001_166_027_S29_L001_R2_001_trimmed_2P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33586580.0	0.0	3-151	40.0	88.10275868881286	116.10352819489212	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
scca1001_166_027_S29_L001_R2_001_trimmed_2U	scca1001_166_027_S29_L001_R2_001_trimmed_2U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	516069.0	0.0	3-151	41.0	72.48784951390896	37.40736606926593	pass	pass	fail	pass	warn	pass	pass	warn	pass	warn	pass
scca1025_155_038_S22_L001_R1_001_trimmed_1P	scca1025_155_038_S22_L001_R1_001_trimmed_1P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31693684.0	0.0	3-151	40.0	89.90513538484292	131.76851760117253	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
scca1025_155_038_S22_L001_R1_001_trimmed_1U	scca1025_155_038_S22_L001_R1_001_trimmed_1U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7592377.0	0.0	3-151	41.0	90.36016434239545	92.30855317116102	pass	pass	warn	pass	warn	warn	pass	warn	pass	pass	pass
scca1025_155_038_S22_L001_R2_001_trimmed_2P	scca1025_155_038_S22_L001_R2_001_trimmed_2P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31693684.0	0.0	3-151	40.0	88.2675995990322	118.8471805297232	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
scca1025_155_038_S22_L001_R2_001_trimmed_2U	scca1025_155_038_S22_L001_R2_001_trimmed_2U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	498423.0	0.0	3-151	41.0	74.50514915247646	40.597123326973275	pass	pass	fail	pass	warn	pass	pass	warn	pass	warn	pass
