Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SCCA1009_159_034_S36_L002_R2_001_trimmed_2P	SCCA1009_159_034_S36_L002_R2_001_trimmed_2P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	110485447.0	0.0	3-151	40.0	88.32859557331807	127.03249009799454	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
SCCA1009_159_034_S36_L002_R2_001_trimmed_2U	SCCA1009_159_034_S36_L002_R2_001_trimmed_2U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1227083.0	0.0	3-151	41.0	79.21511100374727	56.07061869490491	pass	pass	pass	pass	warn	pass	pass	warn	pass	warn	pass
SCCA1011_145_048_S31_L002_R1_001_trimmed_1P	SCCA1011_145_048_S31_L002_R1_001_trimmed_1P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	85125148.0	0.0	3-151	40.0	90.147806483797	135.36689987311388	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
SCCA1011_145_048_S31_L002_R1_001_trimmed_1U	SCCA1011_145_048_S31_L002_R1_001_trimmed_1U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9167900.0	0.0	3-151	41.0	91.58863672576753	93.28578987554401	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
SCCA1011_145_048_S31_L002_R2_001_trimmed_2P	SCCA1011_145_048_S31_L002_R2_001_trimmed_2P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	85125148.0	0.0	3-151	40.0	89.13619743370708	128.24452388617286	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
SCCA1011_145_048_S31_L002_R2_001_trimmed_2U	SCCA1011_145_048_S31_L002_R2_001_trimmed_2U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	986192.0	0.0	3-151	41.0	80.25308490747202	57.778254133069424	pass	pass	pass	pass	warn	pass	pass	warn	pass	warn	pass
SCCA1012_109_084_S34_L002_R1_001_trimmed_1P	SCCA1012_109_084_S34_L002_R1_001_trimmed_1P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	91344640.0	0.0	3-151	40.0	90.1428553157486	135.89474594240014	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
SCCA1012_109_084_S34_L002_R1_001_trimmed_1U	SCCA1012_109_084_S34_L002_R1_001_trimmed_1U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7129459.0	0.0	3-151	41.0	90.36106097417749	90.20850137436796	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
SCCA1012_109_084_S34_L002_R2_001_trimmed_2P	SCCA1012_109_084_S34_L002_R2_001_trimmed_2P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	91344640.0	0.0	3-151	40.0	89.16879721889195	127.33606365956447	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
SCCA1012_109_084_S34_L002_R2_001_trimmed_2U	SCCA1012_109_084_S34_L002_R2_001_trimmed_2U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1015696.0	0.0	3-151	41.0	78.46057919485666	54.97899962193412	pass	pass	pass	pass	warn	pass	pass	warn	pass	warn	pass
