#Read position (bp)	Clipping profile
0.0	19.00441249301258
1.0	2.40365638086085
2.0	2.188088414125862
3.0	1.9560785630927047
4.0	1.7402041306671636
5.0	1.499046278770999
6.0	1.397667428336063
7.0	1.2862671498200433
8.0	1.1834325873549805
9.0	1.0848272514195492
10.0	0.9876929507987721
11.0	0.9280547274171562
12.0	0.8665317400386391
13.0	0.8061733222842236
14.0	0.7488795614353382
15.0	0.6940681726799321
16.0	0.6512242691406211
17.0	0.609529611940884
18.0	0.5684325628377251
19.0	0.5317332963940021
20.0	0.4970413802234013
21.0	0.46876992026988595
22.0	0.4419082024929145
23.0	0.41702318842001
24.0	0.3921075277780502
25.0	0.370363787033314
26.0	0.35012172817228765
27.0	0.3319483127224941
28.0	0.31446444507644483
29.0	0.2975168923888633
30.0	1.0718790759936843
31.0	1.0664852798399513
32.0	0.9574754337102453
33.0	0.8519133265992607
34.0	0.8020513587462856
35.0	0.9118273691023743
36.0	0.8867278290460826
37.0	0.8043804979944885
38.0	0.7986955594347301
39.0	0.8038748296050761
40.0	0.7631302160460532
41.0	0.7793882209298905
42.0	0.7301238611734939
43.0	0.719857260539968
44.0	0.6866976728221322
45.0	0.6392721072090537
46.0	0.5995848002824388
47.0	0.6594988427855525
48.0	0.6330202071217723
49.0	0.5985887867881414
50.0	0.5853188223871961
51.0	0.5354415312496935
52.0	0.591861864880503
53.0	0.5604338083142916
54.0	0.5929038482283832
55.0	0.903859261147996
56.0	0.4982825662701409
57.0	0.4872191548411772
58.0	0.7524039168766978
59.0	0.47793324441742097
60.0	0.4451414155282488
61.0	0.4720644264433308
62.0	0.4657972030715217
63.0	0.47106841294903357
64.0	0.4193523276682129
65.0	0.42065480685306317
66.0	0.4070324069079818
67.0	0.4093308995871295
68.0	0.3928277221508497
69.0	0.37051701987859054
70.0	0.3635602487030372
71.0	0.3518226127548569
72.0	0.36182871755141266
73.0	0.3492023311006286
74.0	0.3476240327942806
75.0	0.34843616687424606
76.0	0.34503439770910765
77.0	0.3363767419509851
78.0	0.3399010973923447
79.0	0.34417629377555925
80.0	0.35047416371642365
81.0	0.3559292530082672
82.0	0.35727770204670045
83.0	0.3635908952720925
84.0	0.3681112642077494
85.0	0.37125253753591775
86.0	0.37882224009257714
87.0	0.3807529739430611
88.0	0.3824538585256303
89.0	0.3891654571487413
90.0	0.39728679794839605
91.0	0.3991409153762418
92.0	0.4042742156930047
93.0	0.407813894418892
94.0	0.41323833714168035
95.0	0.41420370406692225
96.0	0.4195975002206553
97.0	0.421497587502084
98.0	0.4272591424844806
99.0	0.433817508262315
100.0	0.43423123694456156
101.0	0.4348441683256676
102.0	0.4372192774274535
103.0	0.44034522747109417
104.0	0.4429961556943777
105.0	0.4459535496082143
106.0	0.4491714393590209
107.0	0.44993760358540347
108.0	0.45301758377546114
109.0	0.45386036442448197
110.0	0.4551781668938599
111.0	0.457936358108837
112.0	0.45721616373603746
113.0	0.4584573497827771
114.0	0.4590549578793555
115.0	0.4559443311202424
116.0	0.4526498249467975
117.0	0.4498916337318204
118.0	0.4461987221606567
119.0	0.4431187419705989
120.0	0.4391193647088821
121.0	0.4340473575302298
122.0	0.4304617089507595
123.0	0.4242864252861163
124.0	0.41855551687277504
125.0	0.4118592415341918
126.0	0.4049331169276937
127.0	0.39596899547901815
128.0	0.38793959438652925
129.0	0.37755040747678215
130.0	0.3670079877217586
131.0	0.3530178289480136
132.0	0.34117293000813975
133.0	0.3269988918200629
134.0	0.31077153350528103
135.0	0.2938546273867548
136.0	0.27666190214673086
137.0	0.2582892839980778
138.0	0.23783269915366437
139.0	0.21509294491463093
140.0	0.18757232590297052
141.0	0.1584427620159068
142.0	0.1275356971236356
143.0	0.09696574449097276
144.0	0.10588389608606537
145.0	0.1159819405897871
146.0	0.13047776775294453
147.0	0.14382434857652815
148.0	0.15730883896086065
149.0	0.16797384499210544
150.0	0.16028155615922487
