#Duplication rate	Coverage
1.0	4.447455E7
2.0	4354018.0
3.0	490375.0
4.0	115211.0
5.0	34810.0
6.0	20820.0
7.0	13152.0
8.0	9842.0
9.0	7779.0
10.0	6342.0
11.0	5464.0
12.0	4811.0
13.0	4238.0
14.0	3739.0
15.0	3311.0
16.0	3103.0
17.0	2708.0
18.0	2556.0
19.0	2293.0
20.0	2168.0
21.0	1997.0
22.0	1852.0
23.0	1741.0
24.0	1567.0
25.0	1415.0
26.0	1351.0
27.0	1268.0
28.0	1121.0
29.0	1097.0
30.0	941.0
31.0	840.0
32.0	746.0
33.0	735.0
34.0	670.0
35.0	580.0
36.0	557.0
37.0	512.0
38.0	488.0
39.0	411.0
40.0	378.0
41.0	377.0
42.0	341.0
43.0	315.0
44.0	300.0
45.0	272.0
46.0	250.0
47.0	230.0
48.0	188.0
49.0	221.0
50.0	2850.0
