#Duplication rate	Coverage
1.0	1.62489902E8
2.0	2.2513301E7
3.0	4233108.0
4.0	1395925.0
5.0	558175.0
6.0	292041.0
7.0	167144.0
8.0	107835.0
9.0	73762.0
10.0	53940.0
11.0	40236.0
12.0	31039.0
13.0	24410.0
14.0	20189.0
15.0	16494.0
16.0	13860.0
17.0	11835.0
18.0	10449.0
19.0	8960.0
20.0	7805.0
21.0	6985.0
22.0	6203.0
23.0	5651.0
24.0	5134.0
25.0	4674.0
26.0	4195.0
27.0	3859.0
28.0	3427.0
29.0	3265.0
30.0	3102.0
31.0	2761.0
32.0	2674.0
33.0	2392.0
34.0	2327.0
35.0	2168.0
36.0	2038.0
37.0	1976.0
38.0	1774.0
39.0	1708.0
40.0	1588.0
41.0	1498.0
42.0	1425.0
43.0	1388.0
44.0	1274.0
45.0	1245.0
46.0	1185.0
47.0	1090.0
48.0	1048.0
49.0	1041.0
50.0	29899.0
