#Duplication rate	Coverage
1.0	6.9513293E7
2.0	3217110.0
3.0	340778.0
4.0	91868.0
5.0	41068.0
6.0	24437.0
7.0	16901.0
8.0	12589.0
9.0	9640.0
10.0	7755.0
11.0	6454.0
12.0	5345.0
13.0	4722.0
14.0	4024.0
15.0	3633.0
16.0	3374.0
17.0	3068.0
18.0	2846.0
19.0	2665.0
20.0	2502.0
21.0	2359.0
22.0	2217.0
23.0	2111.0
24.0	1998.0
25.0	1821.0
26.0	1687.0
27.0	1612.0
28.0	1575.0
29.0	1488.0
30.0	1288.0
31.0	1244.0
32.0	1140.0
33.0	1074.0
34.0	994.0
35.0	933.0
36.0	832.0
37.0	795.0
38.0	735.0
39.0	684.0
40.0	612.0
41.0	540.0
42.0	485.0
43.0	461.0
44.0	429.0
45.0	405.0
46.0	309.0
47.0	316.0
48.0	302.0
49.0	270.0
50.0	3553.0
