#Duplication rate	Coverage
1.0	7844459.0
2.0	331423.0
3.0	30298.0
4.0	9702.0
5.0	5119.0
6.0	3092.0
7.0	1877.0
8.0	1212.0
9.0	823.0
10.0	578.0
11.0	381.0
12.0	261.0
13.0	167.0
14.0	133.0
15.0	116.0
16.0	84.0
17.0	56.0
18.0	42.0
19.0	32.0
20.0	31.0
21.0	17.0
22.0	22.0
23.0	15.0
24.0	15.0
25.0	10.0
26.0	15.0
27.0	11.0
28.0	12.0
29.0	6.0
30.0	9.0
31.0	7.0
32.0	5.0
33.0	8.0
34.0	10.0
35.0	5.0
36.0	2.0
37.0	6.0
38.0	1.0
39.0	1.0
40.0	5.0
41.0	4.0
42.0	2.0
43.0	3.0
44.0	1.0
45.0	4.0
46.0	3.0
47.0	0.0
48.0	2.0
49.0	3.0
50.0	32.0
