#Position (bp)	Coverage
3519247.5	2.3003270301857186
1.05577415E7	2.258231377337254
1.75962355E7	2.3005206795658277
2.46347295E7	2.2854306617296256
3.16732235E7	2.277832019179103
3.87117175E7	2.2772874424557297
4.57502115E7	2.258340065360573
5.27887055E7	2.2734101925781283
5.98271995E7	2.2729387849162053
6.68656935E7	2.2689346613068078
7.39041875E7	2.332912694107575
8.09426815E7	2.25175044547882
8.79811755E7	2.367041585884708
9.50196695E7	2.303530414318745
1.020581635E8	2.334642751702282
1.090966575E8	2.2818652683372322
1.161351515E8	2.3021809779194244
1.231736455E8	2.9296265650009787
1.302121395E8	2.3264077514309167
1.372506335E8	2.2806783667074235
1.442891275E8	2.2651621213287956
1.513276215E8	2.2622980143195406
1.583661155E8	2.302492266101243
1.654046095E8	2.253046603435337
1.724431035E8	2.34446900146537
1.794815975E8	2.237461167118989
1.865200915E8	2.189132078538392
1.935585855E8	2.2274303281355357
2.005970795E8	2.2622937520441164
2.06554927E8	2.2856714332667445
2.10074174E8	2.2474171711100714
2.146740675E8	2.2632061631366027
2.217125615E8	2.221384290446223
2.287510555E8	2.2357902130768315
2.357895495E8	2.2174405490720033
2.428280435E8	2.2769875203417094
2.498665375E8	2.283350955474282
2.569050315E8	2.2829150667742275
2.639435255E8	2.2332460608760907
2.709820195E8	2.2630895188658258
2.780205135E8	2.321895848742643
2.850590075E8	2.3681624222454407
2.920975015E8	2.2645604301147375
2.991359955E8	2.6712448714170955
3.061744895E8	2.252031187353431
3.132129835E8	2.2795264157360937
3.202514775E8	2.2771445141531697
3.272899715E8	5.193442375599099
3.343284655E8	3.180806149724643
3.413669595E8	2.2779044778613153
3.484054535E8	2.281458931413453
3.554439475E8	2.240364487062147
3.624824415E8	2.294460576367615
3.695209355E8	2.267547148580364
3.765594295E8	2.2567931435332613
3.835979235E8	2.2444341076372303
3.906364175E8	2.258849975577162
3.976749115E8	2.2646129981783036
4.047134055E8	2.282913077712363
