#Duplication rate	Coverage
1.0	6.0367093E7
2.0	5021168.0
3.0	521695.0
4.0	139930.0
5.0	46971.0
6.0	27224.0
7.0	17938.0
8.0	12909.0
9.0	10159.0
10.0	8021.0
11.0	6624.0
12.0	5667.0
13.0	4851.0
14.0	4300.0
15.0	3709.0
16.0	3425.0
17.0	3146.0
18.0	2986.0
19.0	2709.0
20.0	2508.0
21.0	2387.0
22.0	2245.0
23.0	2187.0
24.0	2012.0
25.0	1907.0
26.0	1784.0
27.0	1613.0
28.0	1554.0
29.0	1462.0
30.0	1415.0
31.0	1285.0
32.0	1261.0
33.0	1133.0
34.0	1097.0
35.0	999.0
36.0	962.0
37.0	853.0
38.0	797.0
39.0	711.0
40.0	695.0
41.0	665.0
42.0	642.0
43.0	571.0
44.0	529.0
45.0	452.0
46.0	430.0
47.0	441.0
48.0	329.0
49.0	343.0
50.0	5142.0
