#Duplication rate	Coverage
1.0	1.41786712E8
2.0	2.152692E7
3.0	4347160.0
4.0	1505262.0
5.0	592890.0
6.0	318072.0
7.0	180891.0
8.0	117676.0
9.0	80109.0
10.0	57911.0
11.0	42932.0
12.0	32622.0
13.0	25643.0
14.0	20660.0
15.0	16779.0
16.0	14114.0
17.0	11756.0
18.0	10131.0
19.0	8769.0
20.0	7539.0
21.0	6497.0
22.0	5934.0
23.0	5220.0
24.0	4749.0
25.0	4036.0
26.0	3938.0
27.0	3427.0
28.0	3096.0
29.0	2921.0
30.0	2677.0
31.0	2408.0
32.0	2219.0
33.0	2175.0
34.0	2036.0
35.0	1894.0
36.0	1720.0
37.0	1650.0
38.0	1495.0
39.0	1437.0
40.0	1369.0
41.0	1253.0
42.0	1241.0
43.0	1197.0
44.0	1146.0
45.0	1075.0
46.0	1003.0
47.0	937.0
48.0	918.0
49.0	861.0
50.0	29656.0
