#Coverage (X)	Coverage
1.0	80.34574572159455
2.0	56.09142972287633
3.0	34.903499025488145
4.0	20.6311053719471
5.0	12.331170699992313
6.0	7.908533034777392
7.0	5.593672118317912
8.0	4.313839946512303
9.0	3.5238899365160563
10.0	2.9746432218247065
11.0	2.5553881442496333
12.0	2.216144261741178
13.0	1.9355849570285244
14.0	1.699440627573992
15.0	1.4984408942745375
16.0	1.3259800818986918
17.0	1.1771548682201853
18.0	1.048694453730647
19.0	0.9368074729551807
20.0	0.8391487861598677
21.0	0.7536936702035604
22.0	0.6785259479054133
23.0	0.6124086002345308
24.0	0.5540689115991597
25.0	0.5028086146455735
26.0	0.45737111939259023
27.0	0.4171137811873393
28.0	0.38138152373883827
29.0	0.34951905764228286
30.0	0.3211632014697301
31.0	0.2958375748484343
32.0	0.2730439887604632
33.0	0.2524992504894499
34.0	0.2340279318620304
35.0	0.2172501930551931
36.0	0.202177258062207
37.0	0.1884824589522367
38.0	0.17611177137791856
39.0	0.16485257880843562
40.0	0.15465224213609474
41.0	0.14542043663020365
42.0	0.13696163038261489
43.0	0.12922034276834893
44.0	0.1220446236506092
45.0	0.11545851936942597
46.0	0.10932485567788319
47.0	0.10370987544767729
48.0	0.09853255991723131
49.0	0.09369089861601765
50.0	0.08921209907205707
51.0	0.08506689365729869
