#Coverage (X)	Coverage
1.0	84.8834109900827
2.0	65.97926218489178
3.0	46.81712513475381
4.0	31.82293188898555
5.0	21.138349133327353
6.0	14.223228975584846
7.0	9.894467085204269
8.0	7.254062342153276
9.0	5.616787541757333
10.0	4.566668244703308
11.0	3.852976886528694
12.0	3.335168186289522
13.0	2.9366979907149755
14.0	2.614302387679956
15.0	2.3448973525110404
16.0	2.11404488725249
17.0	1.913089410584746
18.0	1.735814961371915
19.0	1.5792701976863697
20.0	1.4406732741064872
21.0	1.3169386935698384
22.0	1.2060615525183493
23.0	1.1065696963658525
24.0	1.016767982457253
25.0	0.9357712426394329
26.0	0.8623763429751392
27.0	0.7959531770065098
28.0	0.7356863713487343
29.0	0.6809701855546706
30.0	0.6312367068760238
31.0	0.5858554026273453
32.0	0.5444306980836586
33.0	0.5065408055230307
34.0	0.4718005927964981
35.0	0.44004631747054646
36.0	0.41106813349369986
37.0	0.38443242532834176
38.0	0.3600070979397003
39.0	0.3376015920748756
40.0	0.3170480095813133
41.0	0.29814676938873674
42.0	0.2807787053660178
43.0	0.26469347984038905
44.0	0.2498959944291812
45.0	0.23625390546484937
46.0	0.22364385557827404
47.0	0.21192650386562661
48.0	0.2011027027820802
49.0	0.19098793129896308
50.0	0.1815854926801279
51.0	0.17291985949319155
