#Read position (bp)	Clipping profile
0.0	20.731309490804918
1.0	2.116740596987339
2.0	1.9355882081138527
3.0	1.7341280842805655
4.0	1.5464605858977913
5.0	1.346040107198965
6.0	1.2557295998521394
7.0	1.1633629054616024
8.0	1.0725210239349412
9.0	0.9870159874318454
10.0	0.9023888734867388
11.0	0.8488818038998245
12.0	0.7976619536087238
13.0	0.7471814065243508
14.0	0.6995656593660475
15.0	0.6511412993253858
16.0	0.614961648646151
17.0	0.579729230200536
18.0	0.5451437020608076
19.0	0.5097726642639313
20.0	0.4787450328065798
21.0	0.4543018205341465
22.0	0.4294889566583495
23.0	0.4063626282229
24.0	0.38455318362443397
25.0	0.36526199057388414
26.0	0.3479114684409944
27.0	0.3313002495148323
28.0	0.31702245633490433
29.0	0.3006191664356344
30.0	1.085019868773681
31.0	0.9733157748821735
32.0	1.0197301543295445
33.0	0.8848766287773773
34.0	0.8577996488309768
35.0	0.9380833564365585
36.0	0.9209407633305609
37.0	0.9177756214767581
38.0	0.7901303021901858
39.0	0.8163755660290176
40.0	0.7939192311246649
41.0	0.8024212180020331
42.0	0.7267119489880788
43.0	0.7103548655392293
44.0	0.7173089363275112
45.0	0.6702938730246742
46.0	0.7185796137140744
47.0	0.6599667313556973
48.0	0.6842713242768691
49.0	0.6832778855928288
50.0	0.6762545051289159
51.0	0.6498937251640329
52.0	0.6250346548378153
53.0	0.6624156732279827
54.0	0.61775713889659
55.0	0.7580630255983736
56.0	0.5907032621753997
57.0	0.5454440439885408
58.0	0.7379170132150449
59.0	0.5272618057480825
60.0	0.4728306071527585
61.0	0.46146382034932076
62.0	0.4791608908603641
63.0	0.46144071712411056
64.0	0.45035116902319566
65.0	0.3882034932076518
66.0	0.447393956196285
67.0	0.4307596340449127
68.0	0.4073560669069402
69.0	0.39781443489511137
70.0	0.3469873394325848
71.0	0.35585897791331667
72.0	0.3773449773588393
73.0	0.3353895203770446
74.0	0.3127021532205896
75.0	0.32492375935680623
76.0	0.317276591812217
77.0	0.3080584049533315
78.0	0.3110387210054524
79.0	0.3054708437297847
80.0	0.3036456889381758
81.0	0.309744940393679
82.0	0.32233619813325937
83.0	0.3220358562055263
84.0	0.32852786248960353
85.0	0.3289437205433879
86.0	0.33287126882912854
87.0	0.337260881619074
88.0	0.343729784677941
89.0	0.3463173459014879
90.0	0.35747620367803346
91.0	0.35759171980408466
92.0	0.3665788744108678
93.0	0.3746881064596618
94.0	0.373070880694945
95.0	0.3776915257369929
96.0	0.3816190740227336
97.0	0.3867479900194067
98.0	0.39552721559929765
99.0	0.3989695961556234
100.0	0.39980131226319193
101.0	0.4054616024397006
102.0	0.4058774604934849
103.0	0.40918122169854915
104.0	0.4139866925422789
105.0	0.41724424729692267
106.0	0.4214952407356066
107.0	0.42237316329359575
108.0	0.42396728583310234
109.0	0.42505313741798356
110.0	0.4276175954163201
111.0	0.43041308566675907
112.0	0.43459476942981246
113.0	0.4366509564735237
114.0	0.43919231124665004
115.0	0.4384299048147121
116.0	0.43794473708529713
117.0	0.4359809629424268
118.0	0.4358885500415858
119.0	0.43390167267350527
120.0	0.4312910082247482
121.0	0.42764069864153037
122.0	0.42382866648184087
123.0	0.4217031697624989
124.0	0.4168745956935588
125.0	0.4116994732464652
126.0	0.4052998798632289
127.0	0.3973523703909066
128.0	0.39046760927825525
129.0	0.38252009980593293
130.0	0.3739719064781444
131.0	0.36678680343775993
132.0	0.35477312632843544
133.0	0.344307365308197
134.0	0.33243230755013403
135.0	0.318824507901303
136.0	0.3024905276776638
137.0	0.286387579706127
138.0	0.26852878661861196
139.0	0.2486600129378061
140.0	0.22537196192588485
141.0	0.20139081415765642
142.0	0.1739210793826818
143.0	0.14622031235560484
144.0	0.15566953146659274
145.0	0.16622770538767212
146.0	0.18327788559282876
147.0	0.1977405045744386
148.0	0.21236484613252007
149.0	0.22345439423343497
150.0	0.2134738009426116
