#Coverage (X)	Coverage
1.0	13.311209478661752
2.0	2.368655349565401
3.0	0.5718276842485039
4.0	0.19987658807374942
5.0	0.09263637603274333
6.0	0.052649976500589446
7.0	0.034853127519625104
8.0	0.025932219523625122
9.0	0.020952176330652605
10.0	0.017897047984192227
11.0	0.015933310907783493
12.0	0.014433238414284233
13.0	0.013249320237662232
14.0	0.01230451574053859
15.0	0.011512691430226596
16.0	0.010847492233907019
17.0	0.010251697097260148
18.0	0.009742710313659586
19.0	0.009280395451455092
20.0	0.008840848246492783
21.0	0.008449358202611279
22.0	0.008085643990185076
23.0	0.007748320369543649
24.0	0.00741390930411967
25.0	0.007116331406493259
26.0	0.006838999319512595
27.0	0.006573956794795777
28.0	0.006316550847785152
29.0	0.006086387947732419
30.0	0.005869722254786325
31.0	0.005665594756848691
32.0	0.005473437150484983
33.0	0.005296552699519452
34.0	0.005133733759109305
35.0	0.004982422963706767
36.0	0.00483505477353674
37.0	0.004681648359138535
38.0	0.004542840239793122
39.0	0.004405488398049329
40.0	0.004283622825511202
41.0	0.004161508620200038
42.0	0.00404909109262519
43.0	0.00394363528239694
44.0	0.003843791468810309
45.0	0.0037494530949686578
46.0	0.0036595545918771677
47.0	0.003575942945772681
48.0	0.0034910881358598544
49.0	0.003407156819065449
50.0	0.00332585390576412
51.0	0.0032505536977254224
