#Duplication rate	Coverage
1.0	5.4925483E7
2.0	2065847.0
3.0	209328.0
4.0	60158.0
5.0	29320.0
6.0	18256.0
7.0	12764.0
8.0	9533.0
9.0	7646.0
10.0	6277.0
11.0	5278.0
12.0	4507.0
13.0	4127.0
14.0	3714.0
15.0	3438.0
16.0	3147.0
17.0	2871.0
18.0	2550.0
19.0	2373.0
20.0	2240.0
21.0	1992.0
22.0	1812.0
23.0	1742.0
24.0	1593.0
25.0	1486.0
26.0	1341.0
27.0	1218.0
28.0	1184.0
29.0	1132.0
30.0	973.0
31.0	880.0
32.0	826.0
33.0	806.0
34.0	701.0
35.0	646.0
36.0	541.0
37.0	512.0
38.0	476.0
39.0	417.0
40.0	343.0
41.0	317.0
42.0	294.0
43.0	293.0
44.0	258.0
45.0	231.0
46.0	201.0
47.0	190.0
48.0	157.0
49.0	147.0
50.0	2552.0
