#Read position (bp)	Clipping profile
0.0	19.783669267320207
1.0	2.3442547236238327
2.0	2.088181587267345
3.0	1.8044190713000465
4.0	1.5354747459280795
5.0	1.2509249436076686
6.0	1.0821521995177847
7.0	0.9337675791142641
8.0	0.8610272700906991
9.0	0.7937036797481287
10.0	0.7285875554824737
11.0	0.6882874513532462
12.0	0.6487522407018183
13.0	0.6123013539816701
14.0	0.5784657193836122
15.0	0.5452429424257018
16.0	0.5207840297218984
17.0	0.4970016175670268
18.0	0.47267470497033204
19.0	0.4577091928268879
20.0	0.4423465017897329
21.0	0.42981945591064424
22.0	0.4166854452533327
23.0	0.40399811352989784
24.0	0.39341453351350714
25.0	0.3825763818619784
26.0	0.37314190992086405
27.0	0.36311697321491543
28.0	0.35309321508135166
29.0	0.34397577911177507
30.0	0.8587172682162976
31.0	0.8540960858951097
32.0	0.7913830707222631
33.0	0.7737952350224193
34.0	0.7180805826711014
35.0	0.8279918861419875
36.0	0.7816622056916184
37.0	0.7636960482562221
38.0	0.7287160198724276
39.0	0.7114911844671326
40.0	0.72240358617891
41.0	0.7074475026145449
42.0	0.6727491530307413
43.0	0.6687985783965608
44.0	0.6442830942182821
45.0	0.6598249282579418
46.0	0.6422983783221127
47.0	0.6159926426911729
48.0	0.6098522805658505
49.0	0.5870763692276825
50.0	0.5678856750843764
51.0	0.5492948742849837
52.0	0.5427879761479578
53.0	0.5272025349300569
54.0	0.5260887840263276
55.0	1.5360616749757592
56.0	0.49555079496121646
57.0	0.48413749998585714
58.0	1.2954773369016106
59.0	0.46530509184756025
60.0	0.4492706145510129
61.0	0.44100646498810303
62.0	0.4390241062367034
63.0	0.4297393129884712
64.0	0.4118214770208556
65.0	0.4024518265609107
66.0	0.4044777924905516
67.0	0.38814631495300983
68.0	0.3791655933800815
69.0	0.37148955143723605
70.0	0.34675956708490585
71.0	0.3387217034198965
72.0	0.3284728379608171
73.0	0.31492161267925145
74.0	0.296293097563542
75.0	0.2871532687186523
76.0	0.2532681340804288
77.0	0.2372348353562664
78.0	0.22324400257513352
79.0	0.20708813232294165
80.0	0.20568680975729703
81.0	0.19546269431830054
82.0	0.19069419044900027
83.0	0.19140486959709418
84.0	0.1874083306399026
85.0	0.18748140212776632
86.0	0.18597400804748082
87.0	0.189160867776247
88.0	0.19022865435696523
89.0	0.18844901005576814
90.0	0.19078847623979217
91.0	0.19408258605558412
92.0	0.19522580126893588
93.0	0.19780098192993964
94.0	0.1997020191867813
95.0	0.20374098674982924
96.0	0.2051658807631718
97.0	0.20653773901919392
98.0	0.21308588718969135
99.0	0.21540885336032672
100.0	0.2190624277535128
101.0	0.22274664502870625
102.0	0.2265015766469936
103.0	0.2297803650217819
104.0	0.23540333387013376
105.0	0.2396827301997011
106.0	0.24352369760208603
107.0	0.24804116555340291
108.0	0.2524655262863128
109.0	0.2565858153439187
110.0	0.2611893190793332
111.0	0.2654852154222891
112.0	0.27016768350749176
113.0	0.27517779471569626
114.0	0.2800782986921052
115.0	0.28557162457811824
116.0	0.291405557883367
117.0	0.29709688393004297
118.0	0.30307460306624934
119.0	0.3093717153187633
120.0	0.3156923990189752
121.0	0.3225858688982479
122.0	0.3297999104662131
123.0	0.33737105946680257
124.0	0.34537945882218946
125.0	0.3535127868503756
126.0	0.36286475872454704
127.0	0.37278480248823975
128.0	0.3827543462920981
129.0	0.3930421046398792
130.0	0.4034323987851464
131.0	0.41684926681483364
132.0	0.4327599940109666
133.0	0.44764064894269806
134.0	0.4633380545371642
135.0	0.47930771035254216
136.0	0.5031620154228925
137.0	0.5251164618087861
138.0	0.548197623394643
139.0	0.5730006792348369
140.0	0.5979039137277472
141.0	0.6400543765012655
142.0	0.6824888752195444
143.0	0.7267371968381826
144.0	0.8471731517062144
145.0	0.9890614811241732
146.0	1.1991832587658442
147.0	1.39516923922304
148.0	1.5884963603799036
149.0	1.7511534923645482
150.0	1.718635501692807
