#Duplication rate	Coverage
1.0	1.07828525E8
2.0	1.0285113E7
3.0	1714026.0
4.0	536573.0
5.0	225980.0
6.0	119134.0
7.0	70645.0
8.0	46435.0
9.0	31920.0
10.0	23642.0
11.0	17555.0
12.0	14169.0
13.0	11690.0
14.0	9484.0
15.0	8083.0
16.0	6680.0
17.0	5887.0
18.0	5157.0
19.0	4545.0
20.0	4100.0
21.0	3578.0
22.0	3254.0
23.0	2957.0
24.0	2478.0
25.0	2371.0
26.0	2140.0
27.0	1983.0
28.0	1818.0
29.0	1725.0
30.0	1617.0
31.0	1452.0
32.0	1304.0
33.0	1239.0
34.0	1216.0
35.0	1060.0
36.0	1075.0
37.0	947.0
38.0	891.0
39.0	903.0
40.0	826.0
41.0	757.0
42.0	735.0
43.0	654.0
44.0	621.0
45.0	592.0
46.0	553.0
47.0	598.0
48.0	512.0
49.0	472.0
50.0	17100.0
