#Position (bp)	Coverage	Std
3381345.5	5.335549759045587	4.372528260028491
1.01440355E7	5.169350657800372	3.2990587820372914
1.69067255E7	5.115838963489381	3.2055677215684666
2.36694155E7	5.106052029591775	3.512338369567416
3.04321055E7	5.128558606116797	3.766935082649683
3.71947955E7	5.136218871484572	3.512147166299057
4.39574855E7	5.176562285126185	3.7910326985895555
5.07201755E7	5.087002213616179	3.46973143650854
5.74828655E7	5.124943328764146	3.9722622004746038
6.42455555E7	5.166609588787893	3.824818968219094
7.10082455E7	5.190273397124517	3.8154288019545852
7.77709355E7	5.230482396797724	4.04890806494024
8.45336255E7	5.376097085627169	5.98336214292107
9.12963155E7	5.408372555891221	4.476721539440945
9.80590055E7	5.6684023665139165	5.485489321144806
1.048216955E8	5.223786984173458	3.777302151761425
1.115843855E8	5.159992547344326	3.5688170958635848
1.183470755E8	5.841169416312148	6.208400719703377
1.251097655E8	6.01173926351792	5.78925184324757
1.318724555E8	5.234428755421289	3.9679788264402553
1.386351455E8	5.0851368316453955	3.458713940182734
1.453978355E8	5.104773100644862	3.634240543865135
1.521605255E8	5.105879465124085	3.5795277319704404
1.589232155E8	5.200033418654411	3.7843625313169116
1.656859055E8	5.137476211389255	3.399866905559701
1.724485955E8	5.380427315166006	4.312792096744391
1.792112855E8	5.092078152332873	3.346358571738798
1.859739755E8	5.051330165954672	2.9925743084290106
1.927366655E8	5.096490597676368	3.0939920356278363
1.994993555E8	5.230421178554687	3.5729187291556137
2.05937114E8	5.349871017125137	4.346253860144239
2.09318459E8	5.236951480542822	3.9858560562308
2.130247355E8	5.278451178451179	3.5522127448544496
2.197874255E8	5.244961546366905	3.5170108889063383
2.265501155E8	5.128999259170537	3.1576058365204034
2.333128055E8	5.146193896215855	3.4319084903668924
2.400754955E8	5.245808842339365	3.8306138563105665
2.468381855E8	5.280960682805215	4.188788085142313
2.536008755E8	5.184471268090065	3.774663718870113
2.603635655E8	5.231631643621103	3.889720512540002
2.671262555E8	5.219411949978485	3.7394641765773105
2.738889455E8	5.210757109966596	3.6932563888586167
2.806516355E8	5.6605819577712415	6.96043075511422
2.874143255E8	5.199833054598097	4.545809953736568
2.941770155E8	5.176908005542173	3.4123874278935973
3.009397055E8	5.67144834378036	181.09815845858677
3.077023955E8	5.2131283557282675	3.812721288381552
3.144650855E8	5.109385910044671	3.4922733993423125
3.212277755E8	5.22628643335714	3.8317269050730074
3.279904655E8	13.719900512961559	16.365574376797348
3.347531555E8	5.9793777328252515	6.169325711916899
3.415158455E8	5.120353734978241	3.747806244342066
3.482785355E8	5.180362548039316	4.3933279399288985
3.550412255E8	5.117132087970911	3.8006086003758814
3.618039155E8	5.209288907224788	5.042762371291857
3.685666055E8	5.151808821637544	3.7097965149464884
3.753292955E8	5.161721740904877	3.8126194225188605
3.820919855E8	5.150114673303079	3.6140526371511728
3.888546755E8	5.079010571237185	3.396337906653868
3.956173655E8	5.09875330674628	3.787601727045872
4.023800555E8	5.178755495224533	3.182176077168586
4.07291275E8	5.170196967136847	3.559838836845006
4.1067262E8	5.457079386358033	5.147480245239759
4.159054355E8	5.1363569822067845	3.13174509796692
4.226681255E8	5.115742700020258	3.477960834555077
4.294308155E8	5.24155328722742	4.400729806382754
4.361935055E8	5.070806291579238	3.147447324797586
4.429561955E8	5.032679599390184	2.9848993994103497
4.497188855E8	5.897558515916004	8.409619576624495
4.564815755E8	5.144898849422345	3.475382836411112
4.632442655E8	6.853147933736428	6.719587776246383
4.700069555E8	5.543227620961481	4.983375713159132
4.767696455E8	5.137385862726223	3.4641858984805194
4.835323355E8	5.14493315529767	3.435422794039044
4.902950255E8	5.193700583643491	3.9050426780605436
4.970577155E8	5.192598359528531	3.726952616122725
5.038204055E8	5.00926288207799	3.1682643002777193
5.105830955E8	5.206369950419138	4.181854355201368
