#Coverage (X)	Coverage
1.0	84.83338426682027
2.0	63.61798078579368
3.0	42.87452242423644
4.0	27.153222413370614
5.0	16.960173238329645
6.0	11.017949101739347
7.0	7.731099069888003
8.0	5.908120317178643
9.0	4.82989049345062
10.0	4.11982448510355
11.0	3.598836091503955
12.0	3.184506357914117
13.0	2.8387047152593965
14.0	2.543771701919553
15.0	2.287855988641965
16.0	2.0641647152440186
17.0	1.867462457166809
18.0	1.6933228408602758
19.0	1.538860056889149
20.0	1.4014492536617809
21.0	1.2791389126260952
22.0	1.170167115470818
23.0	1.0720736765309624
24.0	0.9838075185629549
25.0	0.9043931842019504
26.0	0.8327697574507908
27.0	0.7680142069385454
28.0	0.7094328117391484
29.0	0.6564593995336452
30.0	0.6083065503635083
31.0	0.5646564050015002
32.0	0.5249209824835077
33.0	0.4888466418728967
34.0	0.45586394310585376
35.0	0.4258356408975317
36.0	0.39821403279131573
37.0	0.37294871737438484
38.0	0.3498073650897453
39.0	0.3286203018365512
40.0	0.3090482149320479
41.0	0.29099832883689203
42.0	0.2743505184078856
43.0	0.2590267839955658
44.0	0.2448077604655623
45.0	0.2316159809529097
46.0	0.21942469967615352
47.0	0.20812590345951776
48.0	0.19758174319574096
49.0	0.18775463981872065
50.0	0.1786434212025938
51.0	0.17022702460047867
