#Read position (bp)	Clipping profile
0.0	20.516117441369833
1.0	2.2718930808758357
2.0	2.026028951899846
3.0	1.753949884918304
4.0	1.4962249371991112
5.0	1.2241341093660634
6.0	1.0645946304397629
7.0	0.9233515082004243
8.0	0.8515620945262681
9.0	0.7847851557637163
10.0	0.7203168721516762
11.0	0.6803993660571734
12.0	0.6412016240748017
13.0	0.6050405339511262
14.0	0.5712798336197042
15.0	0.5381565714398753
16.0	0.5136387243065529
17.0	0.48981241524174834
18.0	0.46552625688308247
19.0	0.4501183653258484
20.0	0.4343976351185706
21.0	0.4214759875695797
22.0	0.4081191885148887
23.0	0.3952163583283065
24.0	0.3843022881312886
25.0	0.37324591163105525
26.0	0.36371609365622376
27.0	0.3535453092743476
28.0	0.34343685740545005
29.0	0.33415636948253324
30.0	0.8903576153871549
31.0	0.8850099562076462
32.0	0.8145777447972138
33.0	0.8002659646002839
34.0	0.7356295008117163
35.0	0.851285714515891
36.0	0.8048103576219733
37.0	0.7871173326172386
38.0	0.7503611434073895
39.0	0.7322188538751482
40.0	0.741699276273657
41.0	0.724038005567987
42.0	0.6884920079780442
43.0	0.6868337279157818
44.0	0.6582795565458036
45.0	0.6767970172410672
46.0	0.6587593992872242
47.0	0.629700687387664
48.0	0.6222831183432037
49.0	0.6013241048754175
50.0	0.580675577887374
51.0	0.5612584120519467
52.0	0.5562953327166649
53.0	0.539911290484482
54.0	0.5366864650016994
55.0	1.5735666488689701
56.0	0.5057765950751881
57.0	0.49518477220941837
58.0	1.325596151388362
59.0	0.47582053020576537
60.0	0.45961525291646477
61.0	0.4488434890226623
62.0	0.44710876342561473
63.0	0.4374660412763314
64.0	0.4193296321698429
65.0	0.41009265939749606
66.0	0.4114874963860374
67.0	0.3949540913397359
68.0	0.385773570654615
69.0	0.3782136953069392
70.0	0.3517447229088697
71.0	0.3447258467304427
72.0	0.33432454965906055
73.0	0.3202032952565181
74.0	0.30100723342939245
75.0	0.29166794124894857
76.0	0.2577731672103649
77.0	0.2427075164319383
78.0	0.2277735871903722
79.0	0.21159888811498567
80.0	0.2109908520921561
81.0	0.2009106262668716
82.0	0.19564882130335237
83.0	0.19661203504164523
84.0	0.19226287215494564
85.0	0.19283915387871062
86.0	0.19114794343223304
87.0	0.19413755188490756
88.0	0.19536303261177096
89.0	0.19369534386830425
90.0	0.19602869680697704
91.0	0.19913708985985615
92.0	0.20031435109554743
93.0	0.20306168600721053
94.0	0.20477171381609677
95.0	0.20874688162492439
96.0	0.2104475007526063
97.0	0.2116917988418784
98.0	0.21793093056549692
99.0	0.22010668809399722
100.0	0.22383252585091024
101.0	0.22734666828072592
102.0	0.2310948516554992
103.0	0.2342444076886473
104.0	0.23954972780273645
105.0	0.2435307760373168
106.0	0.2472354442615201
107.0	0.2514728790589183
108.0	0.2555362532540365
109.0	0.2594620254865414
110.0	0.26367005815517613
111.0	0.26760641515403594
112.0	0.2719896845101012
113.0	0.2766258121735327
114.0	0.28098438374143664
115.0	0.28607330418782634
116.0	0.29143390030399097
117.0	0.2967168748002199
118.0	0.3022397706671591
119.0	0.30796142492453976
120.0	0.31367484658586653
121.0	0.3199645499709583
122.0	0.3264506595761904
123.0	0.3332260861284555
124.0	0.34029671005350637
125.0	0.34742731432123475
126.0	0.35563874084231006
127.0	0.36446408381196765
128.0	0.3733176528252382
129.0	0.38242643231617607
130.0	0.39158225521313567
131.0	0.40350305429901634
132.0	0.4177360367908602
133.0	0.4308305688569806
134.0	0.4446613302273395
135.0	0.4587249564575054
136.0	0.4800838388764755
137.0	0.4996433110151182
138.0	0.520098960038473
139.0	0.541916515666154
140.0	0.5637481843156414
141.0	0.6015793153530848
142.0	0.6394116224756787
143.0	0.678838701062406
144.0	0.7896247461581913
145.0	0.9199596786262648
146.0	1.1139666850594623
147.0	1.2948579898938297
148.0	1.4732677550605562
149.0	1.6235679090442088
150.0	1.5942880931363472
