#Position (bp)	insert size
3519247.5	22622.456874400767
1.05577415E7	12552.729364349578
1.75962355E7	24337.206839893006
2.46347295E7	15881.647739020562
3.16732235E7	7716.512852808152
3.87117175E7	9779.681171612114
4.57502115E7	7482.359245967431
5.27887055E7	8569.708622075883
5.98271995E7	8498.868276997282
6.68656935E7	16078.914992331289
7.39041875E7	14579.086554590525
8.09426815E7	1853.677088969622
8.79811755E7	3566.0809310389345
9.50196695E7	3315.2711572329426
1.020581635E8	8785.030138671438
1.090966575E8	10305.555521525239
1.161351515E8	6315.270166647686
1.231736455E8	5312.1258139360825
1.302121395E8	5444.245859396881
1.372506335E8	2794.389860743469
1.442891275E8	1913.3644188007975
1.513276215E8	433.10275548680266
1.583661155E8	745.4888316801696
1.654046095E8	2298.682787553898
1.724431035E8	519.0577652924542
1.794815975E8	601.9920883273307
1.865200915E8	582.7290432006386
1.935585855E8	624.0841467983987
2.005970795E8	296.4029842046978
2.06554927E8	250.37887098135178
2.10074174E8	14852.604926361824
2.146740675E8	17468.40584377789
2.217125615E8	18400.78673447091
2.287510555E8	18207.877567854197
2.357895495E8	11428.53765285996
2.428280435E8	8809.813659133493
2.498665375E8	13325.620373021782
2.569050315E8	21679.027074670907
2.639435255E8	21055.88472904476
2.709820195E8	7871.403909861325
2.780205135E8	6181.068114195322
2.850590075E8	9403.366958902083
2.920975015E8	9274.092147466863
2.991359955E8	6833.962093966959
3.061744895E8	2150.958033410295
3.132129835E8	6721.683641857263
3.202514775E8	2170.1363592983525
3.272899715E8	3207.5237111481765
3.343284655E8	1207.0915684496827
3.413669595E8	2417.8675659104842
3.484054535E8	1918.403185295125
3.554439475E8	469.5191941192486
3.624824415E8	1822.427000645676
3.695209355E8	708.538841957396
3.765594295E8	257.82676137454405
3.835979235E8	258.4704613051846
3.906364175E8	260.5088696728764
3.976749115E8	271.4046955674622
4.047134055E8	253.86508212560386
4.08526901E8	265.5628549791746
4.12046148E8	27830.70995502064
4.187903935E8	12380.850113505117
4.258288875E8	11092.117563352827
4.328673815E8	12267.593263493422
4.399058755E8	9817.73551488406
4.469443695E8	15374.795701145109
4.539828635E8	4621.670588911673
4.610213575E8	7418.224411836041
4.680598515E8	6709.419647316455
4.750983455E8	10478.290271568301
4.821368395E8	8070.306073854321
4.891753335E8	4446.873299859564
4.962138275E8	2004.9649647551914
5.032523215E8	1039.2759610199523
5.102908155E8	4809.491361817527
5.173293095E8	3412.0488813829484
5.243678035E8	4187.625212524118
5.314062975E8	4211.696063632141
5.384447915E8	1061.2878112366343
5.454832855E8	347.39617625431305
5.525217795E8	882.7807644410384
5.595602735E8	541.406320022982
5.665987675E8	939.5377445163266
5.736372615E8	256.4580258569199
5.806757555E8	257.7802362465215
5.877142495E8	252.5137635856497
5.918006215E8	249.96684097932018
5.953198685E8	8504.495273626148
6.017912375E8	23343.664746270075
6.088297315E8	8567.09258202287
6.158682255E8	7794.4725668219
6.229067195E8	15026.377396868027
6.299452135E8	15469.154426051138
6.369837075E8	15218.980319446859
6.440222015E8	7073.76439255042
6.510606955E8	12492.873294955605
6.580991895E8	14003.739187047102
6.651376835E8	7330.453813205973
6.721761775E8	3490.9520790355245
6.792146715E8	4373.700486665369
6.862531655E8	3056.620383881468
6.932916595E8	3367.7670054881346
7.003301535E8	2953.129654907238
7.073686475E8	2464.2051860844495
7.144071415E8	1257.217135445905
7.214456355E8	793.9891823465101
7.284841295E8	942.7307053089578
7.355226235E8	2430.208638246796
7.425611175E8	259.35382846452165
7.495996115E8	430.86269541148494
7.566381055E8	632.1239370790047
7.636765995E8	378.2480006272542
7.683379745E8	248.40129151291512
7.718572215E8	6711.308260267651
7.777535875E8	7691.395356061194
7.847920815E8	7833.571367212667
7.918305755E8	9345.76693138562
7.988690695E8	6470.768118195956
8.059075635E8	16067.957775784069
8.129460575E8	6872.225050721587
8.199845515E8	9217.61672309267
8.270230455E8	14086.290887370009
8.340615395E8	6986.779430865509
8.411000335E8	7765.713280468638
8.481385275E8	16243.453299779268
8.551770215E8	2432.491078414827
8.622155155E8	494.26202857396396
8.692540095E8	3466.6930770628746
8.762925035E8	1955.6334958648742
8.833309975E8	1369.3113361183885
8.903694915E8	1839.6472707121086
8.974079855E8	1725.5984418058722
9.044464795E8	616.8369860001466
9.114849735E8	1701.5033008967755
9.185234675E8	751.2721932494524
9.255619615E8	556.6010610919745
9.326004555E8	454.9809926289926
9.396389495E8	269.77288687993484
9.442718855E8	249.5658085226915
9.477911325E8	7112.461711455249
9.537159375E8	22703.923083011774
9.607544315E8	4679.406609561519
9.677929255E8	2700.828221583527
9.748314195E8	10470.045446677565
9.818699135E8	8195.0268543187
9.889084075E8	7909.36978394821
9.959469015E8	9510.72867296271
1.0029853955E9	2034.2787188988882
1.0100238895E9	11273.555288321664
1.0170623835E9	5531.648593637932
1.0241008775E9	3677.5740618700574
1.0311393715E9	260.860638636444
1.0381778655E9	1644.0402312138729
1.0452163595E9	4453.890547455827
1.0522548535E9	764.5111887838788
1.0592933475E9	1711.382053117202
1.0663318415E9	1058.4872972866847
1.0733703355E9	779.7410046998998
1.0804088295E9	256.1448466909533
1.0874473235E9	334.0555984847057
1.0944858175E9	257.11923865300145
1.1015243115E9	256.57715139522674
1.106347486E9	336.3161594630142
1.109866733E9	10392.666346989541
1.1156012995E9	15795.335855360127
1.1226397935E9	17496.364076438094
1.1296782875E9	9030.49735574098
1.1367167815E9	9575.548330404217
1.1437552755E9	9583.425905406193
1.1507937695E9	4829.462963322148
1.1578322635E9	14941.169695680755
1.1648707575E9	1586.3968711083437
1.1719092515E9	6726.569276587568
1.1789477455E9	3506.09942357538
1.1859862395E9	3122.6084051515445
1.1930247335E9	2161.6961396454735
1.2000632275E9	2122.997293958468
1.2071017215E9	1307.5304518282742
1.2141402155E9	3731.5345169200586
1.2211787095E9	2390.1184472527257
1.2282172035E9	305.9134547264825
1.2352556975E9	4641.737935137087
1.2422941915E9	796.7255638373683
1.2493326855E9	256.4416998776783
1.2563711795E9	257.0670328795478
1.2612678865E9	254.729715784495
1.2647871335E9	9628.37346521146
1.2704481675E9	10098.53423747362
1.2774866615E9	18056.406972498222
1.2845251555E9	13614.786940430726
1.2915636495E9	5323.227454125748
1.2986021435E9	6076.582972862879
1.3056406375E9	11325.461455897574
1.3126791315E9	3579.1906360355465
1.3197176255E9	9400.062260202301
1.3267561195E9	5766.672218963832
1.3337946135E9	3039.7458543863813
1.3408331075E9	963.1845909390381
1.3478716015E9	257.9523029203488
1.3549100955E9	1492.2966843552697
1.3619485895E9	801.5779736727675
1.3689870835E9	258.2204785280816
1.3760255775E9	1343.9350222254345
1.3830640715E9	315.69691145727967
1.3901025655E9	446.03210424358826
1.3971410595E9	254.54140730968618
1.4041795535E9	343.000583320466
1.409287071E9	255.09969775658763
1.412806318E9	16932.807982434395
1.4182565415E9	4811.887112528655
1.4252950355E9	8296.040651991656
1.4323335295E9	10544.924465660852
1.4393720235E9	11313.415631655327
1.4464105175E9	6188.69317754977
1.4534490115E9	5226.088307086614
1.4604875055E9	8943.122909290089
1.4675259995E9	5459.705225315288
1.4745644935E9	2635.8000312207305
1.4816029875E9	1473.4732914909741
1.4886414815E9	3254.199294704438
1.4956799755E9	3130.3900318188257
1.5027184695E9	2073.6003285613706
1.5097569635E9	876.734468100904
1.5167954575E9	260.7384432491425
1.5238339515E9	553.746917067659
1.5308724455E9	584.6536292695894
1.5379109395E9	406.0369221038484
1.5449494335E9	255.3965901973066
1.5503840105E9	308.3269963293857
1.5539032575E9	12055.101383475392
1.5590264215E9	5969.196710967386
1.5660649155E9	11600.816359469962
1.5731034095E9	4119.407152385436
1.5801419035E9	7372.521108205752
1.5871803975E9	6981.501462878237
1.5942188915E9	4766.529977911013
1.6012573855E9	5229.144960777133
1.6082958795E9	8426.19271673828
1.6153343735E9	1119.217260311986
1.6223728675E9	295.95810507158905
1.6294113615E9	2959.34037834815
1.6364498555E9	3482.9995589222362
1.6434883495E9	2071.4364864864865
1.6505268435E9	1511.2689088868322
1.6575653375E9	2123.8373378652914
1.6646038315E9	853.2259227333282
1.6716423255E9	520.6983469459533
1.6786808195E9	258.72370449887774
1.6857193135E9	346.87755500078015
1.691256513E9	250.94271745234713
1.69477576E9	15821.89788165892
1.6997963015E9	7025.036085499536
1.7068347955E9	7148.122183353202
1.7138732895E9	6062.590909953626
1.7209117835E9	3765.055603485463
1.7279502775E9	11292.057828163897
1.7349887715E9	6384.450900560306
1.7420272655E9	965.5533785235685
1.7490657595E9	5482.240841579327
1.7561042535E9	2492.509659453501
1.7631427475E9	257.7540758346641
1.7701812415E9	3698.0850647857087
1.7772197355E9	332.20098953527184
1.7842582295E9	1999.3192727272726
1.7912967235E9	1419.7156253046105
1.7983352175E9	334.08998255620236
1.8053737115E9	436.1493994727077
1.8124122055E9	256.3364615987461
1.8194506995E9	339.65229390083533
1.8257353815E9	257.6319018404908
1.8292546285E9	320.25276125743414
1.8335276875E9	7429.123720808187
1.8405661815E9	3116.558174904943
1.8476046755E9	14978.796194787283
1.8546431695E9	3237.0772745549584
1.8616816635E9	3700.5819360186897
1.8687201575E9	5312.474039383435
1.8757586515E9	2629.239548141892
1.8827971455E9	12407.598155077243
1.8898356395E9	2347.3372026162583
1.8968741335E9	258.0099734748011
1.9039126275E9	258.66243531995684
1.9109511215E9	257.7773734462259
1.9179896155E9	1276.8010558893136
1.9250281095E9	256.0865756624571
1.9320666035E9	255.1738083071757
1.9391050975E9	256.90321858799837
1.9461435915E9	257.2673318743277
1.9531820855E9	257.2647121763321
