#Coverage (X)	Coverage
1.0	83.55159720216082
2.0	61.96492426943706
3.0	41.29902540631434
4.0	25.978085306574215
5.0	16.16233155341685
6.0	10.482517488895994
7.0	7.336870051974486
8.0	5.580793509528974
9.0	4.529151976146622
10.0	3.8296189751079908
11.0	3.3140230354162554
12.0	2.9053366972294725
13.0	2.567694329381581
14.0	2.2814701047724384
15.0	2.035479207547482
16.0	1.8226523689302638
17.0	1.6367936960006944
18.0	1.4740787551264987
19.0	1.3307960985063971
20.0	1.2043361477041685
21.0	1.0930664155208518
22.0	0.9941272699991686
23.0	0.9061326190076926
24.0	0.8276022806739292
25.0	0.7575242841359255
26.0	0.6948450303035258
27.0	0.6383277842975872
28.0	0.5874431004100558
29.0	0.541829360047501
30.0	0.5008043504288651
31.0	0.4639563712185719
32.0	0.4304705107783633
33.0	0.40008574022668597
34.0	0.3724107471144862
35.0	0.3473313734848631
36.0	0.3245468802521998
37.0	0.30367284564685804
38.0	0.2845873330583686
39.0	0.26714972290011474
40.0	0.25113777300147433
41.0	0.236435513938261
42.0	0.22293106096739734
43.0	0.21044443948787261
44.0	0.19891253229700112
45.0	0.18814360801600571
46.0	0.1781389453276745
47.0	0.16883674123106118
48.0	0.16025354756433785
49.0	0.15228792216045406
50.0	0.1448877942151654
51.0	0.13801537154859034
