#Position (bp)	insert size
3519247.5	10018.053336424937
1.05577415E7	9845.77981535108
1.75962355E7	13664.265060015938
2.46347295E7	10919.142151270924
3.16732235E7	11000.17189680733
3.87117175E7	7575.093333415774
4.57502115E7	10204.210026165483
5.27887055E7	6728.827386602639
5.98271995E7	8714.73679241813
6.68656935E7	4927.238898482793
7.39041875E7	7852.051868674461
8.09426815E7	7387.587656230665
8.79811755E7	3065.6726616332135
9.50196695E7	5936.055851443098
1.020581635E8	5780.796693916807
1.090966575E8	8238.67506075902
1.161351515E8	3318.014272801671
1.231736455E8	2948.942057572878
1.302121395E8	2531.0968861069664
1.372506335E8	2137.1732898740215
1.442891275E8	966.7175502401847
1.513276215E8	771.5658373353989
1.583661155E8	1288.3898130617797
1.654046095E8	1352.8284531985007
1.724431035E8	507.06694428932957
1.794815975E8	952.0338135974786
1.865200915E8	739.4079382651311
1.935585855E8	336.1438013611313
2.005970795E8	383.50878364066983
2.06554927E8	397.347854501998
2.10074174E8	18456.294607326465
2.146740675E8	10334.502745211621
2.217125615E8	10626.882108445116
2.287510555E8	15049.084127463517
2.357895495E8	16137.480329749285
2.428280435E8	11467.86352658478
2.498665375E8	10290.938527654349
2.569050315E8	12369.49910796412
2.639435255E8	8902.101959066158
2.709820195E8	5764.649111533994
2.780205135E8	4340.633469328282
2.850590075E8	8648.538089551534
2.920975015E8	5996.116961311004
2.991359955E8	2646.0075051242316
3.061744895E8	3124.898370858728
3.132129835E8	5428.438771089408
3.202514775E8	3206.97864540259
3.272899715E8	2584.8594539514756
3.343284655E8	1657.3502076854882
3.413669595E8	1810.9405171566218
3.484054535E8	1383.3382657481889
3.554439475E8	2438.1578258022264
3.624824415E8	1235.8093882919873
3.695209355E8	706.4086203292717
3.765594295E8	664.6079546510547
3.835979235E8	450.4850097355853
3.906364175E8	339.05870402187134
3.976749115E8	486.1064942667702
4.047134055E8	361.7488188316585
4.08526901E8	343.71396685830234
4.12046148E8	8341.784128460748
4.187903935E8	15335.795923242811
4.258288875E8	12767.511516149414
4.328673815E8	10342.084356932963
4.399058755E8	12404.22456140351
4.469443695E8	4974.716729921645
4.539828635E8	6516.149216548373
4.610213575E8	7249.028007337133
4.680598515E8	4754.978680209235
4.750983455E8	4518.899137321275
4.821368395E8	2530.151203114163
4.891753335E8	2074.9655735448678
4.962138275E8	3366.60545923923
5.032523215E8	3910.421785600639
5.102908155E8	2193.6410334755137
5.173293095E8	1195.6910791652701
5.243678035E8	959.9411844632612
5.314062975E8	1027.6095226754244
5.384447915E8	1253.1005796217205
5.454832855E8	714.9991038934913
5.525217795E8	466.8416325080112
5.595602735E8	654.9279855380794
5.665987675E8	430.2322800656134
5.736372615E8	507.972730078157
5.806757555E8	337.4515844349049
5.877142495E8	414.3573261045395
5.918006215E8	331.9119139435762
5.953198685E8	15548.945995385753
6.017912375E8	6915.297148589494
