#Read position (bp)	Clipping profile
0.0	20.586308333051274
1.0	1.582914690821741
2.0	1.4539681849501374
3.0	1.3117041551866293
4.0	1.176363474708712
5.0	1.0306645905263474
6.0	0.9596124532680628
7.0	0.8893618908765363
8.0	0.8346264782045136
9.0	0.7822957901327645
10.0	0.7303578434272129
11.0	0.6982267487100271
12.0	0.6657131742775423
13.0	0.6347717314065399
14.0	0.6052135124327562
15.0	0.5757005380106603
16.0	0.5538912647811006
17.0	0.5323809787436222
18.0	0.5105343904198869
19.0	0.4937586901752662
20.0	0.4770319659917508
21.0	0.4636696639868358
22.0	0.4501515714637379
23.0	0.43676781327967196
24.0	0.42487572598527235
25.0	0.41289851363228486
26.0	0.40239174920915144
27.0	0.39180685630758805
28.0	0.3816730096068713
29.0	0.37185097716185866
30.0	0.9363485910236736
31.0	0.9163892135878652
32.0	0.8564851939338558
33.0	0.8389596935156458
34.0	0.788001034812863
35.0	0.904839492282526
36.0	0.8598239619852104
37.0	0.8267989375431825
38.0	0.8001352037807262
39.0	0.7802824075826567
40.0	0.8024550365417505
41.0	0.785053608811674
42.0	0.7478852096001317
43.0	0.7427898334904645
44.0	0.7084681095258372
45.0	0.7241502442917765
46.0	0.6964692077743602
47.0	0.689407326201643
48.0	0.6646289375724048
49.0	0.6492842711894152
50.0	0.6396800656066522
51.0	0.6276436155416611
52.0	0.6107711292715227
53.0	0.5966732534726727
54.0	0.5802935596649896
55.0	1.1537969382867277
56.0	0.5591685519748735
57.0	0.5509643620817083
58.0	0.9866129557554532
59.0	0.5185347466111183
60.0	0.5120167325360094
61.0	0.5004292296978176
62.0	0.48904695987759095
63.0	0.4728710997718417
64.0	0.46249610427501564
65.0	0.45344019735729424
66.0	0.4386708830826235
67.0	0.42607913777243284
68.0	0.4144081424110232
69.0	0.39899560920050203
70.0	0.3907436093429244
71.0	0.3790747129555621
72.0	0.366821835344353
73.0	0.34951322891103814
74.0	0.33250617508252917
75.0	0.3137138272170602
76.0	0.2786075533973925
77.0	0.2573535754130322
78.0	0.23939988428915804
79.0	0.22625261051442944
80.0	0.21970381148662568
81.0	0.21255657163598207
82.0	0.20887497115688985
83.0	0.2072058203505511
84.0	0.20439739307516602
85.0	0.20346428250143947
86.0	0.2039365516620984
87.0	0.2065698312141971
88.0	0.20700618459671208
89.0	0.20840340165424667
90.0	0.21012992441788025
91.0	0.21284949512525986
92.0	0.21516652925422106
93.0	0.2189248588957117
94.0	0.22148140928541202
95.0	0.2252108197289166
96.0	0.2272339974912456
97.0	0.23082114413820604
98.0	0.2359571004127891
99.0	0.23955264295593906
100.0	0.24351690527341083
101.0	0.24852225871837963
102.0	0.25242518434980044
103.0	0.2561494639678559
104.0	0.26154709234034484
105.0	0.26636587031443604
106.0	0.27122359591807293
107.0	0.27651627558819325
108.0	0.2810199742358399
109.0	0.28610345615923866
110.0	0.29137164779880625
111.0	0.29668391789336873
112.0	0.30247941845750415
113.0	0.3080766825838321
114.0	0.3139503116263975
115.0	0.32015581178778646
116.0	0.32653529357576877
117.0	0.3329257366726652
118.0	0.33978308488543274
119.0	0.34651379499734214
120.0	0.35323097838761286
121.0	0.36112008895433356
122.0	0.36910155437913866
123.0	0.37700325879014357
124.0	0.3852240072563492
125.0	0.39399841843238403
126.0	0.404258903233959
127.0	0.41441933693927596
128.0	0.42493193184587424
129.0	0.43551939016016217
130.0	0.4462257903371346
131.0	0.4596067498891374
132.0	0.4739546368189634
133.0	0.48821226786475236
134.0	0.5029186129180019
135.0	0.517426721533444
136.0	0.5383919739766213
137.0	0.5582373071558556
138.0	0.5785040676799349
139.0	0.5993608731306644
140.0	0.6197904207530844
141.0	0.6549188504099188
142.0	0.6894588676754729
143.0	0.7239816267099709
144.0	0.7747525438451832
145.0	0.826506946931259
146.0	0.9289786267046698
147.0	1.0219249290317634
148.0	1.1119571557230874
149.0	1.1880512618625005
150.0	1.1699968199843525
