#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	1.330719799646827E-6
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	1.330719799646827E-6
10.0	1.330719799646827E-6
11.0	0.0
12.0	2.661439599293654E-6
13.0	1.330719799646827E-6
14.0	0.0
15.0	5.322879198587308E-6
16.0	3.992159398940481E-6
17.0	2.661439599293654E-6
18.0	0.0
19.0	1.4637917796115096E-5
20.0	1.5968637595761924E-5
21.0	3.45987147908175E-5
22.0	8.117390777845644E-5
23.0	2.036001293459645E-4
24.0	4.0986169829122267E-4
25.0	9.235195409548979E-4
26.0	0.001430523784620339
27.0	0.002718660550678467
28.0	0.004664172897762129
29.0	0.007923105687097209
30.0	0.013037061877139962
31.0	0.019465769229233786
32.0	0.027821358851216213
33.0	0.037398549249274424
34.0	0.04737229414762739
35.0	0.055316691351518954
36.0	0.0599529191334885
37.0	0.06204081849913437
38.0	0.06012990486684152
39.0	0.05821632979494939
40.0	0.05484428582264433
41.0	0.05174503940926686
42.0	0.048408924871552274
43.0	0.04490247819948288
44.0	0.04005466596936949
45.0	0.035966694744854436
46.0	0.03187606208074009
47.0	0.028170007438723683
48.0	0.024852522978204138
49.0	0.022502471812027844
50.0	0.02015508208545084
51.0	0.020168389283447313
52.0	0.014409033990575843
53.0	0.014680500829703794
54.0	0.01331119015586721
55.0	0.011682389121099495
56.0	0.010482079861818053
57.0	0.008951752092224204
58.0	0.007670268925164311
59.0	0.006845222649383277
60.0	0.005948317504421316
61.0	0.0050381051614628875
62.0	0.004451257729818637
63.0	0.0034851551552750396
64.0	0.0026401480824993044
65.0	0.0021238288002363363
66.0	0.0015569421655867875
67.0	0.0011257889505012155
68.0	7.518566868004573E-4
69.0	5.083349634650878E-4
70.0	3.087269935180638E-4
71.0	2.07592288744905E-4
72.0	1.4504845816150415E-4
73.0	1.1577262256927393E-4
74.0	1.024654245728057E-4
75.0	7.585102857986913E-5
76.0	5.056735238657943E-5
77.0	5.855167118446038E-5
78.0	5.189807218622626E-5
79.0	5.056735238657943E-5
80.0	5.056735238657942E-5
81.0	5.8551671184460396E-5
82.0	3.8590874189757985E-5
83.0	2.3952956393642884E-5
84.0	3.060655539187702E-5
85.0	1.8630077195055577E-5
86.0	9.315038597527789E-6
87.0	9.315038597527789E-6
88.0	9.315038597527789E-6
89.0	1.1976478196821442E-5
90.0	3.992159398940481E-6
91.0	1.330719799646827E-6
92.0	0.0
93.0	1.330719799646827E-6
94.0	1.330719799646827E-6
95.0	0.0
96.0	1.330719799646827E-6
97.0	0.0
98.0	0.0
99.0	0.0
100.0	6.254383058340087E-5
