#Position (bp)	Coverage	Std
3381345.5	6.834903862220507	6.903025318350337
1.01440355E7	6.707116398947756	4.746684058781512
1.69067255E7	6.709021410119346	4.735620539212059
2.36694155E7	6.679577801141262	5.015025886715246
3.04321055E7	6.761184085031252	5.274517067176865
3.71947955E7	6.609156119828056	4.8265833930354605
4.39574855E7	6.6915978700783265	5.021645329631952
5.07201755E7	6.63972088030059	4.878675280337504
5.74828655E7	6.709746121735582	5.584460200395894
6.42455555E7	6.605803903476279	4.942777700963663
7.10082455E7	6.746327127223043	5.210867471052977
7.77709355E7	6.71418104334222	5.291514568531412
8.45336255E7	6.800893579330118	6.985861672016597
9.12963155E7	6.582893641435582	5.177015657945745
9.80590055E7	7.041151524023724	5.760928660802137
1.048216955E8	6.6320203942514	4.963404521114047
1.115843855E8	6.609713590302084	4.804066822761322
1.183470755E8	7.5037604858421725	7.295845387237308
1.251097655E8	7.827238125657098	7.993999803769239
1.318724555E8	6.6997150542165915	5.132358239669344
1.386351455E8	6.694482077398195	4.964086117140079
1.453978355E8	6.6578293548868865	5.019795804310262
1.521605255E8	6.7208823707725776	5.24189816582486
1.589232155E8	6.6919778963696395	5.070135353616193
1.656859055E8	6.580491342941936	4.675203587759274
1.724485955E8	6.851440772828564	5.748985108117728
1.792112855E8	6.487776313863271	4.46005967144035
1.859739755E8	6.271119480561729	3.9278316031378653
1.927366655E8	6.406844169997441	4.263667752192345
1.994993555E8	6.415363560949858	4.414204609906846
2.05937114E8	6.738938628559257	5.917456697810306
2.09318459E8	6.58875947699746	5.2873112150919725
2.130247355E8	6.637217586492949	4.907147825649717
2.197874255E8	6.5560324367966	4.587418614764573
2.265501155E8	6.477866056258678	4.2880137883288105
2.333128055E8	6.330959869519377	4.372246293378132
2.400754955E8	6.665335687426158	5.032610958815523
2.468381855E8	6.817690445665852	5.454883987824615
2.536008755E8	6.711286337241542	5.293319744197885
2.603635655E8	6.657901367651038	5.131422621152307
2.671262555E8	6.657730577625176	4.930540953408464
2.738889455E8	6.7683231081123045	5.042640414444654
2.806516355E8	7.096097410941504	7.343602460109987
2.874143255E8	6.549876602357937	6.158765212513098
2.941770155E8	6.594121865707285	4.6259970524022425
3.009397055E8	7.373198387032379	265.4136370275345
3.077023955E8	6.627038944562001	4.962972085108413
3.144650855E8	6.637284423801771	4.909844526243015
3.212277755E8	6.674600343945974	5.105556457378366
3.279904655E8	17.553886693017127	20.628372652166775
3.347531555E8	7.5113129538689485	6.9063323991262395
3.415158455E8	6.724532249740857	5.271767802608
