Sample	1	2	3	4	5	6	7	8	9	10	11	X	12	13	14	15	16	17	18	19	Y	CACRXI020000006.1	CACRXI020000004.1	CACRXI020000005.1	CACRXI020000007.1	CACRXI020000008.1	CACRXI020000010.1	CACRXI020000011.1	CACRXI020000012.1	CACRXI020000013.1	CACRXI020000014.1	CACRXI020000036.1	CACRXI020000015.1	CACRXI020000016.1	CACRXI020000017.1	CACRXI020000018.1	CACRXI020000019.1	CACRXI020000020.1	CACRXI020000021.1	CACRXI020000022.1	CACRXI020000024.1	CACRXI020000025.1	CACRXI020000009.1	CACRXI020000026.1	CACRXI020000027.1	CACRXI020000028.1	CACRXI020000029.1	CACRXI020000030.1	CACRXI020000031.1	CACRXI020000032.1	CACRXI020000033.1	CACRXI020000034.1	CACRXI020000035.1	CACRXI020000037.1	CACRXI020000038.1	CACRXI020000039.1	CACRXI020000041.1	CACRXI020000040.1	CACRXI020000042.1	CACRXI020000043.1	CACRXI020000044.1	CACRXI020000045.1	CACRXI020000046.1	CACRXI020000047.1	CACRXI020000048.1	CACRXI020000049.1	CACRXI020000050.1	CACRXI020000001.1	CACRXI020000002.1	CACRXI020000003.1	CACRXI020000051.1	CACRXI020000052.1	CACRXI020000053.1	CACRXI020000054.1	CACRXI020000055.1	CACRXI020000056.1	CACRXI020000057.1	CACRXI020000058.1	CACRXI020000059.1	CACRXI020000060.1	CACRXI020000061.1	CACRXI020000062.1	CACRXI020000063.1	CACRXI020000064.1	CACRXI020000065.1	CACRXI020000067.1	CACRXI020000066.1	CACRXI020000068.1	CACRXI020000069.1	*
SCCA1026_merged_idxstats	[8155654, 208993527]	[8247518, 199827622]	[7162272, 183546597]	[7022852, 177112356]	[8639210, 175905472]	[6295440, 162265839]	[6182137, 154993933]	[6360257, 148229995]	[5564172, 141423999]	[5401728, 140975125]	[6717490, 135226351]	[5100323, 131720120]	[5913868, 118645147]	[4163835, 94684172]	[3492271, 88654151]	[4367314, 83138899]	[3988345, 68567161]	[4037444, 66045118]	[1791386, 41557064]	[2234856, 30991954]	[61065, 4810933]	[1639691, 8402289]	[757047, 6410460]	[2257774, 5308990]	[886410, 5063854]	[691003, 4326611]	[1314847, 3913960]	[649308, 3752592]	[448596, 3398208]	[810142, 3366225]	[600432, 3282125]	[324971, 3118605]	[935288, 3064279]	[686261, 3047915]	[883396, 3015224]	[605439, 2629848]	[646220, 2573765]	[671682, 2538454]	[985386, 2446612]	[324838, 2434104]	[698611, 2223422]	[249814, 2209048]	[3132442, 2174612]	[186268, 2170072]	[486272, 2139930]	[278679, 2102767]	[683103, 2089753]	[471502, 1940562]	[209502, 1877203]	[266939, 1866882]	[476947, 1846946]	[728711, 1843046]	[378605, 1827521]	[729068, 1802838]	[254331, 1785753]	[227562, 1783449]	[467615, 1733835]	[275268, 1731233]	[149874, 1716154]	[304622, 1714846]	[234780, 1649170]	[307518, 1619137]	[267505, 1596526]	[211529, 1581602]	[371502, 1567387]	[80889, 1518027]	[258120, 1505718]	[162391, 1427275]	[202508, 1380103]	[75231, 1340613]	[213086, 1284951]	[372464, 1272262]	[177765, 1270296]	[357855, 1257048]	[181022, 1222577]	[1030359, 1195167]	[279979, 1185416]	[374196, 1173495]	[247600, 1160222]	[359246, 1155998]	[329148, 1149056]	[260609, 1135576]	[112551, 1097598]	[216361, 1086809]	[162435, 1071909]	[243620, 1055643]	[181968, 1055014]	[77596, 1038501]	[136427, 1033007]	[0, 0]
SCCA1033_merged_idxstats	[12339689, 208993527]	[12314117, 199827622]	[10838839, 183546597]	[10626799, 177112356]	[12549783, 175905472]	[9593640, 162265839]	[9455961, 154993933]	[9241120, 148229995]	[8525870, 141423999]	[8321855, 140975125]	[9794728, 135226351]	[4249619, 131720120]	[9017927, 118645147]	[6146398, 94684172]	[5243456, 88654151]	[6457281, 83138899]	[5587593, 68567161]	[5820615, 66045118]	[2391372, 41557064]	[2960296, 30991954]	[209760, 4810933]	[2215835, 8402289]	[1051637, 6410460]	[2688021, 5308990]	[1130973, 5063854]	[971618, 4326611]	[2211728, 3913960]	[911179, 3752592]	[707890, 3398208]	[1216587, 3366225]	[1145582, 3282125]	[428405, 3118605]	[1446447, 3064279]	[987002, 3047915]	[1242668, 3015224]	[943088, 2629848]	[980011, 2573765]	[1009925, 2538454]	[1630778, 2446612]	[456909, 2434104]	[695601, 2223422]	[322415, 2209048]	[2468473, 2174612]	[225243, 2170072]	[767609, 2139930]	[286424, 2102767]	[1064717, 2089753]	[756639, 1940562]	[367763, 1877203]	[320263, 1866882]	[690616, 1846946]	[1192203, 1843046]	[634949, 1827521]	[1234413, 1802838]	[315321, 1785753]	[314041, 1783449]	[666525, 1733835]	[396694, 1731233]	[266134, 1716154]	[512898, 1714846]	[317713, 1649170]	[443590, 1619137]	[370720, 1596526]	[301278, 1581602]	[539276, 1567387]	[113546, 1518027]	[337157, 1505718]	[206529, 1427275]	[281174, 1380103]	[100941, 1340613]	[283918, 1284951]	[613070, 1272262]	[214214, 1270296]	[571227, 1257048]	[241870, 1222577]	[1796168, 1195167]	[425699, 1185416]	[627121, 1173495]	[367771, 1160222]	[593935, 1155998]	[559426, 1149056]	[385766, 1135576]	[132131, 1097598]	[319076, 1086809]	[224510, 1071909]	[361895, 1055643]	[280978, 1055014]	[108544, 1038501]	[165158, 1033007]	[0, 0]
SCCA1034_merged_idxstats	[10871532, 208993527]	[10886039, 199827622]	[9536026, 183546597]	[9451247, 177112356]	[10924069, 175905472]	[8425161, 162265839]	[8375055, 154993933]	[8288840, 148229995]	[7445775, 141423999]	[7239688, 140975125]	[8760093, 135226351]	[6641014, 131720120]	[7479214, 118645147]	[5656617, 94684172]	[4624759, 88654151]	[5678129, 83138899]	[5029032, 68567161]	[4998447, 66045118]	[2217841, 41557064]	[2659450, 30991954]	[82888, 4810933]	[2020164, 8402289]	[1017216, 6410460]	[2687540, 5308990]	[1059121, 5063854]	[896804, 4326611]	[1784249, 3913960]	[792332, 3752592]	[605521, 3398208]	[1031770, 3366225]	[850086, 3282125]	[408817, 3118605]	[1212908, 3064279]	[809655, 3047915]	[1144512, 3015224]	[795164, 2629848]	[755120, 2573765]	[829270, 2538454]	[1329575, 2446612]	[362649, 2434104]	[913256, 2223422]	[353521, 2209048]	[2980697, 2174612]	[175740, 2170072]	[574851, 2139930]	[306886, 2102767]	[831482, 2089753]	[689383, 1940562]	[353966, 1877203]	[283967, 1866882]	[655756, 1846946]	[994487, 1843046]	[543106, 1827521]	[1012661, 1802838]	[315403, 1785753]	[308580, 1783449]	[489469, 1733835]	[290418, 1731233]	[189713, 1716154]	[420811, 1714846]	[273855, 1649170]	[403897, 1619137]	[335683, 1596526]	[295772, 1581602]	[476066, 1567387]	[99914, 1518027]	[335727, 1505718]	[197785, 1427275]	[230033, 1380103]	[91723, 1340613]	[206916, 1284951]	[486798, 1272262]	[192230, 1270296]	[429534, 1257048]	[180933, 1222577]	[1474340, 1195167]	[289748, 1185416]	[442116, 1173495]	[288941, 1160222]	[477252, 1155998]	[463114, 1149056]	[398737, 1135576]	[109957, 1097598]	[282434, 1086809]	[203913, 1071909]	[330392, 1055643]	[234595, 1055014]	[99548, 1038501]	[157215, 1033007]	[0, 0]
SCCA1040_merged_idxstats	[10192322, 208993527]	[10333067, 199827622]	[8916855, 183546597]	[8792159, 177112356]	[10765375, 175905472]	[7950721, 162265839]	[7796487, 154993933]	[7740921, 148229995]	[6989918, 141423999]	[6810628, 140975125]	[8382243, 135226351]	[3652496, 131720120]	[7643366, 118645147]	[5337330, 94684172]	[4347764, 88654151]	[5715938, 83138899]	[4818724, 68567161]	[4947637, 66045118]	[2113979, 41557064]	[2559606, 30991954]	[192528, 4810933]	[1956649, 8402289]	[899982, 6410460]	[2758081, 5308990]	[1034306, 5063854]	[868659, 4326611]	[1715646, 3913960]	[769492, 3752592]	[612347, 3398208]	[1061025, 3366225]	[903064, 3282125]	[386158, 3118605]	[1269037, 3064279]	[883445, 3047915]	[1252556, 3015224]	[715672, 2629848]	[837501, 2573765]	[930532, 2538454]	[1386169, 2446612]	[373206, 2434104]	[771045, 2223422]	[336568, 2209048]	[2938308, 2174612]	[204164, 2170072]	[633756, 2139930]	[326210, 2102767]	[889122, 2089753]	[736285, 1940562]	[396823, 1877203]	[326537, 1866882]	[571159, 1846946]	[1065605, 1843046]	[558206, 1827521]	[1099042, 1802838]	[296723, 1785753]	[312321, 1783449]	[617197, 1733835]	[327854, 1731233]	[191014, 1716154]	[395183, 1714846]	[276813, 1649170]	[412365, 1619137]	[334626, 1596526]	[282195, 1581602]	[439411, 1567387]	[101451, 1518027]	[318957, 1505718]	[202020, 1427275]	[241448, 1380103]	[93067, 1340613]	[220021, 1284951]	[517976, 1272262]	[215242, 1270296]	[363350, 1257048]	[205638, 1222577]	[1659011, 1195167]	[421479, 1185416]	[515005, 1173495]	[314137, 1160222]	[520273, 1155998]	[521381, 1149056]	[361318, 1135576]	[101046, 1097598]	[285981, 1086809]	[191970, 1071909]	[265379, 1055643]	[244082, 1055014]	[86413, 1038501]	[167971, 1033007]	[0, 0]
SQT017_merged_idxstats	[11846502, 208993527]	[11938677, 199827622]	[10400801, 183546597]	[10236219, 177112356]	[12034663, 175905472]	[9215535, 162265839]	[9038448, 154993933]	[9007019, 148229995]	[8173496, 141423999]	[7966315, 140975125]	[9223383, 135226351]	[7233964, 131720120]	[8397896, 118645147]	[6084050, 94684172]	[5039642, 88654151]	[6192185, 83138899]	[5673016, 68567161]	[5395982, 66045118]	[2400994, 41557064]	[2966532, 30991954]	[89455, 4810933]	[2141022, 8402289]	[1027610, 6410460]	[2437362, 5308990]	[1359652, 5063854]	[1008573, 4326611]	[1788063, 3913960]	[973443, 3752592]	[581089, 3398208]	[1073613, 3366225]	[1017924, 3282125]	[461546, 3118605]	[1396265, 3064279]	[943770, 3047915]	[1188727, 3015224]	[886733, 2629848]	[893272, 2573765]	[868603, 2538454]	[1647283, 2446612]	[515081, 2434104]	[862965, 2223422]	[324272, 2209048]	[2890133, 2174612]	[195904, 2170072]	[649997, 2139930]	[327850, 2102767]	[945723, 2089753]	[700407, 1940562]	[309215, 1877203]	[291978, 1866882]	[643180, 1846946]	[1057519, 1843046]	[650523, 1827521]	[1115009, 1802838]	[354707, 1785753]	[363245, 1783449]	[701624, 1733835]	[401506, 1731233]	[274161, 1716154]	[521840, 1714846]	[309743, 1649170]	[386996, 1619137]	[382279, 1596526]	[339882, 1581602]	[481070, 1567387]	[110012, 1518027]	[365356, 1505718]	[232732, 1427275]	[324946, 1380103]	[109303, 1340613]	[278564, 1284951]	[570107, 1272262]	[219134, 1270296]	[521658, 1257048]	[195374, 1222577]	[1528001, 1195167]	[380678, 1185416]	[534910, 1173495]	[336857, 1160222]	[499268, 1155998]	[491994, 1149056]	[403675, 1135576]	[161158, 1097598]	[303957, 1086809]	[248494, 1071909]	[239659, 1055643]	[278898, 1055014]	[121446, 1038501]	[178974, 1033007]	[0, 0]
SQT019_merged_idxstats	[13434661, 208993527]	[13513676, 199827622]	[11816929, 183546597]	[11500200, 177112356]	[14057781, 175905472]	[10511101, 162265839]	[10364873, 154993933]	[10208850, 148229995]	[9261377, 141423999]	[9060205, 140975125]	[10598021, 135226351]	[8244616, 131720120]	[9775514, 118645147]	[6858631, 94684172]	[5744398, 88654151]	[7122452, 83138899]	[6194118, 68567161]	[6402650, 66045118]	[2737617, 41557064]	[3273128, 30991954]	[99385, 4810933]	[2418022, 8402289]	[1292398, 6410460]	[2681123, 5308990]	[1381610, 5063854]	[1082985, 4326611]	[1971032, 3913960]	[1034559, 3752592]	[797423, 3398208]	[1382500, 3366225]	[1019772, 3282125]	[491301, 3118605]	[1562406, 3064279]	[1002761, 3047915]	[1348981, 3015224]	[889333, 2629848]	[1055878, 2573765]	[1025940, 2538454]	[1652038, 2446612]	[460730, 2434104]	[1211551, 2223422]	[437248, 2209048]	[3544259, 2174612]	[204805, 2170072]	[742809, 2139930]	[387952, 2102767]	[1101530, 2089753]	[759692, 1940562]	[449510, 1877203]	[415325, 1866882]	[731088, 1846946]	[1206876, 1843046]	[610650, 1827521]	[1183622, 1802838]	[397716, 1785753]	[392440, 1783449]	[677544, 1733835]	[438525, 1731233]	[269530, 1716154]	[522142, 1714846]	[311511, 1649170]	[531660, 1619137]	[411842, 1596526]	[346552, 1581602]	[563333, 1567387]	[123669, 1518027]	[369327, 1505718]	[244835, 1427275]	[305582, 1380103]	[118289, 1340613]	[323877, 1284951]	[564233, 1272262]	[243989, 1270296]	[479712, 1257048]	[246267, 1222577]	[1666398, 1195167]	[436424, 1185416]	[585378, 1173495]	[357553, 1160222]	[569968, 1155998]	[554214, 1149056]	[401167, 1135576]	[152447, 1097598]	[338013, 1086809]	[265565, 1071909]	[297587, 1055643]	[311828, 1055014]	[119529, 1038501]	[203241, 1033007]	[0, 0]
SQT031_merged_idxstats	[13741259, 208993527]	[13760932, 199827622]	[12049258, 183546597]	[11805736, 177112356]	[13844904, 175905472]	[10669988, 162265839]	[10423047, 154993933]	[10622667, 148229995]	[9412094, 141423999]	[9148561, 140975125]	[11274733, 135226351]	[4851285, 131720120]	[9724159, 118645147]	[7107945, 94684172]	[5851635, 88654151]	[7552851, 83138899]	[6680808, 68567161]	[6347797, 66045118]	[2895878, 41557064]	[3215822, 30991954]	[260667, 4810933]	[2756532, 8402289]	[1240986, 6410460]	[2929490, 5308990]	[1248328, 5063854]	[1201036, 4326611]	[2370951, 3913960]	[1022824, 3752592]	[824052, 3398208]	[1459556, 3366225]	[1313966, 3282125]	[528107, 3118605]	[1834835, 3064279]	[1224488, 3047915]	[1594664, 3015224]	[1019115, 2629848]	[1243504, 2573765]	[1295906, 2538454]	[2092749, 2446612]	[492841, 2434104]	[952867, 2223422]	[380556, 2209048]	[3143632, 2174612]	[245482, 2170072]	[918383, 2139930]	[393093, 2102767]	[1265264, 2089753]	[1014034, 1940562]	[597948, 1877203]	[353940, 1866882]	[912291, 1846946]	[1504948, 1843046]	[814361, 1827521]	[1600462, 1802838]	[373170, 1785753]	[390805, 1783449]	[858173, 1733835]	[440489, 1731233]	[222424, 1716154]	[597366, 1714846]	[438872, 1649170]	[533909, 1619137]	[391477, 1596526]	[362386, 1581602]	[661665, 1567387]	[132456, 1518027]	[391289, 1505718]	[285600, 1427275]	[293167, 1380103]	[125223, 1340613]	[284253, 1284951]	[741494, 1272262]	[241675, 1270296]	[607233, 1257048]	[333623, 1222577]	[2233919, 1195167]	[517605, 1185416]	[779845, 1173495]	[448539, 1160222]	[682004, 1155998]	[709649, 1149056]	[542153, 1135576]	[144598, 1097598]	[389745, 1086809]	[275553, 1071909]	[417600, 1055643]	[352200, 1055014]	[129375, 1038501]	[148429, 1033007]	[0, 0]
SQT034_merged_idxstats	[13517200, 208993527]	[13588393, 199827622]	[11868386, 183546597]	[11648379, 177112356]	[14165819, 175905472]	[10480599, 162265839]	[10268236, 154993933]	[10497781, 148229995]	[9298502, 141423999]	[9051023, 140975125]	[10974230, 135226351]	[4749199, 131720120]	[10012891, 118645147]	[6697710, 94684172]	[5765872, 88654151]	[7360310, 83138899]	[6355648, 68567161]	[6332853, 66045118]	[2826782, 41557064]	[3425889, 30991954]	[248143, 4810933]	[2831395, 8402289]	[1209591, 6410460]	[3291965, 5308990]	[1500857, 5063854]	[1092062, 4326611]	[2287379, 3913960]	[1117119, 3752592]	[643385, 3398208]	[1196457, 3366225]	[1330757, 3282125]	[517178, 3118605]	[1930017, 3064279]	[1187737, 3047915]	[1641302, 3015224]	[1070293, 2629848]	[1224889, 2573765]	[1231408, 2538454]	[1897250, 2446612]	[545912, 2434104]	[928671, 2223422]	[478997, 2209048]	[3344991, 2174612]	[219713, 2170072]	[872199, 2139930]	[431363, 2102767]	[1276136, 2089753]	[940267, 1940562]	[726441, 1877203]	[459423, 1866882]	[887832, 1846946]	[1414409, 1843046]	[774363, 1827521]	[1517620, 1802838]	[390767, 1785753]	[448366, 1783449]	[806700, 1733835]	[344988, 1731233]	[316610, 1716154]	[583680, 1714846]	[400602, 1649170]	[532989, 1619137]	[445773, 1596526]	[395439, 1581602]	[526186, 1567387]	[132572, 1518027]	[400876, 1505718]	[269810, 1427275]	[364757, 1380103]	[125762, 1340613]	[371298, 1284951]	[725916, 1272262]	[288092, 1270296]	[600099, 1257048]	[271944, 1222577]	[2134789, 1195167]	[526858, 1185416]	[774406, 1173495]	[423559, 1160222]	[715035, 1155998]	[660747, 1149056]	[452618, 1135576]	[192107, 1097598]	[398162, 1086809]	[274765, 1071909]	[397293, 1055643]	[353449, 1055014]	[146836, 1038501]	[233175, 1033007]	[0, 0]
SQT047_merged_idxstats	[11523728, 208993527]	[11563649, 199827622]	[10096681, 183546597]	[9876038, 177112356]	[12041541, 175905472]	[8990580, 162265839]	[8861127, 154993933]	[8951933, 148229995]	[7957713, 141423999]	[7768092, 140975125]	[9299478, 135226351]	[4051555, 131720120]	[8238377, 118645147]	[5935799, 94684172]	[4884693, 88654151]	[6240622, 83138899]	[5314528, 68567161]	[5146941, 66045118]	[2312786, 41557064]	[2867864, 30991954]	[210728, 4810933]	[2187480, 8402289]	[900250, 6410460]	[2996484, 5308990]	[1034477, 5063854]	[963776, 4326611]	[1816472, 3913960]	[907072, 3752592]	[661852, 3398208]	[1147209, 3366225]	[1011163, 3282125]	[449131, 3118605]	[1366715, 3064279]	[975609, 3047915]	[1301706, 3015224]	[798077, 2629848]	[969656, 2573765]	[980083, 2538454]	[1705384, 2446612]	[409930, 2434104]	[885203, 2223422]	[327650, 2209048]	[2584895, 2174612]	[203247, 2170072]	[717766, 2139930]	[341222, 2102767]	[1012724, 2089753]	[793926, 1940562]	[495191, 1877203]	[365947, 1866882]	[715084, 1846946]	[1200318, 1843046]	[630390, 1827521]	[1267419, 1802838]	[290446, 1785753]	[312232, 1783449]	[648216, 1733835]	[379886, 1731233]	[202259, 1716154]	[431627, 1714846]	[350383, 1649170]	[391919, 1619137]	[315511, 1596526]	[299883, 1581602]	[479265, 1567387]	[110056, 1518027]	[312101, 1505718]	[204770, 1427275]	[260389, 1380103]	[98764, 1340613]	[259440, 1284951]	[577984, 1272262]	[203594, 1270296]	[438118, 1257048]	[216658, 1222577]	[1820970, 1195167]	[393674, 1185416]	[602305, 1173495]	[361435, 1160222]	[543544, 1155998]	[566993, 1149056]	[424889, 1135576]	[124668, 1097598]	[317645, 1086809]	[227865, 1071909]	[323082, 1055643]	[314497, 1055014]	[107368, 1038501]	[148067, 1033007]	[0, 0]
SQT056_merged_idxstats	[11808843, 208993527]	[11864143, 199827622]	[10332829, 183546597]	[10218446, 177112356]	[12620304, 175905472]	[9221768, 162265839]	[9077212, 154993933]	[8816625, 148229995]	[8155317, 141423999]	[7986025, 140975125]	[9854198, 135226351]	[4170875, 131720120]	[8695446, 118645147]	[5985818, 94684172]	[5010314, 88654151]	[6456901, 83138899]	[5652412, 68567161]	[5755735, 66045118]	[2403440, 41557064]	[2995711, 30991954]	[219885, 4810933]	[2290341, 8402289]	[931848, 6410460]	[3146785, 5308990]	[1309905, 5063854]	[1031947, 4326611]	[2079717, 3913960]	[927789, 3752592]	[663054, 3398208]	[1213856, 3366225]	[1064739, 3282125]	[459756, 3118605]	[1418818, 3064279]	[960925, 3047915]	[1349223, 3015224]	[966848, 2629848]	[983761, 2573765]	[1086994, 2538454]	[1684096, 2446612]	[509428, 2434104]	[719119, 2223422]	[415741, 2209048]	[2767542, 2174612]	[227205, 2170072]	[696436, 2139930]	[328743, 2102767]	[1067894, 2089753]	[791377, 1940562]	[330147, 1877203]	[431679, 1866882]	[666202, 1846946]	[1180687, 1843046]	[612226, 1827521]	[1211863, 1802838]	[366784, 1785753]	[428783, 1783449]	[685905, 1733835]	[376116, 1731233]	[269975, 1716154]	[455252, 1714846]	[332301, 1649170]	[490088, 1619137]	[398283, 1596526]	[391320, 1581602]	[556210, 1567387]	[117387, 1518027]	[402640, 1505718]	[220762, 1427275]	[300129, 1380103]	[108336, 1340613]	[298256, 1284951]	[583927, 1272262]	[240354, 1270296]	[552572, 1257048]	[258239, 1222577]	[1719034, 1195167]	[504474, 1185416]	[542414, 1173495]	[322773, 1160222]	[576368, 1155998]	[545340, 1149056]	[361673, 1135576]	[119532, 1097598]	[296272, 1086809]	[270505, 1071909]	[284772, 1055643]	[299230, 1055014]	[117738, 1038501]	[183292, 1033007]	[0, 0]
SQT096_merged_idxstats	[11457400, 208993527]	[11510839, 199827622]	[10075762, 183546597]	[9860532, 177112356]	[11648860, 175905472]	[8745234, 162265839]	[8623132, 154993933]	[8748587, 148229995]	[7758657, 141423999]	[7493728, 140975125]	[9126258, 135226351]	[3966474, 131720120]	[8139394, 118645147]	[5433531, 94684172]	[4848087, 88654151]	[6142816, 83138899]	[5258605, 68567161]	[5141335, 66045118]	[2414288, 41557064]	[2959303, 30991954]	[192606, 4810933]	[2052985, 8402289]	[931407, 6410460]	[2630109, 5308990]	[1124091, 5063854]	[915960, 4326611]	[1880578, 3913960]	[866143, 3752592]	[521895, 3398208]	[1023276, 3366225]	[1003212, 3282125]	[404094, 3118605]	[1393095, 3064279]	[939478, 3047915]	[1179140, 3015224]	[773734, 2629848]	[884351, 2573765]	[971235, 2538454]	[1522757, 2446612]	[406969, 2434104]	[709747, 2223422]	[333084, 2209048]	[3190620, 2174612]	[208736, 2170072]	[693881, 2139930]	[300835, 2102767]	[1008521, 2089753]	[641002, 1940562]	[327310, 1877203]	[342382, 1866882]	[672070, 1846946]	[1074167, 1843046]	[563165, 1827521]	[1138953, 1802838]	[328544, 1785753]	[287704, 1783449]	[637116, 1733835]	[325231, 1731233]	[192496, 1716154]	[450083, 1714846]	[341252, 1649170]	[370469, 1619137]	[382328, 1596526]	[301834, 1581602]	[545539, 1567387]	[105939, 1518027]	[349613, 1505718]	[222829, 1427275]	[269714, 1380103]	[98666, 1340613]	[302968, 1284951]	[566820, 1272262]	[211687, 1270296]	[454820, 1257048]	[249452, 1222577]	[1570304, 1195167]	[407000, 1185416]	[592465, 1173495]	[338889, 1160222]	[515250, 1155998]	[509946, 1149056]	[377411, 1135576]	[122479, 1097598]	[285440, 1086809]	[232836, 1071909]	[351918, 1055643]	[281402, 1055014]	[111348, 1038501]	[171878, 1033007]	[0, 0]
SQT118_merged_idxstats	[12551955, 208993527]	[12623313, 199827622]	[10973830, 183546597]	[10720911, 177112356]	[13101541, 175905472]	[9646850, 162265839]	[9550955, 154993933]	[9435494, 148229995]	[8563182, 141423999]	[8303503, 140975125]	[9962634, 135226351]	[4444210, 131720120]	[9167272, 118645147]	[6305768, 94684172]	[5323561, 88654151]	[6818341, 83138899]	[5742055, 68567161]	[6348246, 66045118]	[2666980, 41557064]	[3203949, 30991954]	[225133, 4810933]	[2427808, 8402289]	[1091024, 6410460]	[3174477, 5308990]	[1096196, 5063854]	[1001953, 4326611]	[2207895, 3913960]	[859924, 3752592]	[678812, 3398208]	[1245528, 3366225]	[1099923, 3282125]	[500188, 3118605]	[1570446, 3064279]	[988784, 3047915]	[1287152, 3015224]	[940710, 2629848]	[1049401, 2573765]	[1125457, 2538454]	[1685836, 2446612]	[442473, 2434104]	[708105, 2223422]	[385710, 2209048]	[3817431, 2174612]	[269756, 2170072]	[757311, 2139930]	[326097, 2102767]	[1091181, 2089753]	[842665, 1940562]	[405660, 1877203]	[365795, 1866882]	[763188, 1846946]	[1300488, 1843046]	[583684, 1827521]	[1385986, 1802838]	[309162, 1785753]	[324580, 1783449]	[748528, 1733835]	[374815, 1731233]	[218072, 1716154]	[512040, 1714846]	[372317, 1649170]	[503200, 1619137]	[319142, 1596526]	[277968, 1581602]	[507543, 1567387]	[125543, 1518027]	[308929, 1505718]	[228865, 1427275]	[253199, 1380103]	[108210, 1340613]	[250539, 1284951]	[631127, 1272262]	[206892, 1270296]	[595141, 1257048]	[267667, 1222577]	[1865038, 1195167]	[452215, 1185416]	[623311, 1173495]	[378462, 1160222]	[637471, 1155998]	[605376, 1149056]	[377319, 1135576]	[139241, 1097598]	[360126, 1086809]	[216398, 1071909]	[202570, 1055643]	[303160, 1055014]	[112092, 1038501]	[140833, 1033007]	[0, 0]
SQT121_merged_idxstats	[9874243, 208993527]	[9965107, 199827622]	[8678235, 183546597]	[8448386, 177112356]	[9987408, 175905472]	[7615338, 162265839]	[7552457, 154993933]	[7271901, 148229995]	[6736839, 141423999]	[6561507, 140975125]	[8031433, 135226351]	[3493435, 131720120]	[7073506, 118645147]	[4998069, 94684172]	[4192409, 88654151]	[5279494, 83138899]	[4615119, 68567161]	[4624297, 66045118]	[2118142, 41557064]	[2513003, 30991954]	[172188, 4810933]	[1936016, 8402289]	[820805, 6410460]	[2144816, 5308990]	[754364, 5063854]	[814398, 4326611]	[1661216, 3913960]	[574346, 3752592]	[525641, 3398208]	[964280, 3366225]	[868633, 3282125]	[386834, 3118605]	[1299482, 3064279]	[799951, 3047915]	[1033226, 3015224]	[689672, 2629848]	[942503, 2573765]	[937897, 2538454]	[1288137, 2446612]	[309463, 2434104]	[415768, 2223422]	[376382, 2209048]	[2523778, 2174612]	[173495, 2170072]	[626174, 2139930]	[279356, 2102767]	[905858, 2089753]	[572811, 1940562]	[233858, 1877203]	[273044, 1866882]	[605072, 1846946]	[901530, 1843046]	[512913, 1827521]	[933839, 1802838]	[222830, 1785753]	[231627, 1783449]	[659979, 1733835]	[286095, 1731233]	[136315, 1716154]	[387044, 1714846]	[311574, 1649170]	[391369, 1619137]	[247839, 1596526]	[217054, 1581602]	[421148, 1567387]	[96524, 1518027]	[251091, 1505718]	[154043, 1427275]	[175806, 1380103]	[82008, 1340613]	[174789, 1284951]	[475083, 1272262]	[155203, 1270296]	[396815, 1257048]	[233078, 1222577]	[1264912, 1195167]	[361667, 1185416]	[486058, 1173495]	[330592, 1160222]	[407446, 1155998]	[440052, 1149056]	[350543, 1135576]	[147537, 1097598]	[266959, 1086809]	[164334, 1071909]	[235297, 1055643]	[256577, 1055014]	[83139, 1038501]	[103707, 1033007]	[0, 0]
