Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SQT121_129_064_S40_L001_R1_001	SQT121_129_064_S40_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35918241.0	0.0	151.0	40.0	90.86403876753833	151.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	fail
SQT121_129_064_S40_L001_R2_001	SQT121_129_064_S40_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35918241.0	0.0	151.0	40.0	91.49514740873832	151.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	fail
scaa0503_108_085_S18_L001_R1_001	scaa0503_108_085_S18_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45120982.0	0.0	151.0	40.0	89.9593694047332	151.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	fail
scaa0503_108_085_S18_L001_R2_001	scaa0503_108_085_S18_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45120982.0	0.0	151.0	40.0	90.49952075033958	151.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	fail
scca0200_116_077_S28_L001_R1_001	scca0200_116_077_S28_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	55280699.0	0.0	151.0	41.0	90.91914236477312	151.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	pass	fail
scca0200_116_077_S28_L001_R2_001	scca0200_116_077_S28_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	55280699.0	0.0	151.0	41.0	91.01352085296361	151.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	warn	fail
scca0201_104_089_S29_L001_R1_001	scca0201_104_089_S29_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	52278985.0	0.0	151.0	40.0	91.55984757712233	151.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	pass	fail
scca0201_104_089_S29_L001_R2_001	scca0201_104_089_S29_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	52278985.0	0.0	151.0	40.0	91.51317741736389	151.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	warn	fail
scca0207_187_006_S30_L001_R1_001	scca0207_187_006_S30_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	49278580.0	0.0	151.0	40.0	91.66470304322954	151.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	pass	fail
scca0207_187_006_S30_L001_R2_001	scca0207_187_006_S30_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	49278580.0	0.0	151.0	40.0	91.6128762504889	151.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	warn	fail
scca0506_191_002_S19_L001_R1_001	scca0506_191_002_S19_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45706226.0	0.0	151.0	41.0	89.78122727026823	151.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	fail
scca0506_191_002_S19_L001_R2_001	scca0506_191_002_S19_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45706226.0	0.0	151.0	41.0	90.3137607528248	151.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	fail
scca0507_179_014_S20_L001_R1_001	scca0507_179_014_S20_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47060347.0	0.0	151.0	40.0	89.85855225872395	151.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	fail
scca0507_179_014_S20_L001_R2_001	scca0507_179_014_S20_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47060347.0	0.0	151.0	40.0	90.28086503052447	151.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	fail
scca0509_167_026_S21_L001_R1_001	scca0509_167_026_S21_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48139456.0	0.0	151.0	40.0	90.09173783425773	151.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	fail
scca0509_167_026_S21_L001_R2_001	scca0509_167_026_S21_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48139456.0	0.0	151.0	41.0	90.59394802618925	151.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	warn	fail
scca0539_131_062_S24_L001_R1_001	scca0539_131_062_S24_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36584566.0	0.0	151.0	40.0	89.84818451609382	151.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	fail
scca0539_131_062_S24_L001_R2_001	scca0539_131_062_S24_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36584566.0	0.0	151.0	40.0	90.57014533830514	151.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	fail
scca0540_119_074_S25_L001_R1_001	scca0540_119_074_S25_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35307992.0	0.0	151.0	40.0	90.9471947492838	151.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	fail
scca0540_119_074_S25_L001_R2_001	scca0540_119_074_S25_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35307992.0	0.0	151.0	40.0	91.43018117568408	151.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	fail
scca0548_152_041_S96_L003_R1_001	scca0548_152_041_S96_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47621402.0	0.0	151.0	40.0	87.22898567198783	151.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	pass	fail
scca0548_152_041_S96_L003_R2_001	scca0548_152_041_S96_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47621402.0	0.0	151.0	40.0	87.69345288007604	151.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	pass	fail
scca0549_140_053_S97_L003_R1_001	scca0549_140_053_S97_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	49601136.0	0.0	151.0	40.0	86.98492366656392	151.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	pass	fail
scca0549_140_053_S97_L003_R2_001	scca0549_140_053_S97_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	49601136.0	0.0	151.0	41.0	87.30126572102238	151.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	warn	fail
scca0550_128_065_S98_L003_R1_001	scca0550_128_065_S98_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	43122084.0	0.0	151.0	40.0	87.23133961277651	151.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	pass	fail
scca0550_128_065_S98_L003_R2_001	scca0550_128_065_S98_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	43122084.0	0.0	151.0	40.0	87.51596657403702	151.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn	fail
