#Position (bp)	insert size	chromosomes
3381345.5	39475.65369039843	0.0
1.01440355E7	27126.21419153501	98230.35838337932
1.69067255E7	24234.41166438252	0.0
2.36694155E7	28922.640838983683	0.0
3.04321055E7	22126.010877120338	98230.35838337932
3.71947955E7	22315.56562431763	0.0
4.39574855E7	17617.795191679004	0.0
5.07201755E7	14441.16859174367	98230.35838337932
5.74828655E7	14868.771442103127	0.0
6.42455555E7	11620.916447293985	0.0
7.10082455E7	11643.754060994472	98230.35838337932
7.77709355E7	13380.385047975402	0.0
8.45336255E7	9377.548736938588	0.0
9.12963155E7	4137.139989457964	98230.35838337932
9.80590055E7	9339.877495175077	0.0
1.048216955E8	10346.321166679163	0.0
1.115843855E8	8382.832936768717	98230.35838337932
1.183470755E8	6112.43361885808	0.0
1.251097655E8	4278.934217169233	0.0
1.318724555E8	5657.248433408843	98230.35838337932
1.386351455E8	3922.1320611831748	0.0
1.453978355E8	2691.6869038258988	0.0
1.521605255E8	1757.9588324301762	98230.35838337932
1.589232155E8	1446.278050317296	0.0
1.656859055E8	884.5583583321123	0.0
1.724485955E8	1410.390632835951	98230.35838337932
1.792112855E8	1139.0135477217327	0.0
1.859739755E8	545.6176701415038	0.0
1.927366655E8	494.4270237265846	98230.35838337932
1.994993555E8	358.9025961569204	0.0
2.05937114E8	250.64700616237735	0.0
2.09318459E8	98230.35838337932	98230.35838337932
2.130247355E8	48001.85720887246	0.0
2.197874255E8	28916.055978680797	0.0
2.265501155E8	34497.090176310536	98230.35838337932
2.333128055E8	23565.55792450607	0.0
2.400754955E8	24738.230828464013	0.0
2.468381855E8	14118.308727560288	98230.35838337932
2.536008755E8	22631.571496269105	0.0
2.603635655E8	22349.742325341897	0.0
2.671262555E8	21120.257073951325	98230.35838337932
2.738889455E8	17189.77755242557	0.0
2.806516355E8	21287.448141452944	0.0
2.874143255E8	13305.714396774463	98230.35838337932
2.941770155E8	11087.256404367066	0.0
3.009397055E8	18959.688682526958	0.0
3.077023955E8	9005.676201415668	98230.35838337932
3.144650855E8	7570.909276440642	0.0
3.212277755E8	5665.099484265282	0.0
3.279904655E8	6012.532981530343	98230.35838337932
3.347531555E8	5920.373815041078	0.0
3.415158455E8	2794.2590306338734	0.0
3.482785355E8	1493.532480803264	98230.35838337932
3.550412255E8	3053.400234295137	0.0
3.618039155E8	1969.2354830057666	0.0
3.685666055E8	1785.5460650356426	98230.35838337932
3.753292955E8	739.7712001687726	0.0
3.820919855E8	573.2649513798037	0.0
3.888546755E8	583.6375570905523	98230.35838337932
3.956173655E8	479.66342455763254	0.0
4.023800555E8	283.94323025591086	0.0
4.07291275E8	250.76067699562142	98230.35838337932
4.1067262E8	34486.55911569926	0.0
4.159054355E8	36301.991176424286	0.0
4.226681255E8	24788.395923404718	98230.35838337932
4.294308155E8	25459.05761102557	0.0
4.361935055E8	16392.594806937606	0.0
4.429561955E8	14649.594014663373	98230.35838337932
4.497188855E8	14523.736077415464	0.0
4.564815755E8	15136.196914353834	0.0
4.632442655E8	14672.248767505002	98230.35838337932
4.700069555E8	7161.924482854265	0.0
4.767696455E8	7317.315308194231	0.0
4.835323355E8	13937.204164274506	98230.35838337932
4.902950255E8	12898.531132981821	0.0
4.970577155E8	4488.016838292522	0.0
5.038204055E8	5151.909523988428	98230.35838337932
5.105830955E8	4864.648900175468	0.0
5.173457855E8	4874.861773982385	0.0
5.241084755E8	3422.0945363693486	98230.35838337932
5.308711655E8	4021.040970395487	0.0
5.376338555E8	2375.009375274452	0.0
5.443965455E8	1128.5485000806013	98230.35838337932
5.511592355E8	1209.2200303264553	0.0
5.579219255E8	1159.4148709235571	0.0
5.646846155E8	589.0057174887893	98230.35838337932
5.714473055E8	253.691304578171	0.0
5.782099955E8	394.98140541529176	0.0
5.849726855E8	333.30364384791557	98230.35838337932
5.903608885E8	282.648702725323	0.0
5.937422335E8	18492.80708428605	0.0
5.984980655E8	25531.43751131554	98230.35838337932
6.052607555E8	25741.114503342626	0.0
6.120234455E8	22441.1974133258	0.0
6.187861355E8	18780.701368269612	98230.35838337932
6.255488255E8	8886.39942608321	0.0
6.323115155E8	12816.594073521179	0.0
6.390742055E8	14371.175648672031	98230.35838337932
6.458368955E8	9924.617750752504	0.0
6.525995855E8	9519.371730945355	0.0
6.593622755E8	12102.543205876813	98230.35838337932
6.661249655E8	9696.576123649336	0.0
6.728876555E8	4164.621766733443	0.0
6.796503455E8	4133.249203507601	98230.35838337932
6.864130355E8	3987.605798217386	0.0
6.931757255E8	3943.8840637271064	0.0
6.999384155E8	3187.1528364230285	98230.35838337932
7.067011055E8	5414.959227598376	0.0
7.134637955E8	3975.1157889990304	0.0
7.202264855E8	2336.3922933351178	98230.35838337932
7.269891755E8	1840.3428876896446	0.0
7.337518655E8	1577.1198588656591	0.0
7.405145555E8	477.97152469425794	98230.35838337932
7.472772455E8	394.42661250143715	0.0
7.540399355E8	394.3540914441925	0.0
7.608026255E8	251.33049206943923	98230.35838337932
7.668320365E8	328.41628225906993	0.0
7.702133815E8	42103.39815233542	0.0
7.743280055E8	39614.32200844893	98230.35838337932
7.810906955E8	31450.543337273084	0.0
7.878533855E8	30133.64050305863	0.0
7.946160755E8	16860.136058743014	98230.35838337932
8.013787655E8	18075.959726784116	0.0
8.081414555E8	15230.211068433135	0.0
8.149041455E8	16227.668383968483	98230.35838337932
8.216668355E8	14819.848557157435	0.0
8.284295255E8	15199.836142979191	0.0
8.351922155E8	9490.83023186662	98230.35838337932
8.419549055E8	11947.618120993317	0.0
8.487175955E8	27331.778190110166	0.0
8.554802855E8	9355.866121871873	98230.35838337932
8.622429755E8	8253.64634507047	0.0
8.690056655E8	5973.371108813225	0.0
8.757683555E8	3395.111417993771	98230.35838337932
8.825310455E8	2787.7541368548127	0.0
8.892937355E8	1706.5435957017658	0.0
8.960564255E8	1597.6133964069807	98230.35838337932
9.028191155E8	2148.700553784835	0.0
9.095818055E8	892.774457906358	0.0
9.163444955E8	351.48217386708546	98230.35838337932
9.231071855E8	329.6350863360404	0.0
9.298698755E8	359.9167231551379	0.0
9.366325655E8	252.33635677087432	98230.35838337932
9.426997425E8	251.76503511743786	0.0
9.460810875E8	21016.319059271344	0.0
9.501579455E8	15963.42820901501	98230.35838337932
9.569206355E8	18199.997077664	0.0
9.636833255E8	17002.513402695127	0.0
9.704460155E8	12966.327489127947	98230.35838337932
9.772087055E8	11168.676873255165	0.0
9.839713955E8	9744.629281537176	0.0
9.907340855E8	6418.480205516088	98230.35838337932
9.974967755E8	6739.44613325174	0.0
1.0042594655E9	5075.049929082184	0.0
1.0110221555E9	8046.341025370139	98230.35838337932
1.0177848455E9	6540.327398346359	0.0
1.0245475355E9	3727.717365980505	0.0
1.0313102255E9	4569.717919805457	98230.35838337932
1.0380729155E9	1952.132072662299	0.0
1.0448356055E9	6088.945487787153	0.0
1.0515982955E9	2350.7750022994146	98230.35838337932
1.0583609855E9	1918.6760228606033	0.0
1.0651236755E9	1324.2723987443535	0.0
1.0718863655E9	1512.5339734852234	98230.35838337932
1.0786490555E9	1526.9103709587846	0.0
1.0854117455E9	583.7666248336186	0.0
1.0921744355E9	412.9256297332282	98230.35838337932
1.0989371255E9	254.63524785976674	0.0
1.104984942E9	253.41142456140352	0.0
1.108366287E9	40009.1209506152	98230.35838337932
1.1124625055E9	22655.00681483592	0.0
1.1192251955E9	19091.442864936722	0.0
1.1259878855E9	11700.194206462023	98230.35838337932
1.1327505755E9	14491.56878507508	0.0
1.1395132655E9	7152.256689026513	0.0
1.1462759555E9	7980.47189388952	98230.35838337932
1.1530386455E9	12136.141148415061	0.0
1.1598013355E9	9086.458159296046	0.0
1.1665640255E9	3546.9134470285803	98230.35838337932
1.1733267155E9	4678.215222238739	0.0
1.1800894055E9	6352.067188819202	0.0
1.1868520955E9	5055.816511278195	98230.35838337932
1.1936147855E9	7854.876845403115	0.0
1.2003774755E9	2929.471248718851	0.0
1.2071401655E9	2323.2085864661653	98230.35838337932
1.2139028555E9	2094.302749558557	0.0
1.2206655455E9	3608.5185490260683	0.0
1.2274282355E9	1639.8961556804766	98230.35838337932
1.2341909255E9	2982.3954878951263	0.0
1.2409536155E9	1048.0424366912523	0.0
1.2477163055E9	422.45202057310803	98230.35838337932
1.2544789955E9	254.7724971922998	0.0
1.2602528435E9	252.46371964956197	0.0
1.2636341885E9	12973.584050350542	98230.35838337932
1.2680043755E9	19270.657060902686	0.0
1.2747670655E9	13825.269372609551	0.0
1.2815297555E9	8713.619832940672	98230.35838337932
1.2882924455E9	11102.357405906196	0.0
1.2950551355E9	8630.200612258679	0.0
1.3018178255E9	14908.598349525488	98230.35838337932
1.3085805155E9	8125.530060097687	0.0
1.3153432055E9	6751.862427719518	0.0
1.3221058955E9	5139.361088359721	98230.35838337932
1.3288685855E9	6086.990129549661	0.0
1.3356312755E9	3171.678005167102	0.0
1.3423939655E9	5658.475857226978	98230.35838337932
1.3491566555E9	2952.065133214783	0.0
1.3559193455E9	3755.0219107250446	0.0
1.3626820355E9	3136.784310723608	98230.35838337932
1.3694447255E9	2591.269786369814	0.0
1.3762074155E9	2203.508506693568	0.0
1.3829701055E9	1141.8917820426439	98230.35838337932
1.3897327955E9	1087.4159390850134	0.0
1.3964954855E9	642.4872635161878	0.0
1.4032581755E9	382.42009083508293	98230.35838337932
1.408757431E9	273.8289031244631	0.0
1.412138776E9	14181.690639842453	0.0
1.4167835555E9	11084.55898511086	98230.35838337932
1.4235462455E9	20128.360861358295	0.0
1.4303089355E9	8087.129028522013	0.0
1.4370716255E9	10919.744481763999	98230.35838337932
1.4438343155E9	12019.54844278003	0.0
1.4505970055E9	4589.5555174907695	0.0
1.4573596955E9	8324.98073649655	98230.35838337932
1.4641223855E9	4380.848408465641	0.0
1.4708850755E9	4799.234123337	0.0
1.4776477655E9	7747.010013714268	98230.35838337932
1.4844104555E9	3275.9885188384305	0.0
1.4911731455E9	2034.9928064132655	0.0
1.4979358355E9	2658.705306858846	98230.35838337932
