#Duplication rate	Coverage
1.0	5.3820281E7
2.0	5613208.0
3.0	692152.0
4.0	157890.0
5.0	48783.0
6.0	26865.0
7.0	16609.0
8.0	12112.0
9.0	9596.0
10.0	7990.0
11.0	6810.0
12.0	5818.0
13.0	5232.0
14.0	4558.0
15.0	4135.0
16.0	3562.0
17.0	3166.0
18.0	2941.0
19.0	2728.0
20.0	2337.0
21.0	2219.0
22.0	1995.0
23.0	1729.0
24.0	1578.0
25.0	1417.0
26.0	1258.0
27.0	1176.0
28.0	991.0
29.0	925.0
30.0	765.0
31.0	729.0
32.0	670.0
33.0	555.0
34.0	520.0
35.0	437.0
36.0	382.0
37.0	327.0
38.0	297.0
39.0	298.0
40.0	275.0
41.0	220.0
42.0	200.0
43.0	192.0
44.0	175.0
45.0	119.0
46.0	141.0
47.0	135.0
48.0	119.0
49.0	137.0
50.0	1732.0
