#Position (bp)	mapping quality
3381345.5	55.24893254164835
1.01440355E7	57.133729583078974
1.69067255E7	56.79595990377552
2.36694155E7	54.95443113990525
3.04321055E7	53.80454079287053
3.71947955E7	55.37482548934315
4.39574855E7	54.41017870834371
5.07201755E7	54.043468231572454
5.74828655E7	54.39367651078186
6.42455555E7	53.96038982802311
7.10082455E7	53.75487680606557
7.77709355E7	52.77989628051553
8.45336255E7	52.171541200868184
9.12963155E7	51.85417369293777
9.80590055E7	52.90975624764664
1.048216955E8	54.2435445799598
1.115843855E8	54.97647046685237
1.183470755E8	48.4161917785434
1.251097655E8	49.69364907741882
1.318724555E8	53.13003537981745
1.386351455E8	54.78931830292077
1.453978355E8	53.63424684334337
1.521605255E8	54.84582749341515
1.589232155E8	54.68705930340953
1.656859055E8	56.53008624523261
1.724485955E8	53.520825943076915
1.792112855E8	57.52698868697576
1.859739755E8	57.98217553691387
1.927366655E8	57.99967812435746
1.994993555E8	57.60157749119603
2.05937114E8	57.05190055109889
2.09318459E8	56.26876074057778
2.130247355E8	57.20845791598471
2.197874255E8	57.82941067613897
2.265501155E8	57.83664306431117
2.333128055E8	56.43616488236593
2.400754955E8	54.57581065090114
2.468381855E8	52.59513940813327
2.536008755E8	54.45146350198781
2.603635655E8	54.835323924738844
2.671262555E8	55.00538474653813
2.738889455E8	54.36857300530666
2.806516355E8	51.85149881113095
2.874143255E8	55.46556992411329
2.941770155E8	56.59073590342087
3.009397055E8	48.26543033795107
3.077023955E8	54.16975233071274
3.144650855E8	55.205999489260115
3.212277755E8	54.230657172434555
3.279904655E8	47.12716655277616
3.347531555E8	50.74166131615816
3.415158455E8	54.41554626223015
3.482785355E8	53.304448901598214
3.550412255E8	53.056811848405374
3.618039155E8	54.24661664791439
3.685666055E8	55.07933444192868
3.753292955E8	55.91499846672994
3.820919855E8	56.19302205047278
3.888546755E8	55.07819272456516
3.956173655E8	56.8255492661932
4.023800555E8	57.63700879268853
4.07291275E8	56.24481030285638
4.1067262E8	56.53532484526375
4.159054355E8	58.1452645256191
4.226681255E8	56.700653753741186
4.294308155E8	55.708504991489924
4.361935055E8	56.804893872424
4.429561955E8	57.17367671100456
4.497188855E8	51.62120638826285
4.564815755E8	55.73048455692269
4.632442655E8	50.72352822647731
4.700069555E8	50.3629180000242
4.767696455E8	56.379243757649995
4.835323355E8	54.49887545874709
4.902950255E8	54.79767036010089
4.970577155E8	54.09749965500401
5.038204055E8	55.808617279469665
5.105830955E8	54.40073307758323
5.173457855E8	55.03973007853602
5.241084755E8	54.60345166053217
5.308711655E8	56.3599600704849
5.376338555E8	54.272032396563326
5.443965455E8	53.103347826526814
5.511592355E8	54.39167751019232
5.579219255E8	55.16226385535148
5.646846155E8	54.552707646654525
5.714473055E8	56.18296807936243
5.782099955E8	56.44142921659904
5.849726855E8	55.250993562516555
5.903608885E8	55.17703327498198
5.937422335E8	51.41641357404727
5.984980655E8	48.45121738329108
6.052607555E8	57.93633935172875
6.120234455E8	55.07104957044718
6.187861355E8	55.93317035898051
6.255488255E8	55.87342161124822
6.323115155E8	53.81023279697761
6.390742055E8	55.318350820830425
6.458368955E8	55.09956869240129
6.525995855E8	51.98861578770308
6.593622755E8	54.446150573936464
6.661249655E8	51.03344548565205
6.728876555E8	53.557910610192934
6.796503455E8	55.555977440117196
6.864130355E8	52.63248875581641
6.931757255E8	53.44773081820379
6.999384155E8	53.89089359011862
7.067011055E8	54.50257816246647
7.134637955E8	53.714761140721386
7.202264855E8	54.97311325281041
7.269891755E8	54.38008385066043
7.337518655E8	54.46240162210339
7.405145555E8	56.003110599792265
7.472772455E8	56.259210505857986
7.540399355E8	57.426491004541
7.608026255E8	57.695881865055235
7.668320365E8	57.59981966314778
7.702133815E8	50.43887579293461
7.743280055E8	57.02128217520495
7.810906955E8	57.250797753418354
7.878533855E8	55.29060771673946
7.946160755E8	56.160391004602474
8.013787655E8	54.591188897266534
8.081414555E8	54.12101318376896
8.149041455E8	53.7760866997563
8.216668355E8	54.3887050594796
8.284295255E8	54.624833445011916
8.351922155E8	53.014247159625825
8.419549055E8	54.86052108504265
8.487175955E8	45.55969923261249
8.554802855E8	47.55776976670943
8.622429755E8	50.96023267686825
8.690056655E8	41.79837186708583
8.757683555E8	45.978202079138136
8.825310455E8	55.326343795566835
8.892937355E8	56.33281078054728
8.960564255E8	57.20752572423973
9.028191155E8	51.79718934120058
9.095818055E8	53.174758028991
9.163444955E8	54.21283616149791
9.231071855E8	57.27485046116699
9.298698755E8	56.870657276868634
9.366325655E8	58.078846389079686
9.426997425E8	58.18655719882703
9.460810875E8	48.21506714466885
9.501579455E8	57.284878202584466
9.569206355E8	56.84099428404595
9.636833255E8	55.91910094837032
9.704460155E8	55.48101612888624
9.772087055E8	54.16651031352635
9.839713955E8	53.29746477642625
9.907340855E8	55.13561843650657
9.974967755E8	54.812544456926155
1.0042594655E9	54.588827531664904
1.0110221555E9	54.4961137230718
1.0177848455E9	53.98595291166432
1.0245475355E9	54.876187368466034
1.0313102255E9	49.56827585087908
1.0380729155E9	53.22796181602619
1.0448356055E9	56.0346794703158
1.0515982955E9	55.470003137333194
1.0583609855E9	54.70885176205438
1.0651236755E9	53.7422192647874
1.0718863655E9	54.80701221950566
1.0786490555E9	51.404820981175696
1.0854117455E9	54.264989299687294
1.0921744355E9	55.45541781750374
1.0989371255E9	57.68198347428482
1.104984942E9	55.364955926515506
1.108366287E9	46.914487328572164
1.1124625055E9	57.063346924656095
1.1192251955E9	56.5170043014578
1.1259878855E9	56.3693918061442
1.1327505755E9	56.078937102652844
1.1395132655E9	55.489642019871106
1.1462759555E9	55.25906051245888
1.1530386455E9	54.1274160896153
1.1598013355E9	55.82497556357139
1.1665640255E9	55.22951818461685
1.1733267155E9	52.86766601380897
1.1800894055E9	54.10984756425171
1.1868520955E9	53.55200758406498
1.1936147855E9	53.56935819147382
1.2003774755E9	54.193170367508344
1.2071401655E9	53.65039790890976
1.2139028555E9	54.577751501206755
1.2206655455E9	57.79652782799594
1.2274282355E9	56.541304005288275
1.2341909255E9	43.961312891010586
1.2409536155E9	51.94174029031048
1.2477163055E9	56.842028293212074
1.2544789955E9	57.96853310639928
1.2602528435E9	56.09568492185645
1.2636341885E9	53.14385437468491
1.2680043755E9	56.73480752386356
1.2747670655E9	54.82791344307676
1.2815297555E9	56.074937578254406
1.2882924455E9	56.97437812682057
1.2950551355E9	54.76061236247
1.3018178255E9	55.532461930768534
1.3085805155E9	54.63857914673076
1.3153432055E9	55.31944099965063
1.3221058955E9	55.38725333670011
1.3288685855E9	53.73170498967761
1.3356312755E9	54.19880901579483
1.3423939655E9	55.297289975358254
1.3491566555E9	56.57953880078451
1.3559193455E9	54.97247343613758
1.3626820355E9	55.829259432238565
1.3694447255E9	54.11100576253927
1.3762074155E9	51.831062530148756
1.3829701055E9	49.37063218821434
1.3897327955E9	49.17499316203713
1.3964954855E9	58.24647914010592
1.4032581755E9	54.64329184215984
1.408757431E9	57.50013818530527
1.412138776E9	54.81964980978171
1.4167835555E9	57.22143515919841
1.4235462455E9	55.62406600229311
1.4303089355E9	57.14725779318856
1.4370716255E9	54.30373353476556
1.4438343155E9	50.45362045576591
1.4505970055E9	55.47580252804888
1.4573596955E9	54.678131197296125
1.4641223855E9	54.80230558643648
1.4708850755E9	55.9121869112757
1.4776477655E9	56.075501760781485
1.4844104555E9	55.21515597404948
1.4911731455E9	54.56023851360798
1.4979358355E9	48.293923639205815
1.5046985255E9	51.1794916281397
1.5114612155E9	54.65630874142888
1.5182239055E9	54.65271111478738
1.5249865955E9	55.905727771886774
1.5317492855E9	53.54090402039966
1.5385119755E9	56.42825053607064
1.5452746655E9	57.51559252862166
1.5504776755E9	56.94793895406906
1.5538590205E9	54.56782272155603
1.5588000455E9	56.228772219783096
1.5655627355E9	56.29984568801582
1.5723254255E9	56.941747760335815
1.5790881155E9	57.04113899910714
1.5858508055E9	53.606642091078434
1.5926134955E9	52.003454030737664
1.5993761855E9	55.256242764482046
1.6061388755E9	53.12117672124048
1.6129015655E9	54.51019137462448
1.6196642555E9	52.949693762651556
1.6264269455E9	53.87945245839007
1.6331896355E9	54.62030335523918
1.6399523255E9	52.48184710803202
1.6467150155E9	56.18462787556429
1.6534777055E9	56.464661647616474
1.6602403955E9	55.25175265699117
1.6670030855E9	54.759616402512755
1.6737657755E9	56.72268719373086
1.6805284655E9	56.3778771959231
1.6872911555E9	56.90347093679008
1.691973483E9	53.80646853543884
1.695354828E9	49.19256716683022
1.7008165355E9	56.41012602717501
1.7075792255E9	52.68556928814301
1.7143419155E9	40.102457039246815
1.7211046055E9	42.74513901883382
1.7278672955E9	52.09000584753164
1.7346299855E9	55.95854352616809
1.7413926755E9	55.46342380711761
1.7481553655E9	54.22346343344307
1.7549180555E9	56.23827695624058
1.7616807455E9	51.12459576054097
1.7684434355E9	53.343050665009905
1.7752061255E9	55.06798885955074
1.7819688155E9	54.03588403035571
1.7887315055E9	54.20236902632673
