#Mapping quality	mapping quality
0.0	5.5967803E7
1.0	4021303.0
2.0	3975235.0
3.0	4279011.0
4.0	3840170.0
5.0	3677093.0
6.0	3861752.0
7.0	3497425.0
8.0	3518076.0
9.0	3692487.0
10.0	3593304.0
11.0	2958681.0
12.0	3166598.0
13.0	4418739.0
14.0	2778702.0
15.0	3560869.0
16.0	3305501.0
17.0	2980482.0
18.0	3235498.0
19.0	3078498.0
20.0	5842345.0
21.0	3742314.0
22.0	3729006.0
23.0	3565190.0
24.0	4113170.0
25.0	4230145.0
26.0	3983703.0
27.0	5744515.0
28.0	3870999.0
29.0	3867975.0
30.0	8227233.0
31.0	4593535.0
32.0	4652851.0
33.0	5509951.0
34.0	4825062.0
35.0	4928419.0
36.0	5390775.0
37.0	5272007.0
38.0	4970928.0
39.0	5520930.0
40.0	1.5956072E7
41.0	6184330.0
42.0	6557347.0
43.0	6787051.0
44.0	6450719.0
45.0	8732417.0
46.0	7781014.0
47.0	7433597.0
48.0	9315134.0
49.0	7386224.0
50.0	1.2409018E7
51.0	8264829.0
52.0	8609473.0
53.0	1.1649645E7
54.0	9020620.0
55.0	1.1156468E7
56.0	1.1447463E7
57.0	1.1026734E7
58.0	1.0452049E7
59.0	1.0323982E7
60.0	1.983823198E9
