#Duplication rate	Coverage
1.0	1.31887295E8
2.0	1.3753586E7
3.0	2321372.0
4.0	709844.0
5.0	296712.0
6.0	155223.0
7.0	90161.0
8.0	58940.0
9.0	40597.0
10.0	29456.0
11.0	22104.0
12.0	17349.0
13.0	13808.0
14.0	11618.0
15.0	9512.0
16.0	8125.0
17.0	6833.0
18.0	6088.0
19.0	5331.0
20.0	4700.0
21.0	4180.0
22.0	3811.0
23.0	3395.0
24.0	3064.0
25.0	2780.0
26.0	2571.0
27.0	2340.0
28.0	2136.0
29.0	1974.0
30.0	1921.0
31.0	1702.0
32.0	1571.0
33.0	1460.0
34.0	1405.0
35.0	1202.0
36.0	1196.0
37.0	1072.0
38.0	1034.0
39.0	920.0
40.0	929.0
41.0	906.0
42.0	826.0
43.0	784.0
44.0	757.0
45.0	714.0
46.0	644.0
47.0	627.0
48.0	641.0
49.0	579.0
50.0	18812.0
