#Duplication rate	Coverage
1.0	4.9635045E7
2.0	1804263.0
3.0	179476.0
4.0	52857.0
5.0	25951.0
6.0	16458.0
7.0	11910.0
8.0	9083.0
9.0	7174.0
10.0	5961.0
11.0	5259.0
12.0	4463.0
13.0	3862.0
14.0	3412.0
15.0	3046.0
16.0	2659.0
17.0	2322.0
18.0	2079.0
19.0	1870.0
20.0	1657.0
21.0	1380.0
22.0	1357.0
23.0	1091.0
24.0	1018.0
25.0	830.0
26.0	689.0
27.0	631.0
28.0	526.0
29.0	481.0
30.0	434.0
31.0	368.0
32.0	280.0
33.0	263.0
34.0	253.0
35.0	215.0
36.0	192.0
37.0	177.0
38.0	131.0
39.0	143.0
40.0	117.0
41.0	98.0
42.0	102.0
43.0	101.0
44.0	84.0
45.0	63.0
46.0	73.0
47.0	51.0
48.0	69.0
49.0	68.0
50.0	905.0
