#Position (bp)	Coverage	Std
3381345.5	7.611701113018636	7.183414710946312
1.01440355E7	7.47891282906654	4.82664267451144
1.69067255E7	7.531998657339018	4.891164836919853
2.36694155E7	7.585750492777282	5.326588157530661
3.04321055E7	7.765292805082002	6.655960114885655
3.71947955E7	7.604255259371641	5.285329165282433
4.39574855E7	7.705759394560449	5.56379625971305
5.07201755E7	7.726785051510568	5.536005593390821
5.74828655E7	7.706567948553016	6.029849567573859
6.42455555E7	7.719851863681464	5.7831272908232565
7.10082455E7	7.786944544256797	5.86086650897749
7.77709355E7	7.8085823836372805	6.0196884246626245
8.45336255E7	8.00445133519354	8.315848582744986
9.12963155E7	7.8435999580048765	6.210967778442546
9.80590055E7	8.497590455868892	8.306995896501599
1.048216955E8	7.738136895229561	5.791986854806471
1.115843855E8	7.6175595805811005	5.326210847635221
1.183470755E8	8.793720546114047	8.480510651266055
1.251097655E8	9.01169475460209	8.18183844164696
1.318724555E8	7.789972481364664	5.954056103320019
1.386351455E8	7.666794870088678	5.446577009974944
1.453978355E8	7.778581599925474	5.811917631831567
1.521605255E8	7.693322627534309	5.7438376987354145
1.589232155E8	7.653235177126262	5.582697462642619
1.656859055E8	7.491227011736454	5.132332986461896
1.724485955E8	7.987679015303082	6.627453166057275
1.792112855E8	7.378109302659149	5.5445550050252255
1.859739755E8	7.244157872089361	4.233482937443164
1.927366655E8	7.263159778135623	4.35436773522928
1.994993555E8	7.240185784059302	4.862387079752034
2.05937114E8	7.389984045025321	6.097099553807963
2.09318459E8	7.426582218098276	5.418199657506374
2.130247355E8	7.36780245730619	5.024239004320356
2.197874255E8	7.337949691616798	4.631794673487966
2.265501155E8	7.37629197848785	4.545257124163098
2.333128055E8	7.304628040025492	4.781708720950182
2.400754955E8	7.7404000479099295	5.700335965352997
2.468381855E8	7.852511500601092	6.196028275937107
2.536008755E8	7.69967838241883	6.043344128387187
2.603635655E8	7.719713605089099	6.075062760743073
2.671262555E8	7.622242036822625	5.458293793868409
2.738889455E8	7.699048455570194	5.446552765694615
2.806516355E8	8.295231483329859	8.851313878940594
2.874143255E8	7.609066954126242	7.021883909157655
2.941770155E8	7.469395314586356	5.5066588703953405
3.009397055E8	10.670941149158102	1081.5642925686236
3.077023955E8	7.751104516102321	5.738000454429338
3.144650855E8	7.625749073223821	5.367957223669839
3.212277755E8	7.700074970167197	6.0136862237528925
3.279904655E8	19.79885637224241	22.888151767639645
3.347531555E8	8.67455169466588	7.787474112281351
3.415158455E8	7.699558903335803	5.766310807019981
3.482785355E8	7.83195828878745	6.902031877119515
3.550412255E8	7.722630787452922	6.008230992806052
3.618039155E8	7.784728118544543	8.172276869133023
3.685666055E8	7.626427501482398	5.511664446236253
3.753292955E8	7.580699248376016	5.592781285433467
3.820919855E8	7.471388752108998	5.146038405579393
3.888546755E8	7.649896121218036	5.41865383909188
3.956173655E8	7.478702409839872	5.053531826152675
4.023800555E8	7.291784038600024	4.255987079203221
4.07291275E8	7.581625159449353	5.631827826691271
