#Position (bp)	Coverage	Std
3381345.5	6.834922641729844	6.902920986266074
1.01440355E7	6.707277577413722	4.746658108840036
1.69067255E7	6.709112941743596	4.73554388100876
2.36694155E7	6.6796783528448	5.014935572055865
3.04321055E7	6.761254471223729	5.274429219327511
3.71947955E7	6.609194418197492	4.826494423500493
4.39574855E7	6.691654504346643	5.0215351394165175
5.07201755E7	6.639804279066466	4.878565422359577
5.74828655E7	6.709805269796487	5.584405799308473
6.42455555E7	6.605857728211703	4.942678512119111
7.10082455E7	6.746349751356339	5.210779557553231
7.77709355E7	6.714252760366067	5.291461794571997
8.45336255E7	6.800913837540978	6.985806965536156
9.12963155E7	6.582929278142278	5.176889594416844
9.80590055E7	7.041155960128292	5.7608446110986495
1.048216955E8	6.63211650985037	4.963373835175193
1.115843855E8	6.609715660484215	4.803900160461
1.183470755E8	7.5037533880748635	7.295742710244735
1.251097655E8	7.827274797454859	7.993913456306687
1.318724555E8	6.699722299854052	5.132273677670358
1.386351455E8	6.694540042497882	4.96396989793298
1.453978355E8	6.657849908838051	5.019702747508952
1.521605255E8	6.720934421066174	5.241834609940677
1.589232155E8	6.692036157209631	5.0700831481193385
1.656859055E8	6.580546350638577	4.675114726358234
1.724485955E8	6.851510863280736	5.748897668613886
1.792112855E8	6.487825406753822	4.459930815395579
1.859739755E8	6.271196816651362	3.9277489864438007
1.927366655E8	6.406867829221803	4.263351705824885
1.994993555E8	6.415429954648224	4.414060780859884
2.05937114E8	6.739007336540033	5.917332333692064
2.09318459E8	6.588897967725505	5.287270033659803
2.130247355E8	6.637283240840553	4.907080506669769
2.197874255E8	6.556225259475149	4.587330277054832
2.265501155E8	6.477929492553998	4.287872330441853
2.333128055E8	6.330984120224349	4.372077341409637
2.400754955E8	6.665483853318724	5.032603378152459
2.468381855E8	6.8177458969729505	5.454819538541249
2.536008755E8	6.71135095649808	5.293254822304274
2.603635655E8	6.6579380394487995	5.131339268460309
2.671262555E8	6.657757489992887	4.930438894153516
2.738889455E8	6.768382995523971	5.042570901534125
2.806516355E8	7.096156411132257	7.343549059470213
2.874143255E8	6.549861667472559	6.158651153340711
2.941770155E8	6.594201863459658	4.625942839387206
3.009397055E8	7.373307367334596	265.41363620242356
3.077023955E8	6.627052992226466	4.96287566859577
3.144650855E8	6.637327749756384	4.9097851199546225
3.212277755E8	6.674616609662723	5.105473261652947
3.279904655E8	17.55400498913894	20.628219619365385
3.347531555E8	7.511373137020919	6.906284106881496
3.415158455E8	6.724569808759532	5.2716552810652155
3.482785355E8	6.674513692036749	5.925354027613205
3.550412255E8	6.575865225228422	5.2124013200962
3.618039155E8	6.688132680930222	6.863513717959106
3.685666055E8	6.647388243435675	4.912762124339837
3.753292955E8	6.535564841801118	4.962288443842065
3.820919855E8	6.53274540160794	4.690172467198833
3.888546755E8	6.6906133506045675	4.982484354915458
3.956173655E8	6.571477917810812	5.228640035543211
4.023800555E8	6.51946000777797	4.279503181073436
4.07291275E8	6.83769518349381	5.484875105005692
4.1067262E8	6.806496511826681	5.842647503965404
4.159054355E8	6.5372898949974045	4.361692804563125
4.226681255E8	6.40518417966815	4.533053465209335
4.294308155E8	6.563553556351097	5.461217190405682
4.361935055E8	6.431132877597524	4.3316904859523
4.429561955E8	6.281612642306538	3.9464107263068935
4.497188855E8	7.269977183635506	8.389275310232968
4.564815755E8	6.655111057877856	4.822081526149118
4.632442655E8	8.530276561545776	7.744400241432156
4.700069555E8	6.816152152471871	5.795366172503793
4.767696455E8	6.450582386594683	4.60460712054766
4.835323355E8	6.549390848907757	4.633797408012045
4.902950255E8	6.649172592563018	5.319223034929017
4.970577155E8	6.688684384468311	5.035668149678346
5.038204055E8	6.65455950220992	4.739629173884601
5.105830955E8	6.744432910572568	5.58929977656934
5.173457855E8	6.696642608192894	5.322415107314275
5.241084755E8	6.751242331084228	5.063270896003148
5.308711655E8	6.548620001804016	4.709900363519522
5.376338555E8	6.809295709251792	6.87690583553689
5.443965455E8	6.750246425608744	5.556485861874286
5.511592355E8	6.674064462514177	4.922939135136551
5.579219255E8	6.6384664977989525	5.0725315469048
5.646846155E8	6.749871426902608	5.1308968497610365
5.714473055E8	6.666116589700253	4.808728239115425
5.782099955E8	6.649295324789396	4.690332861414982
5.849726855E8	6.719596935538965	6.970036292576508
5.903608885E8	6.692685531313128	5.733513180280569
5.937422335E8	6.637903450523723	11.217079562696712
5.984980655E8	10.893454527710126	20.686565626468475
6.052607555E8	6.645085017944043	5.484386968405118
6.120234455E8	6.581228475650962	4.655226982658426
6.187861355E8	6.535988341917196	4.638303985495734
6.255488255E8	6.582549399721117	4.808035414214991
6.323115155E8	6.7200294557343305	5.247914544476034
6.390742055E8	6.609826563098412	4.656371501253405
6.458368955E8	6.671296481133987	5.3442115590980235
6.525995855E8	6.885320338504353	6.399942106263067
6.593622755E8	6.638790924913016	6.305090871625069
6.661249655E8	6.718736774863257	5.847840526266667
6.728876555E8	6.894532353249964	5.611196408847692
6.796503455E8	6.604436548178314	4.963225139749538
6.864130355E8	6.945786366076221	6.449825204508448
6.931757255E8	6.698795301869523	12.21530922359351
6.999384155E8	6.592540394428844	5.1806637152485635
7.067011055E8	6.477057945876567	5.008984119536874
7.134637955E8	6.659231016060177	5.282095029100061
7.202264855E8	6.711748727207665	5.128222332242881
7.269891755E8	6.916599607552616	5.528789917796953
7.337518655E8	6.687978895971869	5.1917209046152255
7.405145555E8	6.596361802773749	4.680935557151911
7.472772455E8	6.560076981201267	4.644049021055538
7.540399355E8	6.5639406804097185	4.570470759680265
7.608026255E8	6.427559595368115	4.365584527732869
7.668320365E8	6.599277737035255	5.728960747306264
7.702133815E8	7.266127217607487	9.997250429666627
7.743280055E8	6.736383598834192	4.837375496577424
7.810906955E8	6.732869021055231	5.034717969870018
7.878533855E8	6.648362116258471	4.959636880458945
7.946160755E8	6.627560926199486	4.7937357278280714
8.013787655E8	6.797452049406376	5.432449049119034
8.081414555E8	6.601320924070156	5.159644528198917
8.149041455E8	6.6937144834378035	5.055242339808521
8.216668355E8	6.580256377269992	4.711562639929299
8.284295255E8	6.5198011442192385	4.566618388965452
8.351922155E8	7.239551568976251	6.921357628768045
8.419549055E8	6.641297471864007	5.209033579930307
8.487175955E8	13.716819786209333	40.21818370910811
8.554802855E8	8.419147114535784	8.151390989939495
8.622429755E8	7.401214901170984	7.214178169739389
8.690056655E8	24.6639035650015	155.85415061363844
8.757683555E8	19.451057345523747	19.73371752322531
8.825310455E8	6.792136856783322	5.92032176100345
8.892937355E8	8.655187211006272	12.74384915268618
8.960564255E8	6.482737342684642	4.429237952869305
9.028191155E8	8.168863573518822	9.14126196583008
9.095818055E8	6.720932942364651	6.256902657436916
9.163444955E8	6.611869241381758	4.993387680293607
9.231071855E8	6.390731646726377	4.299704815252915
9.298698755E8	6.615910384772923	4.688994067538296
9.366325655E8	6.651612893685797	4.572349538402526
9.426997425E8	6.85691026095452	6.298840027381397
9.460810875E8	7.299966355769051	7.701157633597614
9.501579455E8	6.652432685809937	4.724221576639066
9.569206355E8	6.5442491079733065	4.457272662564833
9.636833255E8	6.498350656321671	4.574507632460115
9.704460155E8	6.55732748359011	4.643916577434421
9.772087055E8	6.77994836374283	5.658669759968644
9.839713955E8	6.700175521870735	5.325807648131375
9.907340855E8	6.653018399483046	4.924705007006528
9.974967755E8	6.542997239264257	4.696832716649234
1.0042594655E9	6.776772852223006	5.663084071239423
1.0110221555E9	6.587918417079594	4.905103345567959
1.0177848455E9	6.642769371359622	4.923134101218012
1.0245475355E9	6.641647332644259	4.798924114824482
1.0313102255E9	7.39130582652761	6.8431058406970475
1.0380729155E9	6.658573881103526	9.52177032592176
1.0448356055E9	6.514839213389938	4.596364294198589
1.0515982955E9	6.608010126148027	4.78540739281282
1.0583609855E9	6.658870952239419	4.985846657432346
1.0651236755E9	6.559794253470143	4.952751685334407
1.0718863655E9	6.659932955672964	5.468010781765744
1.0786490555E9	7.070425969547621	10.156628744460612
1.0854117455E9	6.726154533181322	5.823235706867214
1.0921744355E9	7.101920093927121	5.668017886539495
1.0989371255E9	6.544817372968449	4.55543347448602
1.104984942E9	7.304386339775243	10.54616569394506
1.108366287E9	7.233114669938108	14.305777985380178
1.1124625055E9	6.769962840230737	9.67326131007957
1.1192251955E9	6.655156010404144	4.962987727289401
1.1259878855E9	6.590324708067352	4.511206523499953
1.1327505755E9	6.63531849012745	4.776353034163272
1.1395132655E9	6.637891430776806	4.801533405756782
1.1462759555E9	6.640895117179702	4.880518673416849
1.1530386455E9	6.63674366265495	4.888671898067673
1.1598013355E9	6.548872268283775	4.806927637213602
1.1665640255E9	6.590565440675234	4.914834212120131
1.1733267155E9	6.701434044736636	5.280453212423793
1.1800894055E9	6.645803223273579	4.8781035795780925
1.1868520955E9	6.63957374949909	4.890704561872977
1.1936147855E9	6.6294483408229565	5.1547959161141375
1.2003774755E9	6.510836072627904	4.585853297706215
1.2071401655E9	6.664561735049219	5.173781508199312
1.2139028555E9	6.579064543842761	4.890288707964682
1.2206655455E9	6.451384877911009	4.160001740601947
1.2274282355E9	6.3161588066287235	4.148576665598189
1.2341909255E9	12.548061791979228	29.07311121180576
1.2409536155E9	8.717515515275727	13.191675149733106
1.2477163055E9	6.5901574669251435	4.85070563191137
1.2544789955E9	6.473105376706607	4.250878881928937
1.2602528435E9	7.3674053909232295	9.454765183212922
1.2636341885E9	6.661286130645745	9.516545711472414
1.2680043755E9	6.582571728114108	4.670007711073772
1.2747670655E9	6.668246659243585	5.077116350821657
1.2815297555E9	6.611073404222284	4.667161139383359
1.2882924455E9	6.454519133658352	4.226716796729986
1.2950551355E9	6.695214182522044	5.162932743264625
1.3018178255E9	6.70687152597561	5.101419125515377
1.3085805155E9	6.716959671373374	5.126058676559306
1.3153432055E9	6.596756616080287	4.986840427041375
1.3221058955E9	6.6848575049277725	4.827520430016907
1.3288685855E9	7.938130093202557	12.064435238220659
1.3356312755E9	6.666179878125421	5.058151275376774
1.3423939655E9	6.600070238322324	4.680110799310117
1.3491566555E9	6.558207310996068	4.478123366158024
1.3559193455E9	6.645334474890909	5.017674732415244
1.3626820355E9	6.595715314468059	4.655669931007545
1.3694447255E9	6.692469121015454	4.986811397578223
1.3762074155E9	7.2834681169771205	5.926412482853278
1.3829701055E9	12.269828130522026	18.406619713773836
1.3897327955E9	9.098439230542876	10.6820945742994
1.3964954855E9	6.576062631881692	5.011156511140594
1.4032581755E9	8.263852401928819	9.452754171378938
1.408757431E9	6.343378532756696	4.382022899125543
1.412138776E9	6.956348746215178	13.382545763516525
1.4167835555E9	6.546942710666909	4.505630322305141
1.4235462455E9	6.471749555280517	4.527208862653677
1.4303089355E9	6.5911921143805206	4.627035320010719
1.4370716255E9	6.497823647099009	4.816138364795581
1.4438343155E9	6.971667783086316	9.015620976619958
1.4505970055E9	6.581226109728525	4.766634715749096
1.4573596955E9	6.643581030625387	4.986408184878702
1.4641223855E9	6.5182020763926785	4.6858995951660525
1.4708850755E9	6.699298208257365	5.131919553763025
1.4776477655E9	6.493288765269441	4.5592042402394855
1.4844104555E9	6.581145520495542	4.716718838024529
1.4911731455E9	6.613448938218371	4.770268138074129
1.4979358355E9	10.319551095791763	12.884653412976544
