#Duplication rate	Coverage
1.0	1.2955887E8
2.0	1.511732E7
3.0	2725634.0
4.0	884215.0
5.0	367448.0
6.0	196617.0
7.0	114978.0
8.0	76768.0
9.0	52341.0
10.0	38452.0
11.0	28564.0
12.0	22414.0
13.0	17910.0
14.0	14575.0
15.0	11864.0
16.0	9952.0
17.0	8353.0
18.0	7265.0
19.0	6187.0
20.0	5460.0
21.0	4789.0
22.0	4313.0
23.0	3933.0
24.0	3550.0
25.0	3083.0
26.0	2795.0
27.0	2632.0
28.0	2320.0
29.0	2135.0
30.0	2067.0
31.0	1922.0
32.0	1759.0
33.0	1611.0
34.0	1515.0
35.0	1374.0
36.0	1331.0
37.0	1202.0
38.0	1145.0
39.0	1072.0
40.0	1055.0
41.0	944.0
42.0	850.0
43.0	890.0
44.0	827.0
45.0	757.0
46.0	683.0
47.0	684.0
48.0	698.0
49.0	631.0
50.0	19672.0
