#Position (bp)	mapping quality
3381345.5	55.50181313810495
1.01440355E7	57.2859806376506
1.69067255E7	56.90450059380313
2.36694155E7	55.07948997712373
3.04321055E7	53.90597858208952
3.71947955E7	55.39128308769867
4.39574855E7	54.61080888164816
5.07201755E7	54.148011714810224
5.74828655E7	54.43181198455164
6.42455555E7	54.032345883396154
7.10082455E7	53.90884771256716
7.77709355E7	52.771348975973744
8.45336255E7	52.159363049289944
9.12963155E7	51.63462655420398
9.80590055E7	53.01461398222252
1.048216955E8	54.33475516623377
1.115843855E8	55.20725547593948
1.183470755E8	48.1832434976029
1.251097655E8	49.65833396924003
1.318724555E8	53.087935875104606
1.386351455E8	54.893733098851826
1.453978355E8	53.68621285630228
1.521605255E8	54.956535057025995
1.589232155E8	54.839924135554476
1.656859055E8	56.566251967695415
1.724485955E8	52.84465074385331
1.792112855E8	57.507671663914444
1.859739755E8	58.042444404356246
1.927366655E8	58.0713154264131
1.994993555E8	57.54536248580759
2.05937114E8	57.15767565672338
2.09318459E8	56.59610356559021
2.130247355E8	57.10517496444619
2.197874255E8	57.79552949250196
2.265501155E8	57.9059144506403
2.333128055E8	56.49735292040809
2.400754955E8	54.617833845643815
2.468381855E8	52.72244214206883
2.536008755E8	54.44808090242002
2.603635655E8	55.00505915098384
2.671262555E8	55.13705542951512
2.738889455E8	54.44164950513541
2.806516355E8	51.88241349842803
2.874143255E8	55.490799885072065
2.941770155E8	56.81292257532064
3.009397055E8	48.976551339125315
3.077023955E8	54.16059371644357
3.144650855E8	55.353193874349785
3.212277755E8	54.33655201865742
3.279904655E8	47.13683819456249
3.347531555E8	50.6405655281039
3.415158455E8	54.501069026575685
3.482785355E8	53.3735924231778
3.550412255E8	53.04209140773367
3.618039155E8	54.31892536517808
3.685666055E8	55.17835302154393
3.753292955E8	56.009405614111195
3.820919855E8	56.31335630053846
3.888546755E8	55.213643965754464
3.956173655E8	57.02744579755596
4.023800555E8	57.76622568703089
4.07291275E8	55.33499717806714
4.1067262E8	56.58272976070058
4.159054355E8	58.12474359289667
4.226681255E8	56.840898006078376
4.294308155E8	55.69911361477167
4.361935055E8	56.77362112382291
4.429561955E8	57.26625684525595
4.497188855E8	51.571329901903084
4.564815755E8	55.706439536198424
4.632442655E8	50.747864471924906
4.700069555E8	50.23930956828381
4.767696455E8	56.39644267063648
4.835323355E8	54.47602866668057
4.902950255E8	54.86196421271146
4.970577155E8	54.28764321392566
5.038204055E8	55.85855810243673
5.105830955E8	54.416217243278616
5.173457855E8	55.07654719638445
5.241084755E8	54.72313025130767
5.308711655E8	56.39210669701309
5.376338555E8	54.38526918091221
5.443965455E8	53.21987838173054
5.511592355E8	54.48912757212258
5.579219255E8	55.32468942329192
5.646846155E8	54.67328550997995
5.714473055E8	56.36703823084633
5.782099955E8	56.51875003383999
5.849726855E8	55.50548861083246
5.903608885E8	54.86665004325692
5.937422335E8	51.839029338228464
5.984980655E8	48.201336863045576
6.052607555E8	58.01804307075158
6.120234455E8	55.16833465550323
6.187861355E8	55.879540159732414
6.255488255E8	55.934790715292095
6.323115155E8	53.697460929426256
6.390742055E8	55.241498053405515
6.458368955E8	55.13646532986293
6.525995855E8	52.092779997235006
6.593622755E8	54.567775385265456
6.661249655E8	51.16884627836793
6.728876555E8	53.53640530975074
6.796503455E8	55.507341200097734
6.864130355E8	52.0573752391969
6.931757255E8	53.50265966821138
6.999384155E8	53.943560984525675
7.067011055E8	54.62451253661937
7.134637955E8	53.71785727987003
7.202264855E8	55.04537847487404
7.269891755E8	54.56582448658131
7.337518655E8	54.490468546310346
7.405145555E8	56.15240166255152
7.472772455E8	56.39664555548852
7.540399355E8	57.50233321335292
7.608026255E8	57.80293040896937
7.668320365E8	58.03147028985124
7.702133815E8	51.21011757499281
7.743280055E8	57.339153815389324
7.810906955E8	57.36462052000944
7.878533855E8	55.37802681363108
7.946160755E8	56.25264433047569
8.013787655E8	54.680133559583716
8.081414555E8	54.134329920682205
8.149041455E8	53.888669031946634
8.216668355E8	54.48747030758172
8.284295255E8	54.502981979762254
8.351922155E8	53.0161809223494
8.419549055E8	54.93935203404339
8.487175955E8	45.42149210998734
8.554802855E8	47.68933060170866
8.622429755E8	50.90407389744768
8.690056655E8	41.17138767491577
8.757683555E8	45.82196356425933
8.825310455E8	55.406339562536054
8.892937355E8	56.30249374960143
8.960564255E8	57.255288447898444
9.028191155E8	51.841713873422734
9.095818055E8	52.48247281536632
9.163444955E8	54.16882624822388
9.231071855E8	57.31294119276909
9.298698755E8	56.86804394756284
9.366325655E8	58.0842167871051
9.426997425E8	58.254772924666085
9.460810875E8	49.49758993790106
9.501579455E8	57.3093398796788
9.569206355E8	56.92810159509637
9.636833255E8	56.03163233674044
9.704460155E8	55.56308693250033
9.772087055E8	54.230739157699944
9.839713955E8	53.220931176545655
9.907340855E8	55.12495465887609
9.974967755E8	54.80838547009676
1.0042594655E9	54.7794774979714
1.0110221555E9	54.53456366693749
1.0177848455E9	54.024653887756756
1.0245475355E9	54.93205856811868
1.0313102255E9	49.384579046495595
1.0380729155E9	53.21447887831393
1.0448356055E9	56.050020152135446
1.0515982955E9	55.435201790118604
1.0583609855E9	54.751147946392855
1.0651236755E9	53.71753483676993
1.0718863655E9	54.8251464363243
1.0786490555E9	51.001826880316074
1.0854117455E9	54.35086033717934
1.0921744355E9	55.48832176172954
1.0989371255E9	57.678356198556415
1.104984942E9	55.43791267285929
1.108366287E9	47.16983138318355
1.1124625055E9	56.51311209481307
1.1192251955E9	56.5481753624397
1.1259878855E9	56.454497858473204
1.1327505755E9	56.08758071109535
1.1395132655E9	55.50784252758707
1.1462759555E9	55.35614203894019
1.1530386455E9	54.2718172851555
1.1598013355E9	55.98327991348262
1.1665640255E9	55.17503107714885
1.1733267155E9	53.02470305423068
1.1800894055E9	54.14348724644815
1.1868520955E9	53.547958969444046
1.1936147855E9	53.53110652830362
1.2003774755E9	54.19704780601313
1.2071401655E9	53.77669524532757
1.2139028555E9	54.50093331675057
1.2206655455E9	57.845692042040326
1.2274282355E9	56.8185843481683
1.2341909255E9	43.73727450724915
1.2409536155E9	51.74553343615302
1.2477163055E9	56.86103573136386
1.2544789955E9	58.006543984613735
1.2602528435E9	55.99564196201693
1.2636341885E9	53.038687640938214
1.2680043755E9	56.691247131796175
1.2747670655E9	54.763351586294114
1.2815297555E9	55.96912181767355
1.2882924455E9	57.09694975932126
1.2950551355E9	54.73397707448195
1.3018178255E9	55.58357690494104
1.3085805155E9	54.713290055337545
1.3153432055E9	55.41536261805611
1.3221058955E9	55.415067245718085
1.3288685855E9	54.34192692801174
1.3356312755E9	54.296707761997276
1.3423939655E9	55.40241923726089
1.3491566555E9	56.63292684973062
1.3559193455E9	55.0192696337357
1.3626820355E9	55.83304231586716
1.3694447255E9	54.089575171048736
1.3762074155E9	51.88151880229131
1.3829701055E9	49.394916271312844
1.3897327955E9	49.258334387735964
1.3964954855E9	58.308698928638975
1.4032581755E9	54.83984485393306
1.408757431E9	57.46574505332311
1.412138776E9	55.475064483402406
1.4167835555E9	57.20000729800041
1.4235462455E9	55.70069872433936
1.4303089355E9	57.117559448701286
1.4370716255E9	54.37437585644682
1.4438343155E9	50.586519032153866
1.4505970055E9	55.51439270190007
1.4573596955E9	54.73706354069461
1.4641223855E9	54.90444081379987
1.4708850755E9	55.85699261994853
1.4776477655E9	56.14144927437898
1.4844104555E9	55.32794972321032
1.4911731455E9	54.60650784172995
1.4979358355E9	48.010204427008624
1.5046985255E9	50.91035495071359
1.5114612155E9	54.60441304245961
1.5182239055E9	54.564910666376704
1.5249865955E9	55.90123289818561
1.5317492855E9	53.550188717263524
1.5385119755E9	56.50713074749335
1.5452746655E9	57.49303363723669
1.5504776755E9	56.95985125080555
1.5538590205E9	54.697060537122404
1.5588000455E9	56.111142112706816
1.5655627355E9	56.2495594555494
1.5723254255E9	56.91990083693419
1.5790881155E9	57.05936078352705
1.5858508055E9	53.459364771940365
1.5926134955E9	52.05244453630844
1.5993761855E9	55.20872535660263
1.6061388755E9	53.16993499829157
1.6129015655E9	54.51712659960693
1.6196642555E9	52.952327013510555
1.6264269455E9	53.83292673070017
