#Read position (bp)	Clipping profile
0.0	20.701631560703966
1.0	1.6221993175312108
2.0	1.4868565701008567
3.0	1.3332812688518254
4.0	1.1850342363026023
5.0	1.0259026492991445
6.0	0.9353733588080424
7.0	0.8523467809533725
8.0	0.8011347496035296
9.0	0.7520206866093954
10.0	0.7034948159864484
11.0	0.6729059933084571
12.0	0.6424465095161613
13.0	0.6136141582449989
14.0	0.5862771336550512
15.0	0.5591674212756582
16.0	0.5388453572300376
17.0	0.5188145699937555
18.0	0.4988687164671538
19.0	0.4837443487585344
20.0	0.4686178665177237
21.0	0.4564554297759366
22.0	0.44411960139447054
23.0	0.4320144332328619
24.0	0.421146442614125
25.0	0.4102706987106869
26.0	0.4007778588602978
27.0	0.39101383025638653
28.0	0.3815037217264359
29.0	0.37266057189179497
30.0	0.9144153492059165
31.0	0.8909539097004182
32.0	0.8485244115957351
33.0	0.8222205121922076
34.0	0.7801748016802285
35.0	0.8920858892667773
36.0	0.8526627273049419
37.0	0.8306724735714752
38.0	0.8097005432990906
39.0	0.7832868644326365
40.0	0.8090367564020678
41.0	0.7952725615254418
42.0	0.7615126454047048
43.0	0.7556072856277132
44.0	0.7293645314467148
45.0	0.7384598392451571
46.0	0.7208376803856752
47.0	0.7076992108266303
48.0	0.6929455910955358
49.0	0.6710459098242593
50.0	0.6641905964603683
51.0	0.6493975054617045
52.0	0.6440590165229721
53.0	0.6265700731915362
54.0	0.6102104662612203
55.0	0.9882238001840383
56.0	0.5887484931535236
57.0	0.5838743202417771
58.0	0.8591790106741761
59.0	0.5531603877424728
60.0	0.5446078098731068
61.0	0.5359956726803551
62.0	0.5168878787455348
63.0	0.5067964500740183
64.0	0.491322655920802
65.0	0.487209009753826
66.0	0.4703713423372816
67.0	0.45967128081672964
68.0	0.4450066476486816
69.0	0.4308243040312446
70.0	0.41796812451972587
71.0	0.4051829580476285
72.0	0.3868869682632154
73.0	0.3763749238966648
74.0	0.35170009533544594
75.0	0.3344314157739273
76.0	0.2890840394563954
77.0	0.26836338609273236
78.0	0.2491021123630336
79.0	0.23638126291175204
80.0	0.23025722526398656
81.0	0.2247848159531445
82.0	0.21977954204554312
83.0	0.21907223102758458
84.0	0.21619928662379886
85.0	0.21858518377954336
86.0	0.2182866823185514
87.0	0.21967751586731743
88.0	0.2215391852506587
89.0	0.22257618707942944
90.0	0.2255726554053848
91.0	0.2283159085014432
92.0	0.2313916717845688
93.0	0.23505404153973822
94.0	0.23793227227400193
95.0	0.2417770204306629
96.0	0.24490423733044114
97.0	0.24848678349539255
98.0	0.252767301494458
99.0	0.25695654218726965
100.0	0.261111950365022
101.0	0.26574030890954087
102.0	0.27004197223051835
103.0	0.27310363863236925
104.0	0.27841463865261584
105.0	0.28300299729651773
106.0	0.28756968198545974
107.0	0.29219169693340497
108.0	0.29661036436896254
109.0	0.30108911976095354
110.0	0.30560734642051374
111.0	0.3101486567231613
112.0	0.31533560418819045
113.0	0.3202806139283425
114.0	0.32542280379532446
115.0	0.33076023546796124
116.0	0.3360833940483073
117.0	0.34132214755202106
118.0	0.34666838977545444
119.0	0.3521212396635279
120.0	0.35753638039419144
121.0	0.3634623568600473
122.0	0.3694549410899261
123.0	0.37599148872599275
124.0	0.3823731468790536
125.0	0.38893841691071745
126.0	0.3966143449758125
127.0	0.40408269646413747
128.0	0.41183615737624335
129.0	0.41972301002741125
130.0	0.42798325382134295
131.0	0.43802164297706325
132.0	0.44879588933532344
133.0	0.45960255852051535
134.0	0.47086367591580075
135.0	0.48180197472989544
136.0	0.4978308335833033
137.0	0.5131035709673392
138.0	0.5290307560645532
139.0	0.5453279842952284
140.0	0.5618886479947248
141.0	0.5893694607736745
142.0	0.6168604937915484
143.0	0.6444324076657361
144.0	0.7054222120787329
145.0	0.775265562776311
146.0	0.8844652914606855
147.0	0.9856283881303484
148.0	1.0816803080718336
149.0	1.1604207291749284
150.0	1.1348461671663512
