#Position (bp)	insert size
3519247.5	33815.85592595236
1.05577415E7	10855.357107005426
1.75962355E7	29002.03691490336
2.46347295E7	25704.652956704194
3.16732235E7	7728.7988658878185
3.87117175E7	24301.107511045655
4.57502115E7	11735.954726334221
5.27887055E7	18402.004201585245
5.98271995E7	8946.079752103502
6.68656935E7	15355.021323249726
7.39041875E7	5922.942808556341
8.09426815E7	7267.251452564685
8.79811755E7	6379.015503358691
9.50196695E7	9320.314562028596
1.020581635E8	7681.3384540678935
1.090966575E8	5676.292134064483
1.161351515E8	1855.940400597108
1.231736455E8	4993.480113326796
1.302121395E8	269.42275425052435
1.372506335E8	2496.875125125125
1.442891275E8	280.5269560096045
1.513276215E8	822.9963401604874
1.583661155E8	542.6528149230251
1.654046095E8	1180.2556757509633
1.724431035E8	267.49366973726006
1.794815975E8	1417.8802270441156
1.865200915E8	446.20329919549283
1.935585855E8	487.717993764537
2.005970795E8	264.05770945278425
2.06554927E8	285.3492619464598
2.10074174E8	13851.286659046375
2.146740675E8	41613.573799247584
2.217125615E8	19122.541122138155
2.287510555E8	18660.367713955737
2.357895495E8	12442.394997540927
2.428280435E8	34634.868125514266
2.498665375E8	10701.96126122142
2.569050315E8	20034.209930411045
2.639435255E8	22437.711145453708
2.709820195E8	7638.718021487938
2.780205135E8	4238.172628648445
2.850590075E8	7736.614095188848
2.920975015E8	7255.7832230908
2.991359955E8	13489.81521390986
3.061744895E8	6443.032379216854
3.132129835E8	11937.780970538835
3.202514775E8	2836.856572978641
3.272899715E8	3910.025472566811
3.343284655E8	4420.996046577299
3.413669595E8	4579.463958267467
3.484054535E8	4298.602333506353
3.554439475E8	1900.5925357052795
3.624824415E8	653.9846914583757
3.695209355E8	1463.0296570688363
3.765594295E8	877.9283756076209
3.835979235E8	992.1480523113504
3.906364175E8	440.222155425559
3.976749115E8	557.8555831028893
4.047134055E8	263.57348710196516
4.08526901E8	265.1144130757801
4.12046148E8	15225.42957614152
4.187903935E8	16218.658332736348
4.258288875E8	37401.63905505188
4.328673815E8	7251.079750543324
4.399058755E8	31871.85965642413
4.469443695E8	18960.58320242494
4.539828635E8	10072.744916903393
4.610213575E8	18225.797456939308
4.680598515E8	4551.636778215946
4.750983455E8	11346.423932445421
4.821368395E8	7121.925732928542
4.891753335E8	12461.022971009479
4.962138275E8	8777.749195854181
5.032523215E8	6657.764544940645
5.102908155E8	3892.638346033169
5.173293095E8	4872.56701598294
5.243678035E8	3107.642304287627
5.314062975E8	1466.0928353093739
5.384447915E8	2557.766880847706
5.454832855E8	268.61736755377984
5.525217795E8	268.6458030753625
5.595602735E8	994.3249475412828
5.665987675E8	268.1917246748489
5.736372615E8	266.89832186292074
5.806757555E8	267.00620679926647
5.877142495E8	471.6651145019939
5.918006215E8	259.52717557251907
5.953198685E8	13221.139617389406
6.017912375E8	20111.63901692158
6.088297315E8	17334.062740933958
6.158682255E8	22216.399875277162
6.229067195E8	9846.935537765403
6.299452135E8	9556.770765874382
6.369837075E8	584.996720938176
6.440222015E8	4160.363318102253
6.510606955E8	9560.355344126796
6.580991895E8	6469.154031367351
6.651376835E8	4263.676056965834
6.721761775E8	2100.2484176182707
6.792146715E8	5500.474964787132
6.862531655E8	8267.057538366282
6.932916595E8	4133.561426564554
7.003301535E8	2755.8585718507743
7.073686475E8	6800.77882837063
7.144071415E8	4172.579756551755
7.214456355E8	1876.259046928463
7.284841295E8	269.53915609584215
7.355226235E8	1064.5431022522314
7.425611175E8	268.2512139023767
7.495996115E8	369.32143612894123
7.566381055E8	326.91921545781145
7.636765995E8	264.36958387484367
7.683379745E8	263.65688908792356
7.718572215E8	42290.62534360471
7.777535875E8	26426.810823551597
7.847920815E8	43081.41648885033
7.918305755E8	11372.081843238195
7.988690695E8	27042.18189997232
8.059075635E8	22387.735541499467
8.129460575E8	17849.507447026892
8.199845515E8	7708.973559874316
8.270230455E8	9365.544829325325
8.340615395E8	4405.273125304052
8.411000335E8	6938.067826593686
8.481385275E8	16398.1722549719
8.551770215E8	5354.544665097076
8.622155155E8	3101.7313055822306
8.692540095E8	4211.669508699806
8.762925035E8	6457.760465848284
8.833309975E8	5780.303290934787
8.903694915E8	1505.748242736645
8.974079855E8	2626.7778332800513
9.044464795E8	3376.4984008753104
9.114849735E8	550.9394182134438
9.185234675E8	269.0596839707919
9.255619615E8	268.0440033314825
9.326004555E8	339.6057827926657
9.396389495E8	265.4290174170227
9.442718855E8	262.7668309967647
9.477911325E8	14229.222320758578
9.537159375E8	23308.33607962663
9.607544315E8	8310.597233006281
9.677929255E8	13245.74279725166
9.748314195E8	7394.746506089066
9.818699135E8	6259.472145352266
9.889084075E8	8595.746823358262
9.959469015E8	3742.088561653336
1.0029853955E9	7722.661390994204
1.0100238895E9	8112.187718856568
1.0170623835E9	8927.091626157939
1.0241008775E9	333.1184705296063
1.0311393715E9	7139.1351597803405
