#Coverage (X)	Coverage
1.0	24.870464284332044
2.0	6.630673550827652
3.0	2.1608174694016355
4.0	0.9359421954230669
5.0	0.4984929181937474
6.0	0.29829339168060187
7.0	0.19226711134253094
8.0	0.13132700816416332
9.0	0.09438280807481192
10.0	0.07099349788812503
11.0	0.05548851019202061
12.0	0.044835626373142645
13.0	0.03726443908732335
14.0	0.031763581295052745
15.0	0.027723938247419255
16.0	0.024640181614316248
17.0	0.022250252464175446
18.0	0.020355564257783954
19.0	0.01884838797107591
20.0	0.01760181433833452
21.0	0.016589630362602747
22.0	0.01571373265963416
23.0	0.014977460012232768
24.0	0.014353711449302864
25.0	0.013815847746300847
26.0	0.01334681979950858
27.0	0.01290791193594032
28.0	0.012500544914232137
29.0	0.012124292506783263
30.0	0.01179801528458313
31.0	0.011496033035157893
32.0	0.011207441435942656
33.0	0.010933625726607943
34.0	0.01066542201391485
35.0	0.010403966904760864
36.0	0.01015256366301287
37.0	0.009900769712629653
38.0	0.009667658738393925
39.0	0.00944903950231435
40.0	0.009230100595530644
41.0	0.009021675302705034
42.0	0.008830192556686711
43.0	0.008641657884851384
44.0	0.008468822596015002
45.0	0.00829371409335522
46.0	0.008114236757862159
47.0	0.007953833107151809
48.0	0.00779662616338328
49.0	0.0076481924042326455
50.0	0.0075017832261465855
51.0	0.007369368520684816
