#Position (bp)	Coverage
3519247.5	2.2687080503300847
1.05577415E7	2.2468263807570197
1.75962355E7	2.2572656878019646
2.46347295E7	2.259317831342898
3.16732235E7	2.267999944306268
3.87117175E7	2.2157560978243356
4.57502115E7	2.222833606166319
5.27887055E7	2.2294729525946884
5.98271995E7	2.252302410146261
6.68656935E7	2.2261908584421612
7.39041875E7	2.2918668396961053
8.09426815E7	2.215747004970097
8.79811755E7	2.2177640557767044
9.50196695E7	2.1385894482541294
1.020581635E8	2.261159560553721
1.090966575E8	2.2038687537419226
1.161351515E8	2.2389546684276493
1.231736455E8	2.783320267091227
1.302121395E8	2.24862435060682
1.372506335E8	2.262470068170833
1.442891275E8	2.230516499694395
1.513276215E8	2.2483596633029737
1.583661155E8	2.2350755715640305
1.654046095E8	2.2153047228569065
1.724431035E8	2.285980495259355
1.794815975E8	2.16058278944331
1.865200915E8	2.113483651474307
1.935585855E8	2.1164386870259464
2.005970795E8	2.1552870543045146
2.06554927E8	2.2395861888816966
2.10074174E8	2.182326042790126
2.146740675E8	2.2422339210632276
2.217125615E8	2.1457222241007807
2.287510555E8	2.157595218522599
2.357895495E8	2.1388694797495034
2.428280435E8	2.265603693062749
2.498665375E8	2.2690277209869043
2.569050315E8	2.2368624594977278
2.639435255E8	2.183749819208484
2.709820195E8	2.2539628505757054
2.780205135E8	2.2751197912507988
2.850590075E8	2.299121942847433
2.920975015E8	2.1995293311324837
2.991359955E8	2.4602632324471685
3.061744895E8	2.2234210897956297
3.132129835E8	2.2390279795649466
3.202514775E8	2.2101757847630474
3.272899715E8	5.119534093514891
3.343284655E8	3.078925264410256
3.413669595E8	2.2567377339527463
3.484054535E8	2.2282211223025836
3.554439475E8	2.1823280662027984
3.624824415E8	2.22295678592608
3.695209355E8	2.227571977755469
3.765594295E8	2.2090764018552833
3.835979235E8	2.1893612468803694
3.906364175E8	2.252186902482264
3.976749115E8	2.203892764560146
4.047134055E8	2.189068428558723
4.08526901E8	2.5939248628285276
4.12046148E8	2.214922580584146
4.187903935E8	2.1821842854451536
4.258288875E8	2.1217942360965285
4.328673815E8	2.164182565190792
4.399058755E8	2.147254796267497
4.469443695E8	2.2551300036627153
4.539828635E8	2.2300213653659435
4.610213575E8	2.806700268551767
4.680598515E8	2.25672963562944
4.750983455E8	2.145487656876599
4.821368395E8	2.193439818233844
4.891753335E8	2.2183538126195748
4.962138275E8	2.2357196013806364
5.032523215E8	2.2568185751099596
5.102908155E8	2.2812675552469037
5.173293095E8	2.2617010116084493
5.243678035E8	2.2626216631000893
5.314062975E8	2.1971545333419336
5.384447915E8	2.2617128039037895
5.454832855E8	2.2579644168198483
5.525217795E8	2.251191234943157
5.595602735E8	2.2376353521079935
5.665987675E8	2.252907653256506
5.736372615E8	2.2311497317465925
5.806757555E8	2.2239964969779047
5.877142495E8	2.2321448309823095
5.918006215E8	2.1274498567335245
5.953198685E8	2.1825224364033735
6.017912375E8	3.4900386361059623
6.088297315E8	2.2296042306777557
6.158682255E8	2.1975397009644393
6.229067195E8	2.204306205276299
6.299452135E8	2.2554925812254725
6.369837075E8	2.2456461566920423
6.440222015E8	2.212543052533681
6.510606955E8	2.221113067653393
6.580991895E8	2.2330014062667383
6.651376835E8	2.211657635852215
6.721761775E8	2.281830459754601
6.792146715E8	2.2132638033079237
6.862531655E8	2.3245248202243265
6.932916595E8	2.209783229196473
7.003301535E8	2.1827031464401334
7.073686475E8	2.166155288332987
7.144071415E8	2.2111309606856238
7.214456355E8	2.259035952861507
7.284841295E8	2.322727418677916
7.355226235E8	2.2469799647481405
7.425611175E8	2.2194965286608186
7.495996115E8	2.2085348087247074
7.566381055E8	2.1803203924021246
7.636765995E8	2.151919430491807
7.683379745E8	2.227555492904473
