Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
SCCA1034_unpaired_flagstats	9873109	0	0	0	31861	0	0	0	8050257	0	81.54	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	9873109
SCCA1040_paired_flagstats	181727646	0	0	0	1474004	0	0	0	172414961	0	94.88	nan	180253642	0	90126821	0	90126821	0	157309628	0	87.27	nan	165372560	0	5568397	0	3.09	nan	6777558	0	4632617	0	181727646
SCCA1040_unpaired_flagstats	9110510	0	0	0	35334	0	0	0	7312196	0	80.26	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	9110510
SQT017_paired_flagstats	73980513	0	0	0	460203	0	0	0	68275468	0	92.29	nan	73520310	0	36760155	0	36760155	0	63089516	0	85.81	nan	64831466	0	2983799	0	4.06	nan	1455690	0	944393	0	73980513
SQT017_unpaired_flagstats	7353708	0	0	0	21035	0	0	0	5846432	0	79.5	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	7353708
SQT019_paired_flagstats	78561536	0	0	0	688284	0	0	0	73432382	0	93.47	nan	77873252	0	38936626	0	38936626	0	67446540	0	86.61	nan	69956582	0	2787516	0	3.58	nan	2159214	0	1496915	0	78561536
SQT019_unpaired_flagstats	10077444	0	0	0	33359	0	0	0	8577437	0	85.12	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	10077444
SQT031_paired_flagstats	76672426	0	0	0	464246	0	0	0	71453789	0	93.19	nan	76208180	0	38104090	0	38104090	0	66517844	0	87.28	nan	68254522	0	2735021	0	3.59	nan	1427484	0	908538	0	76672426
SQT031_unpaired_flagstats	17375801	0	0	0	41791	0	0	0	15174083	0	87.33	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	17375801
SQT034_paired_flagstats	74317821	0	0	0	319135	0	0	0	69060253	0	92.93	nan	73998686	0	36999343	0	36999343	0	64696046	0	87.43	nan	65957538	0	2783580	0	3.76	nan	987496	0	545102	0	74317821
SQT034_unpaired_flagstats	8268631	0	0	0	18796	0	0	0	6812799	0	82.39	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	8268631
SQT047_paired_flagstats	75587862	0	0	0	549622	0	0	0	69886673	0	92.46	nan	75038240	0	37519120	0	37519120	0	64090628	0	85.41	nan	66366990	0	2970061	0	3.96	nan	1941822	0	1314950	0	75587862
SQT047_unpaired_flagstats	6363296	0	0	0	18601	0	0	0	4923850	0	77.38	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	6363296
SQT056_paired_flagstats	74513892	0	0	0	652062	0	0	0	69240363	0	92.92	nan	73861830	0	36930915	0	36930915	0	63341116	0	85.76	nan	65798306	0	2789995	0	3.78	nan	2123244	0	1464186	0	74513892
