#Duplication rate	Coverage
1.0	1.2238121E7
2.0	1139454.0
3.0	123222.0
4.0	22008.0
5.0	8639.0
6.0	5153.0
7.0	3310.0
8.0	2288.0
9.0	1561.0
10.0	1110.0
11.0	837.0
12.0	589.0
13.0	464.0
14.0	354.0
15.0	250.0
16.0	186.0
17.0	139.0
18.0	95.0
19.0	76.0
20.0	71.0
21.0	57.0
22.0	44.0
23.0	41.0
24.0	29.0
25.0	24.0
26.0	18.0
27.0	16.0
28.0	18.0
29.0	21.0
30.0	12.0
31.0	12.0
32.0	13.0
33.0	12.0
34.0	15.0
35.0	12.0
36.0	20.0
37.0	3.0
38.0	8.0
39.0	6.0
40.0	8.0
41.0	6.0
42.0	8.0
43.0	3.0
44.0	4.0
45.0	5.0
46.0	4.0
47.0	7.0
48.0	4.0
49.0	2.0
50.0	65.0
