#Duplication rate	Coverage
1.0	1.46265677E8
2.0	1.7780563E7
3.0	3245587.0
4.0	1037482.0
5.0	424755.0
6.0	224586.0
7.0	129109.0
8.0	85314.0
9.0	58304.0
10.0	42531.0
11.0	31914.0
12.0	24968.0
13.0	19766.0
14.0	16325.0
15.0	13032.0
16.0	11236.0
17.0	9490.0
18.0	8116.0
19.0	7150.0
20.0	6309.0
21.0	5646.0
22.0	4967.0
23.0	4386.0
24.0	4004.0
25.0	3618.0
26.0	3264.0
27.0	2924.0
28.0	2690.0
29.0	2460.0
30.0	2309.0
31.0	2179.0
32.0	2055.0
33.0	1833.0
34.0	1610.0
35.0	1610.0
36.0	1518.0
37.0	1415.0
38.0	1279.0
39.0	1228.0
40.0	1141.0
41.0	1135.0
42.0	1088.0
43.0	920.0
44.0	943.0
45.0	880.0
46.0	757.0
47.0	788.0
48.0	696.0
49.0	664.0
50.0	25482.0
