#Duplication rate	Coverage
1.0	6.044196E7
2.0	2442208.0
3.0	273627.0
4.0	76672.0
5.0	34653.0
6.0	20728.0
7.0	14258.0
8.0	10911.0
9.0	8906.0
10.0	7464.0
11.0	6322.0
12.0	5442.0
13.0	4898.0
14.0	4320.0
15.0	3698.0
16.0	3447.0
17.0	3088.0
18.0	2727.0
19.0	2477.0
20.0	2144.0
21.0	1949.0
22.0	1767.0
23.0	1544.0
24.0	1386.0
25.0	1239.0
26.0	1089.0
27.0	936.0
28.0	793.0
29.0	698.0
30.0	631.0
31.0	528.0
32.0	484.0
33.0	395.0
34.0	355.0
35.0	351.0
36.0	292.0
37.0	235.0
38.0	210.0
39.0	203.0
40.0	159.0
41.0	171.0
42.0	149.0
43.0	138.0
44.0	126.0
45.0	104.0
46.0	95.0
47.0	83.0
48.0	76.0
49.0	75.0
50.0	1050.0
