Sample	bam_file	total_reads	mapped_reads	mapped_bases	sequenced_bases	mean_insert_size	median_insert_size	mean_mapping_quality	general_error_rate	mean_coverage	percentage_aligned
scca0539_merged_dedup_rg_realigned	scca0539_merged_dedup_rg_realigned.bam	194227058.0	177877848.0	22968635773.0	22937416017.0	64645.8667	246.0	51.016	0.014	8.4909	91.58242411312229
scca0540_merged_dedup_rg_realigned	scca0540_merged_dedup_rg_realigned.bam	202069256.0	185315556.0	23903601926.0	23870090279.0	55540.387	243.0	50.9234	0.0145	8.8366	91.70893171398622
scca0548_merged_dedup_rg_realigned	scca0548_merged_dedup_rg_realigned.bam	229359031.0	212791977.0	27442781004.0	27406208265.0	65666.3043	227.0	50.881	0.0136	10.1449	92.77680328183807
scca0549_merged_dedup_rg_realigned	scca0549_merged_dedup_rg_realigned.bam	200139190.0	185626163.0	23903470818.0	23871569974.0	190102.068	216.0	50.2732	0.0138	8.8365	92.74853315834845
scca0550_merged_dedup_rg_realigned	scca0550_merged_dedup_rg_realigned.bam	209010157.0	194009271.0	25047397559.0	25014293699.0	219870.839	215.0	50.2255	0.0136	9.2594	92.82289137747502
scca0551_merged_dedup_rg_realigned	scca0551_merged_dedup_rg_realigned.bam	232376936.0	216161233.0	27582824396.0	27544974316.0	207886.7823	203.0	49.8176	0.0143	10.1967	93.02181047778339
scca0554_merged_dedup_rg_realigned	scca0554_merged_dedup_rg_realigned.bam	194489732.0	180275306.0	23311712663.0	23280960735.0	196406.8034	224.0	50.4355	0.0136	8.6178	92.69142599260715
scca0561_merged_dedup_rg_realigned	scca0561_merged_dedup_rg_realigned.bam	206090088.0	193474982.0	25154302666.0	25121481485.0	407022.5644	212.0	50.1984	0.0126	9.2989	93.87883904440858
scca0583_merged_dedup_rg_realigned	scca0583_merged_dedup_rg_realigned.bam	259572723.0	243329299.0	32028020110.0	31982901800.0	170351.0417	228.0	50.2824	0.0143	11.84	93.74224540534638
scca0586_merged_dedup_rg_realigned	scca0586_merged_dedup_rg_realigned.bam	241216786.0	225328156.0	29352597233.0	29312382838.0	462914.1297	222.0	49.3836	0.0136	10.8509	93.41313253381959
scca0587_merged_dedup_rg_realigned	scca0587_merged_dedup_rg_realigned.bam	250352008.0	234269001.0	30983535389.0	30941112035.0	305795.0271	242.0	50.135	0.0137	11.4539	93.57584261916526
scca1001_merged_dedup_rg_realigned	scca1001_merged_dedup_rg_realigned.bam	229658021.0	209938445.0	27069782592.0	27033658317.0	43584.507	248.0	51.079	0.0138	10.007	91.41350434261558
scca1025_merged_dedup_rg_realigned	scca1025_merged_dedup_rg_realigned.bam	210209892.0	192749175.0	24842086986.0	24808897570.0	54891.5474	230.0	50.9405	0.0137	9.1835	91.69367491040812
scca1029_merged_dedup_rg_realigned	scca1029_merged_dedup_rg_realigned.bam	210635853.0	192872277.0	24852404819.0	24818033016.0	189145.2908	221.0	49.9836	0.0145	9.1873	91.56668926633303
scca1039_merged_dedup_rg_realigned	scca1039_merged_dedup_rg_realigned.bam	202688916.0	186470724.0	24231712132.0	24198206382.0	48397.1395	246.0	51.29	0.0141	8.9579	91.99848106149031
scca1046_merged_dedup_rg_realigned	scca1046_merged_dedup_rg_realigned.bam	238511865.0	219484723.0	28065630154.0	28028624887.0	152967.2489	208.0	50.4214	0.0135	10.3752	92.02255954855747
