#Position (bp)	Coverage
3519247.5	2.2177911922635722
1.05577415E7	2.196344843087172
1.75962355E7	2.212008847347174
2.46347295E7	2.2269576417909853
3.16732235E7	2.21278003504727
3.87117175E7	2.2195374465048916
4.57502115E7	2.2232859756646803
5.27887055E7	2.222166986289965
5.98271995E7	2.248532285457656
6.68656935E7	2.224530133861022
7.39041875E7	2.288618843746972
8.09426815E7	2.23434459132877
8.79811755E7	2.3163271859008474
9.50196695E7	2.20072987204365
1.020581635E8	2.289375397634778
1.090966575E8	2.1959528558239874
1.161351515E8	2.252134618570393
1.231736455E8	2.9313523603202616
1.302121395E8	2.272465530268265
1.372506335E8	2.234567224181764
1.442891275E8	2.2434232379824435
1.513276215E8	2.207192334041913
1.583661155E8	2.23296304578792
1.654046095E8	2.1790275021900993
1.724431035E8	2.2779193958253003
1.794815975E8	2.1565421523411117
1.865200915E8	2.124051963388759
1.935585855E8	2.098242464936391
2.005970795E8	2.1346134556625325
2.06554927E8	2.129569808584883
2.10074174E8	2.1200531348595493
2.146740675E8	2.19369214493896
2.217125615E8	2.113210723771307
2.287510555E8	2.1500488598839467
2.357895495E8	2.16389287253779
2.428280435E8	2.263103442298878
2.498665375E8	2.267946239635922
2.569050315E8	2.2265272940489824
2.639435255E8	2.182255607520586
2.709820195E8	2.23245825030184
2.780205135E8	2.2584845564974554
2.850590075E8	2.330107832726717
2.920975015E8	2.2014016066505135
2.991359955E8	2.984184116659047
3.061744895E8	2.2237609352227907
3.132129835E8	2.2187230677471628
3.202514775E8	2.2295523729934272
3.272899715E8	5.060944713457168
3.343284655E8	3.114741733103701
3.413669595E8	2.2196133150074435
3.484054535E8	2.22215263662937
3.554439475E8	2.202354367283683
3.624824415E8	2.2171987359796
3.695209355E8	2.214682430644965
3.765594295E8	2.19625434077233
3.835979235E8	2.1771809424004624
3.906364175E8	2.2184430362517893
3.976749115E8	2.1768928125817824
4.047134055E8	2.129413621720783
4.08526901E8	2.4811086547594976
4.12046148E8	2.1516704581412984
4.187903935E8	2.1207289513921586
4.258288875E8	2.160746034592059
4.328673815E8	2.144634917640052
4.399058755E8	2.176956320485604
4.469443695E8	2.2803321278671262
4.539828635E8	2.2582467215287814
4.610213575E8	2.8027907674567882
4.680598515E8	2.325103921378636
4.750983455E8	2.182382339176534
4.821368395E8	2.215388547606917
4.891753335E8	2.197730650903446
4.962138275E8	2.246489518922656
5.032523215E8	2.198767804590016
5.102908155E8	2.235942092157783
5.173293095E8	2.1970911675139595
5.243678035E8	2.2094055915938835
5.314062975E8	2.177296876292002
5.384447915E8	2.253915255166801
5.454832855E8	2.211950596249709
5.525217795E8	2.2152900890446166
5.595602735E8	2.223052687123126
5.665987675E8	2.2292690737535614
5.736372615E8	2.2124056651891726
5.806757555E8	2.1988719461862156
5.877142495E8	2.181554605289143
5.918006215E8	2.120644478730439
5.953198685E8	2.209965407933683
6.017912375E8	3.741991965894977
6.088297315E8	2.182037379018864
6.158682255E8	2.1845769847924856
6.229067195E8	2.1541234531136917
6.299452135E8	2.205731652254019
6.369837075E8	2.229157117985751
6.440222015E8	2.2078775658542864
6.510606955E8	2.2049857540547735
6.580991895E8	2.3116582894011133
6.651376835E8	2.318632366526135
6.721761775E8	2.307898252097679
6.792146715E8	2.1962404173392773
6.862531655E8	2.307752908505712
6.932916595E8	2.2283609249364993
7.003301535E8	2.225467408226817
7.073686475E8	2.1905568151368744
7.144071415E8	2.22118694709408
7.214456355E8	2.221507043978442
7.284841295E8	2.2788799706300806
7.355226235E8	2.204189987233064
7.425611175E8	2.1824242515515393
7.495996115E8	2.198982765347246
7.566381055E8	2.1299270838335587
7.636765995E8	2.1147951536223517
7.683379745E8	2.066345453399269
7.718572215E8	2.3280428956228105
7.777535875E8	2.1835895576525317
7.847920815E8	2.1623259180159846
7.918305755E8	2.1954830109963863
7.988690695E8	2.1984320793624317
8.059075635E8	2.2379484872758293
8.129460575E8	2.227051411850319
8.199845515E8	2.1797677173554457
8.270230455E8	2.1856559087782133
8.340615395E8	2.16923392987193
8.411000335E8	2.453725896477286
8.481385275E8	3.9756345604613714
8.551770215E8	2.818581077145196
8.622155155E8	2.4710536089112245
8.692540095E8	6.907431618184231
8.762925035E8	5.240896561110942
8.833309975E8	2.4910624346628696
8.903694915E8	2.1418104497922426
8.974079855E8	2.5474185244741276
9.044464795E8	2.3826648143764846
9.114849735E8	2.246823965467613
9.185234675E8	2.1704344707830967
9.255619615E8	2.165149959636252
9.326004555E8	2.16465653021797
9.396389495E8	2.1756024797350113
9.442718855E8	2.1135007169865196
9.477911325E8	2.1873174539961204
9.537159375E8	2.162298213225727
9.607544315E8	2.166996661501736
