#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	1.1265384290421607E-6
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	1.1265384290421607E-6
10.0	0.0
11.0	0.0
12.0	2.2530768580843215E-6
13.0	3.3796152871264822E-6
14.0	0.0
15.0	6.7592305742529644E-6
16.0	2.2530768580843215E-6
17.0	5.632692145210804E-6
18.0	7.885769003295124E-6
19.0	1.4644999577548089E-5
20.0	3.4922691300306986E-5
21.0	4.6188075590728595E-5
22.0	9.462922803954149E-5
23.0	1.9263807136620946E-4
24.0	3.897822964485876E-4
25.0	9.417861266792463E-4
26.0	0.0014791449573323572
27.0	0.0027566395358661674
28.0	0.0049218463964852
29.0	0.008115582842819727
30.0	0.013108401160334581
31.0	0.019747092122680034
32.0	0.02787619342664827
33.0	0.037468668149942264
34.0	0.046789647111837106
35.0	0.05480834764975921
36.0	0.058986678683076575
37.0	0.060748584786098514
38.0	0.05969301827808601
39.0	0.05675275297828598
40.0	0.05394992536682907
41.0	0.050768580843214006
42.0	0.04783282169713014
43.0	0.04419522910975301
44.0	0.03963838116427747
45.0	0.0358903878108542
46.0	0.03218520291773453
47.0	0.02846199340975019
48.0	0.024897625820260793
49.0	0.0226186385783085
50.0	0.020533415946151462
51.0	0.02043202748753767
52.0	0.014614583039963951
53.0	0.014727236882868169
54.0	0.013296533077984622
55.0	0.012208296955529895
56.0	0.010832793533669416
57.0	0.009476441265102655
58.0	0.008504238600839271
59.0	0.007436280170107302
60.0	0.006417889430253189
61.0	0.005543695609316473
62.0	0.004645844481369871
63.0	0.003889937195482581
64.0	0.0031881037541893146
65.0	0.0024434618525924464
66.0	0.0018396372546258485
67.0	0.0013101641929760327
68.0	8.403976680654518E-4
69.0	5.95938828963303E-4
70.0	4.0668037288422E-4
71.0	2.6248345396682343E-4
72.0	1.7573999493057706E-4
73.0	1.5996845692398682E-4
74.0	1.0138845861379445E-4
75.0	7.885769003295124E-5
76.0	7.547807474582475E-5
77.0	5.0694229306897234E-5
78.0	5.294730616498155E-5
79.0	4.393499873264427E-5
80.0	5.520038302306588E-5
81.0	4.055538344551779E-5
82.0	3.1543076013180504E-5
83.0	2.816346072605402E-5
84.0	2.7036922297011858E-5
85.0	1.9151153293716733E-5
86.0	1.8024614864674572E-5
87.0	1.2391922719463769E-5
88.0	3.3796152871264822E-6
89.0	1.1265384290421607E-5
90.0	5.632692145210804E-6
91.0	5.632692145210804E-6
92.0	1.1265384290421607E-6
93.0	1.1265384290421607E-6
94.0	1.1265384290421607E-6
95.0	0.0
96.0	1.1265384290421607E-6
97.0	0.0
98.0	1.1265384290421607E-6
99.0	1.1265384290421607E-6
100.0	1.1378038133325824E-4
