#Duplication rate	Coverage
1.0	4.6012939E7
2.0	7101964.0
3.0	1045901.0
4.0	275892.0
5.0	63127.0
6.0	37314.0
7.0	17753.0
8.0	13620.0
9.0	9544.0
10.0	7724.0
11.0	6404.0
12.0	5478.0
13.0	4698.0
14.0	4214.0
15.0	3701.0
16.0	3407.0
17.0	3239.0
18.0	2833.0
19.0	2685.0
20.0	2537.0
21.0	2311.0
22.0	2247.0
23.0	2092.0
24.0	1928.0
25.0	1766.0
26.0	1624.0
27.0	1454.0
28.0	1346.0
29.0	1267.0
30.0	1194.0
31.0	1128.0
32.0	1005.0
33.0	883.0
34.0	786.0
35.0	734.0
36.0	633.0
37.0	650.0
38.0	579.0
39.0	490.0
40.0	470.0
41.0	407.0
42.0	383.0
43.0	373.0
44.0	341.0
45.0	305.0
46.0	284.0
47.0	234.0
48.0	234.0
49.0	186.0
50.0	3492.0
