#Position (bp)	Coverage
3519247.5	2.3034815402272133
1.05577415E7	2.2940873431162974
1.75962355E7	2.32253249061518
2.46347295E7	2.342385885389687
3.16732235E7	2.3255156571846194
3.87117175E7	2.3263396970999763
4.57502115E7	2.3391305014964847
5.27887055E7	2.3351830661502304
5.98271995E7	2.369864490898195
6.68656935E7	2.3429237845482285
7.39041875E7	2.393855560578726
8.09426815E7	2.3438388950818174
8.79811755E7	2.410076360084984
9.50196695E7	2.2873522375667297
1.020581635E8	2.395255007676358
1.090966575E8	2.292524508794069
1.161351515E8	2.3711089332462314
1.231736455E8	3.066900675059182
1.302121395E8	2.3734673923143217
1.372506335E8	2.356877195604628
1.442891275E8	2.3616574795687826
1.513276215E8	2.317054756315769
1.583661155E8	2.341359103239983
1.654046095E8	2.279716939447558
1.724431035E8	2.384803908336073
1.794815975E8	2.250621510794781
1.865200915E8	2.216181188759982
1.935585855E8	2.188376519181518
2.005970795E8	2.2258477452705083
2.06554927E8	2.211449558876085
2.10074174E8	2.183689578414403
2.146740675E8	2.280556039402747
2.217125615E8	2.212664527383273
2.287510555E8	2.249836683813327
2.357895495E8	2.256077791641223
2.428280435E8	2.373616571954171
2.498665375E8	2.3725150579086947
2.569050315E8	2.329516370973677
2.639435255E8	2.2810193487413644
2.709820195E8	2.344063232844981
2.780205135E8	2.353792586880091
2.850590075E8	2.433612644977747
2.920975015E8	2.304784091596867
2.991359955E8	3.0932813184184003
3.061744895E8	2.329678905743189
3.132129835E8	2.3273008402081468
3.202514775E8	2.3323181066858907
3.272899715E8	5.318838234429126
3.343284655E8	3.257875051111786
3.413669595E8	2.3295165130495246
3.484054535E8	2.335793566066832
3.554439475E8	2.3199788193326585
3.624824415E8	2.323941456794593
3.695209355E8	2.3205263796488285
3.765594295E8	2.2980568002189106
3.835979235E8	2.281970972767754
3.906364175E8	2.339705056223675
3.976749115E8	2.2825306095309594
4.047134055E8	2.2168490873189635
4.08526901E8	2.5431412564550033
4.12046148E8	2.231665224030337
4.187903935E8	2.2194098623938587
4.258288875E8	2.2547321912897846
4.328673815E8	2.2304282705931127
4.399058755E8	2.28668703844885
4.469443695E8	2.3803800926732337
4.539828635E8	2.3613848360174776
4.610213575E8	2.9237312697858377
4.680598515E8	2.417207573097313
4.750983455E8	2.2701819451717937
4.821368395E8	2.3237551953585527
4.891753335E8	2.308608489259208
4.962138275E8	2.3537063468406734
5.032523215E8	2.319549466121588
5.102908155E8	2.3436173988356033
5.173293095E8	2.3092826391554784
5.243678035E8	2.316612190050883
5.314062975E8	2.2857177970173734
5.384447915E8	2.3650741195488694
5.454832855E8	2.322652402630449
5.525217795E8	2.3283405512599713
5.595602735E8	2.3261782989372444
5.665987675E8	2.3507737592729354
5.736372615E8	2.3103278911653544
5.806757555E8	2.305589661652052
5.877142495E8	2.2608943049464845
5.918006215E8	2.2070751597972227
5.953198685E8	2.286525929483944
6.017912375E8	3.9440340504659095
6.088297315E8	2.2890091260999865
6.158682255E8	2.303045083223769
6.229067195E8	2.2779176909151304
6.299452135E8	2.3144203859518813
6.369837075E8	2.3383421226188443
6.440222015E8	2.3152761087812253
6.510606955E8	2.310615878908187
6.580991895E8	2.40553859959247
6.651376835E8	2.4171544367303572
6.721761775E8	2.4105490464295345
6.792146715E8	2.3162354049033786
6.862531655E8	2.4142918925554246
6.932916595E8	2.3472079396529995
7.003301535E8	2.32810257421545
7.073686475E8	2.2877025966066036
7.144071415E8	2.333991902244997
7.214456355E8	2.338118495234918
7.284841295E8	2.3937579544715106
7.355226235E8	2.326032387041887
7.425611175E8	2.2998969665954108
7.495996115E8	2.304657359940919
7.566381055E8	2.2241996654397944
7.636765995E8	2.19998312138932
7.683379745E8	2.1464577525461244
7.718572215E8	2.4261212837893265
7.777535875E8	2.284127826208277
7.847920815E8	2.2769279905616173
7.918305755E8	2.308071726707446
7.988690695E8	2.3050293145096097
8.059075635E8	2.3471180056415477
8.129460575E8	2.322543856682978
8.199845515E8	2.3008707544540066
8.270230455E8	2.3051084507566535
8.340615395E8	2.2827450019847997
8.411000335E8	2.583693329851528
8.481385275E8	4.201866905050995
8.551770215E8	2.939845654482337
8.622155155E8	2.581970802276737
8.692540095E8	7.396143976254011
8.762925035E8	5.510741644448372
8.833309975E8	2.618239214241001
8.903694915E8	2.2424832641755468
8.974079855E8	2.67017148838942
9.044464795E8	2.5001854089809554
9.114849735E8	2.3508901193920178
9.185234675E8	2.2735230008010237
9.255619615E8	2.2760164319242158
9.326004555E8	2.2668593594027358
9.396389495E8	2.275060971849944
9.442718855E8	2.1959896344491145
9.477911325E8	2.2657861502404018
9.537159375E8	2.266423044475139
9.607544315E8	2.274826120474067
9.677929255E8	2.273236433816666
9.748314195E8	2.3674382616508587
9.818699135E8	2.368434639569203
9.889084075E8	2.32222859037743
9.959469015E8	2.3121353800969353
1.0029853955E9	2.372530970403612
1.0100238895E9	2.3141474582488812
1.0170623835E9	2.3266482858406925
1.0241008775E9	2.3398124655643664
1.0311393715E9	2.536143243142638
1.0381778655E9	2.320834400086155
1.0452163595E9	2.29356777174208
1.0522548535E9	2.319372581691481
1.0592933475E9	2.333859061327608
1.0663318415E9	2.3331295018508222
1.0733703355E9	2.3092347595948794
1.0804088295E9	2.366040377387549
1.0874473235E9	2.463088268598368
1.0944858175E9	2.3116490544710273
1.1015243115E9	2.229155555151429
1.106347486E9	2.616893960745517
1.109866733E9	2.3050293648387963
1.1156012995E9	2.2699118589857434
1.1226397935E9	2.291239006526112
1.1296782875E9	2.3072995444764177
1.1367167815E9	2.3179717138353744
1.1437552755E9	2.3323097242108894
1.1507937695E9	2.3152981305375837
1.1578322635E9	2.346323091274923
1.1648707575E9	2.300733082957803
1.1719092515E9	2.330539459151347
1.1789477455E9	2.3153758460261527
1.1859862395E9	2.344638924178951
1.1930247335E9	2.3280967491057036
1.2000632275E9	2.2889493121681994
1.2071017215E9	2.3272003925839817
1.2141402155E9	2.301914869857103
1.2211787095E9	2.2686539194321966
1.2282172035E9	2.2682153312910405
1.2352556975E9	4.29872540915713
1.2422941915E9	2.317246700785708
1.2493326855E9	2.2570788580625343
1.2563711795E9	2.256258796270907
1.2612678865E9	2.6289797888867916
1.2647871335E9	2.18588589808417
1.2704481675E9	2.2737821471468185
1.2774866615E9	2.3368302935258596
1.2845251555E9	2.2374030580973714
1.2915636495E9	2.3041265645747515
1.2986021435E9	2.3011909934142163
1.3056406375E9	2.3482340114234663
1.3126791315E9	2.30463761139812
1.3197176255E9	2.305886742249123
1.3267561195E9	2.29228582137031
1.3337946135E9	2.6465650180280043
1.3408331075E9	2.3022155023503608
1.3478716015E9	2.2711905416130214
1.3549100955E9	2.3221348203180963
1.3619485895E9	2.2929764520648876
1.3689870835E9	2.356559798161368
1.3760255775E9	2.5334054415617886
1.3830640715E9	4.552794816618442
1.3901025655E9	2.7368394432104366
