#Duplication rate	Coverage
1.0	1.44957698E8
2.0	9577316.0
3.0	1412539.0
4.0	392990.0
5.0	155350.0
6.0	79003.0
7.0	47453.0
8.0	32830.0
9.0	24381.0
10.0	19083.0
11.0	15477.0
12.0	12903.0
13.0	10935.0
14.0	9346.0
15.0	8128.0
16.0	7334.0
17.0	6480.0
18.0	5788.0
19.0	5243.0
20.0	4747.0
21.0	4254.0
22.0	4105.0
23.0	3779.0
24.0	3235.0
25.0	3105.0
26.0	3015.0
27.0	2771.0
28.0	2771.0
29.0	2501.0
30.0	2512.0
31.0	2288.0
32.0	2207.0
33.0	2147.0
34.0	2050.0
35.0	1977.0
36.0	1895.0
37.0	1855.0
38.0	1699.0
39.0	1621.0
40.0	1584.0
41.0	1499.0
42.0	1506.0
43.0	1372.0
44.0	1328.0
45.0	1322.0
46.0	1218.0
47.0	1161.0
48.0	1155.0
49.0	1142.0
50.0	24271.0
