unpaired,,,paired,,,,,,,,,,,,,,
size,sample,,size,sample,,,,sample,unpaired_percent,,avg_unpaired_percent,,,,,sample,unpaired_percent
39288,SCCA1034,,5548684,SCCA1034,,,,,,,,,,,,,
209820,scca1039,,1740092,scca1039,,,,,,,,,,,,,
13888,scca1039,,1676984,scca1039,,,,,,,,,,,,,
366044,SCCA1040,,5361076,SCCA1040,,,,,,,,,,,,,
40528,SCCA1040,,5294032,SCCA1040,,,,,,,,,,,,,
514080,scca1046,,1924840,scca1046,,,,,,,,,,,,,
16596,scca1046,,1892316,scca1046,,,,,,,,,,,,,
300400,SQT017,,2164832,SQT017,,,,,,,,,,,,,
19100,SQT017,,2073516,SQT017,,,,,,,,,,,,,
428980,SQT019,,2312364,SQT019,,,,,,,,,,,,,
16704,SQT019,,2244744,SQT019,,,,,,,,,,,,,
732400,SQT031,,2235512,SQT031,,,,,,,,,,,,,
19064,SQT031,,2179248,SQT031,,,,,,,,,,,,,
346628,SQT034,,2184076,SQT034,,,,,,,,,,,,,
16420,SQT034,,2104144,SQT034,,,,,,,,,,,,,
254164,SQT047,,2202444,SQT047,,,,,,,,,,,,,
17728,SQT047,,2117756,SQT047,,,,,,,,,,,,,
359604,SQT056,,2177432,SQT056,,,,,,,,,,,,,
16728,SQT056,,2106316,SQT056,,,,,,,,,,,,,
246312,SQT096,,2313972,SQT096,,,,,,,,,,,,,
18872,SQT096,,2219840,SQT096,,,,,,,,,,,,,
395436,SQT118,,2458432,SQT118,,,,,,,,,,,,,
19832,SQT118,,2387748,SQT118,,,,,,,,,,,,,
242588,SQT121,,1749636,SQT121,,,,,,,,,,,,,
14328,SQT121,,1688044,SQT121,,,,,,,,,,,,,
