#Read position (bp)	Clipping profile
0.0	19.12706115136265
1.0	2.4058931548070692
2.0	2.190993458193492
3.0	1.955648410544531
4.0	1.7330081840222757
5.0	1.4879463009560379
6.0	1.389248662758758
7.0	1.2789049385286642
8.0	1.1759958874023464
9.0	1.0795098291789744
10.0	0.9815415418241534
11.0	0.9229111450690589
12.0	0.8621632781261801
13.0	0.8037446283898639
14.0	0.7494432817964617
15.0	0.6916363456699499
16.0	0.6505338965804033
17.0	0.6099490513145372
18.0	0.5690348217972381
19.0	0.5315320720269248
20.0	0.49673497860766924
21.0	0.4669962861925651
22.0	0.4378222524942034
23.0	0.4111891830211829
24.0	0.38723824245268923
25.0	0.3649106956948302
26.0	0.3456887718790548
27.0	0.3266785950820578
28.0	0.309127119969979
29.0	0.29364606015262257
30.0	1.166890765594874
31.0	1.113130550271683
32.0	0.9954697901704681
33.0	0.9680603149619268
34.0	0.7751823083013065
35.0	0.9493559949698318
36.0	0.8690097650666827
37.0	0.9250521427033741
38.0	0.8233194639036033
39.0	0.7698651053853148
40.0	0.8065679219735764
41.0	0.6899658969662534
42.0	0.6885071952813353
43.0	0.7380559976754882
44.0	0.6701087320941428
45.0	0.6679206795667656
46.0	0.6052670894548808
47.0	0.5850099579917443
48.0	0.5891272611346582
49.0	0.5906094902661072
50.0	0.5737873659964874
51.0	0.5715287311295174
52.0	0.5564711653497179
53.0	0.5423782248776866
54.0	0.4760778805535067
55.0	0.8101440938462788
56.0	0.5252267163566338
57.0	0.4908060620818732
58.0	0.7353738687709616
59.0	0.4652082002562139
60.0	0.40373098247087597
61.0	0.4688314270219781
62.0	0.4267172977316013
63.0	0.4413748969203749
64.0	0.4241763335062601
65.0	0.4028839943957622
66.0	0.4062954741427481
67.0	0.38180340230404286
68.0	0.3465357599541685
69.0	0.3566760894090023
70.0	0.3594523280996529
71.0	0.3686750871397801
72.0	0.36340493911685023
73.0	0.3514294688326034
74.0	0.35171179819097464
75.0	0.33350155457602954
76.0	0.3405127336422487
77.0	0.3369836166626082
78.0	0.33724241857444853
79.0	0.34030098662347025
80.0	0.33637190305280384
81.0	0.34112444725205304
82.0	0.34131266682430056
83.0	0.3499707671476853
84.0	0.3462299031492663
85.0	0.3603228436212975
86.0	0.3583935930057607
87.0	0.35985229469067875
88.0	0.36575768376994394
89.0	0.3740158175023028
90.0	0.376533254281113
91.0	0.37735671490969575
92.0	0.39267308260133565
93.0	0.3901321183759945
94.0	0.39516699193361493
95.0	0.3991666578438742
96.0	0.4018017318553392
97.0	0.40787181306032083
98.0	0.4076365385950115
99.0	0.4159417272204322
100.0	0.41667107806289116
101.0	0.4204354695078411
102.0	0.42523506860015226
103.0	0.42681140751772495
104.0	0.4310934027863555
105.0	0.4353048157153932
106.0	0.4370223193121516
107.0	0.43935153651871434
108.0	0.439845612895864
109.0	0.44217483010242675
110.0	0.44398644348530886
111.0	0.443915861145716
112.0	0.4441511356110255
113.0	0.4463156606918716
114.0	0.4473273408927019
115.0	0.4473508683392328
116.0	0.4473273408927019
117.0	0.446903846855145
118.0	0.4469744291947379
119.0	0.4448334315604226
120.0	0.4425512692469217
121.0	0.44026910693342086
122.0	0.43591652932519753
123.0	0.4313992595912577
124.0	0.42685846241078684
125.0	0.4211177654572382
126.0	0.4134478178881529
127.0	0.405213211602325
128.0	0.39636689170669276
129.0	0.38799112074167924
130.0	0.3785330872362426
131.0	0.36545182696504175
132.0	0.3560173209061361
133.0	0.34418301530107487
134.0	0.33133702949518334
135.0	0.317314671362745
136.0	0.3029394015323426
137.0	0.2851761794014853
138.0	0.2662130574975502
139.0	0.24423842243765523
140.0	0.21922874677526935
141.0	0.19231334794387764
142.0	0.16320989658510876
143.0	0.13264774354142184
144.0	0.14332920426646717
145.0	0.15372833563314123
146.0	0.17447954347342753
147.0	0.19174868922713514
148.0	0.21118236006168897
149.0	0.2263575630741432
150.0	0.2161231238331857
