#Position (bp)	insert size
3519247.5	24729.90728476821
1.05577415E7	19807.75007091252
1.75962355E7	6072.430994819853
2.46347295E7	9344.363671666424
3.16732235E7	9421.943219130908
3.87117175E7	16202.34955027251
4.57502115E7	20241.334792014946
5.27887055E7	13548.604475784732
5.98271995E7	9822.907335658014
6.68656935E7	4103.385073039403
7.39041875E7	4469.888334452868
8.09426815E7	9644.23823754026
8.79811755E7	4372.342796687826
9.50196695E7	4358.146862483311
1.020581635E8	1577.8911710404852
1.090966575E8	5081.75515079634
1.161351515E8	2878.8503300817815
1.231736455E8	4567.0051139066545
1.302121395E8	3240.7325952490623
1.372506335E8	4400.890887677067
1.442891275E8	268.06024017645615
1.513276215E8	1120.5464673163929
1.583661155E8	1644.9550040950041
1.654046095E8	1991.7091901605438
1.724431035E8	1103.414440566481
1.794815975E8	263.74625701809106
1.865200915E8	672.6570828124717
1.935585855E8	323.59547298037927
2.005970795E8	262.4696096224334
2.06554927E8	261.2306713816877
2.10074174E8	260.3503363556595
2.146740675E8	7552.952612373249
2.217125615E8	15239.932152280437
2.287510555E8	16517.285205976335
2.357895495E8	19683.05146439767
2.428280435E8	6916.114361184936
2.498665375E8	4962.781106594992
2.569050315E8	7293.913135948019
2.639435255E8	3671.117075490929
2.709820195E8	3261.0899053110975
2.780205135E8	5782.856509236243
2.850590075E8	5790.599877529973
2.920975015E8	6645.575306405019
2.991359955E8	7032.982123830946
3.061744895E8	5679.018779731813
3.132129835E8	929.392831695637
3.202514775E8	266.57841932497263
3.272899715E8	1011.7706064859275
3.343284655E8	1396.7882914687123
3.413669595E8	3973.5314337550417
3.484054535E8	708.0753814886386
3.554439475E8	2299.306609444927
3.624824415E8	1311.881567349111
3.695209355E8	1267.0046002407294
3.765594295E8	458.34238215845926
3.835979235E8	266.2024
3.906364175E8	267.16944859388195
3.976749115E8	264.1933287482806
4.047134055E8	261.7515046235371
4.08526901E8	281.63513766622964
4.12046148E8	8916.999942652878
4.187903935E8	16233.872802323804
4.258288875E8	15718.032128585382
4.328673815E8	12427.036432777233
4.399058755E8	4636.043402807609
4.469443695E8	5192.439800498753
4.539828635E8	11045.407537496047
4.610213575E8	5744.010034388265
4.680598515E8	4492.453109459027
4.750983455E8	4685.307079076082
4.821368395E8	3754.4407142737605
4.891753335E8	6180.138723460415
4.962138275E8	267.39430427507466
5.032523215E8	6640.235096231603
5.102908155E8	3373.460380490504
5.173293095E8	1300.9553514728152
5.243678035E8	523.2232878475799
5.314062975E8	3997.03877468627
5.384447915E8	3191.0493732042823
5.454832855E8	1194.2467068976705
5.525217795E8	268.5742035994223
5.595602735E8	600.4466350090061
5.665987675E8	267.59664001292305
5.736372615E8	265.3090503623862
5.806757555E8	389.84060711619804
5.877142495E8	263.4578307033092
5.918006215E8	260.08074741408075
5.953198685E8	19046.808546735596
6.017912375E8	7865.984508905853
6.088297315E8	16854.802944545514
6.158682255E8	18906.13867321211
6.229067195E8	10281.303515702808
6.299452135E8	5758.295516169565
6.369837075E8	7023.336130330242
6.440222015E8	8928.247698451154
6.510606955E8	2841.727614287133
6.580991895E8	5003.0091355582745
6.651376835E8	1306.812584269663
6.721761775E8	1742.1099338619986
6.792146715E8	6339.199917389508
6.862531655E8	4133.385188882806
6.932916595E8	3305.152592641413
7.003301535E8	4613.541660965932
7.073686475E8	2141.3500491642085
7.144071415E8	1332.0230492037397
7.214456355E8	782.1150618735103
7.284841295E8	1294.7849588161826
7.355226235E8	354.57974629883256
7.425611175E8	649.0841621395738
7.495996115E8	353.275969856718
7.566381055E8	262.6232203835041
7.636765995E8	263.36073915372253
7.683379745E8	262.8923267995032
7.718572215E8	12506.984289750584
7.777535875E8	7582.845208445247
7.847920815E8	6333.426855135386
7.918305755E8	8634.503108774019
7.988690695E8	9463.504947709822
8.059075635E8	5463.664447447349
8.129460575E8	7270.245958659069
8.199845515E8	10374.194571561215
8.270230455E8	16074.709052401675
8.340615395E8	5092.1534718353705
8.411000335E8	5450.89603922587
8.481385275E8	10147.138866924759
8.551770215E8	2000.9455903653238
8.622155155E8	3197.844842431548
8.692540095E8	4043.3208898684484
8.762925035E8	1063.4140932899156
8.833309975E8	1980.0653113010906
8.903694915E8	1980.2133804684047
8.974079855E8	948.1398587138591
9.044464795E8	1131.075263437666
9.114849735E8	771.0026030071583
9.185234675E8	267.79220801688496
9.255619615E8	465.18499562260087
9.326004555E8	401.10879800901324
9.396389495E8	263.56404015819896
9.442718855E8	364.3291942604857
9.477911325E8	4691.68487218194
9.537159375E8	6854.1017202566945
9.607544315E8	11246.597025448196
9.677929255E8	5467.168698615407
9.748314195E8	10940.63414433397
9.818699135E8	6955.475168119552
9.889084075E8	10600.474510258875
9.959469015E8	3489.487321377356
1.0029853955E9	5620.637292422377
1.0100238895E9	8737.782357734619
1.0170623835E9	4397.15782613717
1.0241008775E9	5197.820946839461
1.0311393715E9	1683.588430079961
1.0381778655E9	1106.4856080615043
1.0452163595E9	267.1636974098945
1.0522548535E9	1603.1394509405186
1.0592933475E9	673.1150827531853
1.0663318415E9	1851.950961440635
1.0733703355E9	1317.2283115116477
1.0804088295E9	836.3374092151831
1.0874473235E9	265.1650435260106
1.0944858175E9	266.036238753347
1.1015243115E9	265.1258437401529
1.106347486E9	264.5441065694009
1.109866733E9	2045.2020654871508
1.1156012995E9	9314.829413630217
1.1226397935E9	5649.449933936546
1.1296782875E9	6118.0959151545285
1.1367167815E9	5963.043619651242
1.1437552755E9	7082.319144029126
1.1507937695E9	9306.3254340451
1.1578322635E9	10868.443004579545
1.1648707575E9	6526.63677806456
1.1719092515E9	4339.839393490881
1.1789477455E9	3993.6710571639464
1.1859862395E9	4309.298165215186
1.1930247335E9	267.2081858850237
1.2000632275E9	290.76692503028994
1.2071017215E9	1699.3342994368995
1.2141402155E9	1319.990725140541
1.2211787095E9	264.00155925155923
1.2282172035E9	417.56697098659697
1.2352556975E9	2760.8157365233496
1.2422941915E9	265.96923333055855
1.2493326855E9	266.0125648960817
1.2563711795E9	264.3264203821656
1.2612678865E9	263.05274967673233
1.2647871335E9	5932.578203689315
1.2704481675E9	6211.079328393719
1.2774866615E9	6351.825170022446
1.2845251555E9	13864.328290829799
1.2915636495E9	4989.586162967318
1.2986021435E9	3949.0029509941464
1.3056406375E9	6595.24946070117
1.3126791315E9	5448.62464235209
1.3197176255E9	2144.614876596297
1.3267561195E9	7702.125504581009
1.3337946135E9	5551.742647482844
1.3408331075E9	2827.1287516524408
1.3478716015E9	1535.1130959402753
1.3549100955E9	1938.0824129992327
1.3619485895E9	763.1083941179417
1.3689870835E9	537.4937913426946
1.3760255775E9	2115.0153091886764
1.3830640715E9	412.28611409194315
1.3901025655E9	325.3189048707263
1.3971410595E9	416.52961877820434
1.4041795535E9	488.1296138667492
1.409287071E9	265.6124663392999
1.412806318E9	10910.564525244914
1.4182565415E9	6799.837384259259
1.4252950355E9	9975.285350339964
1.4323335295E9	17420.6029600583
1.4393720235E9	9790.490103934415
1.4464105175E9	6598.8541714813955
1.4534490115E9	6139.9999002311315
1.4604875055E9	1998.0507540895503
1.4675259995E9	2920.5529804658654
