#Position (bp)	insert size
3519247.5	34522.65918632165
1.05577415E7	12118.298172034501
1.75962355E7	13313.327313415257
2.46347295E7	13901.912825611453
3.16732235E7	5725.492043843712
3.87117175E7	16064.570872394825
4.57502115E7	7315.921110401533
5.27887055E7	5516.159873598615
5.98271995E7	7371.976381365113
6.68656935E7	9940.323047520456
7.39041875E7	11916.200235132752
8.09426815E7	2127.790698617362
8.79811755E7	6142.239756716048
9.50196695E7	6340.342918471535
1.020581635E8	3924.425892942641
1.090966575E8	5060.137996706807
1.161351515E8	3367.697412868904
1.231736455E8	1983.4260713043216
1.302121395E8	2666.060926154797
1.372506335E8	3263.2285799050633
1.442891275E8	1834.6680438582553
1.513276215E8	421.91339177450453
1.583661155E8	1001.7182455249956
1.654046095E8	2532.7619700129085
1.724431035E8	289.1408829897392
1.794815975E8	791.5813500735031
1.865200915E8	405.02498139469395
1.935585855E8	260.37718073284424
2.005970795E8	351.65021038956
2.06554927E8	259.29180639391905
2.10074174E8	58720.44211932324
2.146740675E8	10474.62407775395
2.217125615E8	21169.55644032719
2.287510555E8	7575.44648596204
2.357895495E8	16066.363128158198
2.428280435E8	3676.1451466107396
2.498665375E8	8067.649776221055
2.569050315E8	11629.369358552955
2.639435255E8	6787.755850513412
2.709820195E8	6378.31895611478
2.780205135E8	5426.400786772868
2.850590075E8	4038.2269362077564
2.920975015E8	3697.2713295205267
2.991359955E8	6407.9744107344295
3.061744895E8	5582.1957464586985
3.132129835E8	5714.745909737591
3.202514775E8	3489.928349091475
3.272899715E8	1470.9307028252529
3.343284655E8	1558.0792135219042
3.413669595E8	1365.6349181422008
3.484054535E8	2346.3944034000638
3.554439475E8	271.61289921194526
3.624824415E8	846.3299722372176
3.695209355E8	311.40908122348566
3.765594295E8	651.9260146478431
3.835979235E8	265.98786277586856
3.906364175E8	878.1759961381418
3.976749115E8	442.61296119064826
4.047134055E8	262.67385549672997
4.08526901E8	257.6570110701107
4.12046148E8	16568.18282985695
4.187903935E8	4315.237481338014
4.258288875E8	11615.558579299488
4.328673815E8	13630.585138287237
4.399058755E8	15198.346415894905
4.469443695E8	6488.0227448553305
