#Read position (bp)	Clipping profile
0.0	21.44841845979788
1.0	2.0788412072379465
2.0	1.8609638240702036
3.0	1.6190137158637623
4.0	1.3919331682084743
5.0	1.152447081895728
6.0	1.0083011909060824
7.0	0.8818122928624389
8.0	0.8168763458987344
9.0	0.7553770931661566
10.0	0.6964907531995032
11.0	0.6595536127168036
12.0	0.6233133303328161
13.0	0.5897604061508674
14.0	0.5588387009896252
15.0	0.5283600071941141
16.0	0.5055711608241462
17.0	0.48406741353989424
18.0	0.4620901444652741
19.0	0.4476953261214744
20.0	0.43312720856573583
21.0	0.4207021432365095
22.0	0.4084735650419463
23.0	0.39649761316337856
24.0	0.386297367998692
25.0	0.376012914062007
26.0	0.3669208075201411
27.0	0.357393012114457
28.0	0.3478725392106858
29.0	0.3387840939197764
30.0	0.8774798125639659
31.0	0.8906774018450044
32.0	0.84335573323281
33.0	0.8256316173526063
34.0	0.760479656582471
35.0	0.8544212540402057
36.0	0.8002811157301046
37.0	0.79346752770014
38.0	0.7719723233347865
39.0	0.7514339258860535
40.0	0.7529020875195924
41.0	0.7285413440723193
42.0	0.7154694577407859
43.0	0.7016933908086271
44.0	0.6877306000776893
45.0	0.6850359193737376
46.0	0.6796978154792247
47.0	0.657482565092435
48.0	0.6494058454824929
49.0	0.6227006810061024
50.0	0.6258029809832063
51.0	0.6191334021575288
52.0	0.6051913585153442
53.0	0.5922708038900107
54.0	0.5670081722904641
55.0	1.163936087397087
56.0	0.5499211140766836
57.0	0.5408912488010776
58.0	1.0155541290508219
59.0	0.5186943046690701
60.0	0.5089138829473905
61.0	0.48619093909463873
62.0	0.4864728554182859
63.0	0.46783342679896817
64.0	0.46164347184858645
65.0	0.45661657428537233
66.0	0.4413271902912119
67.0	0.4304276461938423
68.0	0.41072889563112325
69.0	0.3971346708298019
70.0	0.3874982583124096
71.0	0.3642004980594943
72.0	0.3628787864642137
73.0	0.33517165964273976
74.0	0.3179259472208463
75.0	0.30147472625650384
76.0	0.2522028313015038
77.0	0.22813010626280528
78.0	0.21163861153794178
79.0	0.1922461856385796
80.0	0.18891810851916105
81.0	0.185214142968213
82.0	0.18128317985796472
83.0	0.1761440039320859
84.0	0.17447081224498548
85.0	0.17750232803693108
86.0	0.17569977214936922
87.0	0.178218712807411
88.0	0.17891068923818118
89.0	0.17854578455952105
90.0	0.1814833282435843
91.0	0.18545212428038266
92.0	0.1866225041694631
93.0	0.19030694304864337
94.0	0.1937790293723492
95.0	0.19740244740225515
96.0	0.19893162988506835
97.0	0.20311277847734113
98.0	0.2078235880413146
99.0	0.21321539028318887
100.0	0.21595400599861797
101.0	0.21998504330167606
102.0	0.22323623415100904
103.0	0.2268730767677554
104.0	0.23224779317183286
105.0	0.23665105765546401
106.0	0.24136796930436488
107.0	0.24629601309175472
108.0	0.25056503170698247
109.0	0.25530757211257854
110.0	0.259812131206005
111.0	0.2648646575259143
112.0	0.26968774545255236
113.0	0.27478908845188116
114.0	0.2802663198827394
115.0	0.2857398900626412
116.0	0.29137577570161255
117.0	0.29708854761066944
118.0	0.3030832358433735
119.0	0.3090876874119614
120.0	0.31545582324222393
121.0	0.3224390492331711
122.0	0.3299372911919931
123.0	0.3373281364560924
124.0	0.34462134836135283
125.0	0.35229899161704115
126.0	0.36147774776487646
127.0	0.3706125689012343
128.0	0.37987919507202456
129.0	0.3895876121915605
130.0	0.3996377460670324
131.0	0.41237279731057197
132.0	0.42659187560846173
133.0	0.4402654275138396
134.0	0.45526313184846906
135.0	0.47006678988240636
136.0	0.49143995254921125
137.0	0.5117257236819488
138.0	0.5330610534222036
139.0	0.5554727909436565
140.0	0.5781054239394823
141.0	0.6158517008835587
142.0	0.6549538610985093
143.0	0.6944880489263218
144.0	0.7961853963268157
145.0	0.9155702470979491
146.0	1.0927796750583636
147.0	1.2584256520813046
148.0	1.4209681087101564
149.0	1.5574095072704328
150.0	1.5276838107549662
