#Position (bp)	insert size	chromosomes
3381345.5	15789.332923687405	0.0
1.01440355E7	6894.201917640407	40044.81257793018
1.69067255E7	12786.571620990346	0.0
2.36694155E7	16736.30646826554	0.0
3.04321055E7	8088.443091876518	40044.81257793018
3.71947955E7	9851.849216648947	0.0
4.39574855E7	13378.402914881728	0.0
5.07201755E7	14283.91954059281	40044.81257793018
5.74828655E7	4622.657975244666	0.0
6.42455555E7	9978.7775237797	0.0
7.10082455E7	5092.415398932489	40044.81257793018
7.77709355E7	5469.325641045391	0.0
8.45336255E7	6039.554128707485	0.0
9.12963155E7	4680.412684317354	40044.81257793018
9.80590055E7	1192.5951561700667	0.0
1.048216955E8	8998.616634453232	0.0
1.115843855E8	5934.170110806976	40044.81257793018
1.183470755E8	4735.295099061523	0.0
1.251097655E8	3366.729527333894	0.0
1.318724555E8	686.0776057823313	40044.81257793018
1.386351455E8	2340.774218615092	0.0
1.453978355E8	1612.762998459963	0.0
1.521605255E8	1172.5954588710883	40044.81257793018
1.589232155E8	1169.907308831698	0.0
1.656859055E8	1070.1435972307258	0.0
1.724485955E8	1125.5153084765946	40044.81257793018
1.792112855E8	523.1535156495014	0.0
1.859739755E8	618.4800591542836	0.0
1.927366655E8	550.0141860269167	40044.81257793018
1.994993555E8	370.9894316218218	0.0
2.05937114E8	299.398337977707	0.0
2.09318459E8	40044.81257793018	40044.81257793018
2.130247355E8	7867.022579756292	0.0
2.197874255E8	16298.337470691564	0.0
2.265501155E8	10326.39159998735	40044.81257793018
2.333128055E8	23570.113825371904	0.0
2.400754955E8	14324.561313074411	0.0
2.468381855E8	13588.924480548952	40044.81257793018
2.536008755E8	11697.112830029786	0.0
2.603635655E8	10490.761106629852	0.0
2.671262555E8	4405.11991819147	40044.81257793018
2.738889455E8	7165.705044976404	0.0
2.806516355E8	8347.439162910403	0.0
2.874143255E8	4895.927746287967	40044.81257793018
2.941770155E8	6981.5264508702885	0.0
3.009397055E8	7437.9209375	0.0
3.077023955E8	4098.845449470436	40044.81257793018
3.144650855E8	4691.772815137276	0.0
3.212277755E8	1814.8555125784715	0.0
3.279904655E8	2067.1441101488226	40044.81257793018
3.347531555E8	1383.3466215394592	0.0
3.415158455E8	3758.0176426808725	0.0
3.482785355E8	1109.8108499740413	40044.81257793018
3.550412255E8	1653.4826827235995	0.0
3.618039155E8	1590.3078209148414	0.0
3.685666055E8	711.3988646247515	40044.81257793018
3.753292955E8	582.826786614448	0.0
3.820919855E8	449.71460587623704	0.0
3.888546755E8	667.0317043856686	40044.81257793018
3.956173655E8	334.30400867249546	0.0
4.023800555E8	302.10355783422665	0.0
4.07291275E8	301.2752321054208	40044.81257793018
4.1067262E8	10456.124662566992	0.0
4.159054355E8	10024.827755312743	0.0
4.226681255E8	15799.098282791378	40044.81257793018
4.294308155E8	13913.273154848046	0.0
4.361935055E8	13678.232413979693	0.0
4.429561955E8	11680.451949504633	40044.81257793018
4.497188855E8	7874.824864819373	0.0
4.564815755E8	5872.978519593614	0.0
4.632442655E8	6877.4996765072365	40044.81257793018
4.700069555E8	6080.365859069932	0.0
4.767696455E8	6299.6188716548595	0.0
4.835323355E8	7772.883407291395	40044.81257793018
4.902950255E8	2816.388751991916	0.0
4.970577155E8	4700.979990657116	0.0
5.038204055E8	2507.4612508986343	40044.81257793018
5.105830955E8	2981.367332597129	0.0
5.173457855E8	1659.2336433888916	0.0
5.241084755E8	2016.732140202055	40044.81257793018
5.308711655E8	1076.330053031977	0.0
5.376338555E8	455.55110461088447	0.0
5.443965455E8	531.1786612557286	40044.81257793018
5.511592355E8	1234.4214409383726	0.0
5.579219255E8	921.6169327452282	0.0
5.646846155E8	569.6852708421831	40044.81257793018
5.714473055E8	414.30413954251685	0.0
5.782099955E8	481.0553534652137	0.0
